AMNH       169432     Phu1bjw
1.3315     26.7401    13.6068    IN
1.4346     21.706     16.6741    BR
1.1554     15.2338    16.5748    GL
1.2666     15.1197    16.0604    NA
0.4945     9.3519     10.3075    RH
0.2784     6.3107     7.1606     NS
0.2269     5.9161     5.5561     PR
-0.8605    6.297      5.9589     R_PR2
-0.3262    10.3845    10.7411    R_PMS
-3.3459    14.7663    10.0289    R_ZMI
-1.1547    15.1124    13.9325    R_ZMU
0.712      15.2285    15.0229    R_DA
-1.3837    15.5708    16.4057    R_MTI
-1.4006    16.1798    17.2448    R_MTS
-2.4952    16.011     14.8748    R_FMO
-3.5694    16.9181    15.0003    R_FMT
-3.3653    22.6324    12.2652    R_PO
-4.7851    16.9271    11.6012    R_ZTS
1.3511     6.2118     5.7987     L_PR2
1.5257     10.1747    10.6041    L_PMS
4.6404     14.7286    9.2963     L_ZMI
3.293      14.9323    13.5503    L_ZMU
1.685      15.2498    14.9094    L_DA
3.473      15.533     15.9523    L_MTI
3.5698     16.1833    16.9523    L_MTS
4.8106     16.0075    14.3157    L_FMO
5.8636     16.9147    14.418     L_FMT
5.2715     22.4984    11.33      L_PO
6.3456     16.5281    10.6188    L_ZTS
0.8465     5.6122     6.0364     O1
4.8729     17.2108    14.7174    O2
-2.5008    17.2103    15.0677    O3
1.3065     26.4889    13.0871    O4







































































































































































1.2735     15.2482    16.521     GLRH
1.2494     15.1388    16.1822
1.2945     15.0355    15.8059
1.2761     15.005     15.527
1.2415     14.9181    15.098
1.1896     14.7202    14.7387
1.1816     14.5469    14.4926
1.1982     14.3722    14.2835
1.0919     14.1454    14.1134
1.1023     13.8665    13.8741
1.0151     13.5604    13.7048
1.0227     13.2479    13.5007
0.8816     12.9153    13.2909
0.84       12.6744    13.099
0.8467     12.3878    12.9178
0.7979     12.1141    12.6921
0.7841     11.8664    12.5384
0.7751     11.6048    12.3679
0.7261     11.3097    12.1801
0.7291     11.0097    11.9996
0.6761     10.7747    11.7949
0.6388     10.5504    11.6393
0.6324     10.3298    11.4558
0.6044     10.0759    11.2562
0.5742     9.9015     11.0369
0.5762     9.7377     10.8527
0.5354     9.5565     10.6711
0.4729     9.3232     10.2869












































































































































































0.5368     9.4148     10.258     NOSE
0.227      9.3886     10.3097
-0.0089    9.3912     10.1418
-0.2414    9.3409     10.047
-0.2904    9.2229     9.7811
-0.3659    9.1347     9.5572
-0.4814    8.9438     9.3494
-0.6498    8.7661     9.2104
-0.7702    8.5068     8.9981
-0.8057    8.3165     8.7864
-0.8957    8.0839     8.5533
-1.0095    7.8538     8.3793
-0.965     7.4733     8.0936
-0.8398    7.157      7.9287
-0.6947    6.9749     7.8878
-0.4689    6.8046     7.7859
-0.3107    6.561      7.6946
-0.0592    6.4157     7.5189
0.0483     6.2746     7.2115
0.4871     6.2216     7.1773
0.7792     6.4287     7.5944
1.1781     6.6914     7.7281
1.3895     6.9817     7.8192
1.7043     7.4389     8.0505
1.7984     7.8733     8.4254
1.763      8.216      8.7214
1.7604     8.4332     8.9153
1.6199     8.7432     9.0879
1.4011     8.9532     9.3764
1.2831     9.2379     9.7727
1.2279     9.4231     10.0001
0.9553     9.4014     10.2373
0.5863     9.3373     10.3041







































































































































































0.2759     6.2061     7.0893     NASP-PR
0.2776     6.0365     6.844
0.2668     5.9381     6.575
0.2192     5.9016     6.2357
0.2143     5.8501     5.9684
0.1558     5.9473     5.5708


































































































































































































-0.3494    10.3678    10.7252    R-PM/MAX
-0.4265    10.1347    10.5361
-0.528     9.9254     10.3209
-0.5774    9.7288     10.1205
-0.6671    9.5015     9.9845
-0.7394    9.2979     9.7747
-0.8486    9.1016     9.5808
-0.9202    8.9252     9.3796
-0.9731    8.7838     9.1537
-1.0477    8.6228     8.8993
-1.1405    8.4913     8.67
-1.2225    8.2977     8.3592
-1.3158    8.1003     8.0331
-1.4252    7.9636     7.6776
-1.5792    7.8268     7.3746
-1.7072    7.6547     7.1082
-1.7871    7.6995     6.7603
-1.5685    7.6604     6.4032

































































































































