LSZT       R35        Phu196sf
0.4905     19.6704    12.5114    IN
0.2771     14.8049    16.2091    BR
0.5202     8.2871     14.6607    GL
0.5768     8.4363     13.9078    NA
0.8332     4.9852     9.1534     RH
0.8991     3.1325     6.5285     NS
0.8377     2.6027     5.429      PR
-0.1132    2.9346     5.5745     R_PR2
0.151      5.8556     9.4864     R_PMS
-2.7662    9.1687     8.2572     R_ZMI
-1.0731    8.8212     11.6247    R_ZMU
0.3581     8.8284     13.0662    R_DA
-1.0958    8.7234     14.1072    R_MTI
-0.9343    9.1806     15.3589    R_MTS
-2.7731    9.5392     12.5731    R_FMO
-3.4365    10.335     12.633     R_FMT
-3.7787    15.7571    10.8946    R_PO
-3.8238    10.431     9.5469     R_ZTS
1.8979     2.8282     5.7698     L_PR2
1.3374     6.0744     9.7651     L_PMS
4.2144     9.2555     8.4199     L_ZMI
2.4695     8.9243     11.6399    L_ZMU
0.9802     8.7749     12.9574    L_DA
2.3088     8.7079     14.2851    L_MTI
2.1728     9.4883     15.4888    L_MTS
4.0302     9.796      13.0519    L_FMO
4.6002     10.6332    12.8176    L_FMT
4.7573     15.6756    10.996     L_PO
5.2652     10.6386    9.9849     L_ZTS
3.0152     3.9501     5.0627     O1
-2.6397    10.6243    14.3435    O2
6.0483     13.5748    10.4533    O3
-0.899     19.2253    12.1799    O4







































































































































































0.5133     8.2727     14.6351    GLRH
0.4966     8.276      14.4041
0.53       8.333      14.2026
0.5335     8.4116     13.9649
0.5741     8.44       13.6921
0.5979     8.4763     13.4112
0.5887     8.4767     13.2015
0.6084     8.4607     12.9651
0.6086     8.4052     12.7434
0.6409     8.3108     12.4991
0.6592     8.2073     12.249
0.6681     8.0592     11.956
0.6646     7.905      11.6834
0.6961     7.7761     11.5203
0.696      7.5756     11.2564
0.6959     7.4672     11.1365
0.6952     7.246      10.9144
0.6993     7.0516     10.7424
0.7111     6.8045     10.5211
0.6932     6.6277     10.3605
0.7192     6.3719     10.1567
0.6704     6.1115     9.926
0.6736     5.8343     9.7225
0.704      5.5946     9.5551
0.695      5.4003     9.4177
0.7334     5.2512     9.3178
0.7541     5.1175     9.2526
0.7765     5.0327     9.2018
0.8113     4.9823     9.1579











































































































































































0.8416     5.0379     9.1878     NOSE
0.4991     5.0759     9.1008
0.2368     5.0513     8.9185
0.0363     4.987      8.7851
-0.0173    4.9093     8.6874
-0.0863    4.7545     8.4654
-0.1532    4.5977     8.2317
-0.2259    4.4385     8.0231
