MNHN       1972.356   Phh22stv
-0.4877    21.6939    12.6488    IN
-0.1403    15.8198    15.6877    BR
0.0938     10.5375    14.4269    GL
0.1607     10.5657    13.8517    NA
-0.0944    5.5031     9.1066     RH
-0.0193    3.4331     6.6609     NS
-0.0901    2.872      5.2133     PR
-0.9079    3.0002     5.5118     R_PR2
-0.4134    7.633      10.3417    R_PMS
-4.1449    10.4994    8.5984     R_ZMI
-1.463     10.5441    11.7774    R_ZMU
-0.0858    10.7783    13.1788    R_DA
-1.6982    10.8141    14.4358    R_MTI
-1.4475    11.287     15.2375    R_MTS
-3.2755    11.447     12.9882    R_FMO
-3.9178    12.0118    13.5965    R_FMT
-5.0232    17.295     10.6579    R_PO
-5.3771    12.0009    9.7028     R_ZTS
0.8151     3.0715     5.107      L_PR2
0.4038     7.8922     10.4282    L_PMS
3.7799     10.885     8.2494     L_ZMI
1.6238     10.9166    11.6893    L_ZMU
0.3593     10.8199    12.9925    L_DA
1.982      11.0543    14.3748    L_MTI
1.8867     11.6229    15.1419    L_MTS
3.3443     11.9097    12.9806    L_FMO
4.1489     12.2719    13.0052    L_FMT
4.204      17.7776    10.4569    L_PO
5.2195     12.7418    9.4467     L_ZTS
-0.4954    2.5045     5.1635     O1
3.0059     12.8013    14.5811    O2
-6.1185    13.8531    10.2343    O3
2.2217     20.6995    11.2476    O4







































































































































































0.1113     10.5206    14.4381    GLRH
0.1378     10.5367    14.1691
0.1042     10.5411    13.9442
0.1231     10.543     13.7005
0.0658     10.5475    13.512
0.1289     10.5312    13.2726
0.0596     10.4657    13.0624
0.1016     10.3685    12.8909
0.0608     10.2396    12.6889
0.0143     10.0911    12.5401
0.0343     9.9366     12.3302
0.0138     9.7599     12.1487
0.0216     9.6102     11.9747
0.0313     9.3871     11.7806
-0.0106    9.2047     11.6168
-0.0344    9.0373     11.4657
-0.0185    8.8202     11.3135
-0.0893    8.5884     11.0965
-0.07      8.4117     10.9967
-0.0417    8.2412     10.8992
-0.0255    7.9796     10.7475
-0.0775    7.8361     10.6649
-0.0732    7.5811     10.491
-0.0792    7.4235     10.4104
-0.0504    7.135      10.2224
-0.1044    6.9195     10.0831
-0.0842    6.7346     9.9826
-0.0944    6.5954     9.9246
-0.082     6.401      9.8228
-0.096     6.216      9.7127
-0.107     6.043      9.6198
-0.1139    5.8938     9.5069
-0.117     5.6877     9.3666
-0.1164    5.5909     9.2843
-0.1163    5.5048     9.1812





































































































































































-0.0734    5.4992     9.1773     NOSE
-0.331     5.4939     9.1374
-0.4627    5.5555     9.0862
-0.6887    5.6547     9.0444
-0.8731    5.5583     8.8512
-0.9936    5.4747     8.6603
-1.208     5.2003     8.5033
-1.276     5.0202     8.2761
-1.2844    4.8446     8.0366
-1.2784    4.6301     7.7225
-1.2773    4.3699     7.4459
-1.2782    4.1562     7.2338
-1.1238    3.992      7.0524
-0.9192    3.7824     7.0101
-0.7882    3.5854     6.9662
-0.5313    3.3983     6.8865
-0.306     3.376      6.7853
0.0517     3.3952     6.6871
0.2116     3.4126     6.7661
0.4777     3.416      6.8429
0.6658     3.5594     6.9114
0.8369     3.8921     6.9792
0.9384     4.0267     7.0408
1.0238     4.1798     7.1191
1.0911     4.3175     7.2424
1.1146     4.5625     7.4877
1.1209     4.7368     7.7054
1.1161     4.9096     7.8657
1.1325     5.0591     8.0873
1.1024     5.2659     8.304
0.9863     5.4718     8.5315
0.8864     5.5574     8.627
0.8151     5.6381     8.8052
0.7359     5.7162     8.9183
0.3767     5.645      9.1219
0.1531     5.5639     9.182
-0.1048    5.506      9.1875



































































































































































-0.012     3.4387     6.6592     NASP-PR
-0.0192    3.1693     6.4754
-0.0186    2.9556     6.2461
-0.0306    2.863      5.9831
-0.0426    2.8243     5.7457
-0.0304    2.8303     5.4958
-0.0563    2.8219     5.3732
-0.0105    2.8519     5.2565
-0.0635    2.8627     5.1841































































































































































































-0.4076    7.6778     10.3468    R-PM/MAX
