NMNH       268895     Rpr9stv
-2.2423    13.5227    5.5541     IN
-2.075     10.453     8.4324     BR
-2.1356    4.5921     6.4379     GL
-2.1048    4.5822     6.3111     NA
-2.1642    4.6706     5.202      RH
-2.2056    3.3105     3.4925     NS
-2.3276    2.8079     2.8575     PR
-2.8565    2.8605     2.9679     R_PR2
-2.4042    4.6671     5.6297     R_PMS
-5.2517    5.3821     3.3515     R_ZMI
-4.4388    4.8317     4.6599     R_ZMU
-2.88      5.0676     5.7508     R_DA
-3.7824    5.0732     6.8731     R_MTI
-3.8385    5.3067     7.2802     R_MTS
-5.4526    5.4035     6.0421     R_FMO
-5.7075    5.9184     6.4181     R_FMT
-5.5573    10.2745    4.0396     R_PO
-6.368     6.5404     3.8771     R_ZTS
-1.6871    2.8387     2.8977     L_PR2
-1.8166    4.6988     5.708      L_PMS
0.6647     5.491      3.0642     L_ZMI
-0.0265    4.8721     4.4168     L_ZMU
-1.4492    5.1662     5.529      L_DA
-0.5144    5.1238     6.715      L_MTI
-0.5539    5.2719     7.0847     L_MTS
1.1601     5.5272     5.5379     L_FMO
1.3576     6.0243     6.0258     L_FMT
0.9563     10.3162    3.8047     L_PO
1.7326     6.9499     3.4999     L_ZTS
-2.003     2.56       2.7907     O1
0.4917     6.6072     6.7967     O2
-6.6255    8.65       3.9171     O3
-2.6362    13.3732    5.7705     O4







































































































































































-2.1495    4.619      6.4524     GLRH
-2.1259    4.5813     6.3086
-2.1432    4.5837     6.1853
-2.1648    4.5918     6.0638
-2.1376    4.5841     5.952
-2.1411    4.6        5.8023
-2.1643    4.6167     5.6434
-2.1684    4.624      5.5078
-2.1834    4.6418     5.4032
-2.1737    4.6504     5.2686
-2.1867    4.6644     5.2419





























































































































































































-2.1872    4.6999     5.1876     NOSE
-2.3597    4.7163     5.2053
-2.5539    4.7159     5.1885
-2.7101    4.7181     4.9847
-2.8734    4.6308     4.6987
-2.996     4.5091     4.4349
-3.068     4.2817     4.1934
-3.0749    4.1038     4.0857
-2.933     3.8855     3.9464
