TMP        AZ 2317    Phu107sf
16.7252    21.9565    -12.9657   IN
16.3194    17.523     -15.9698   BR
16.2026    10.6495    -15.8644   GL
16.237     10.5939    -15.3134   NA
16.0398    4.6464     -8.598     RH
16.0027    1.9961     -4.6032    NS
16.0978    1.5334     -2.9984    PR
17.0479    1.6742     -3.2666    R_PR2
16.6192    5.8662     -9.4616    R_PMS
20.0608    10.0177    -8.8774    R_ZMI
18.1319    10.506     -13.1389   R_ZMU
16.7221    10.5693    -14.1059   R_DA
18.398     10.8927    -15.6584   R_MTI
18.3053    11.9808    -16.7336   R_MTS
19.9306    11.4678    -14.1723   R_FMO
21.0421    12.2367    -14.0175   R_FMT
21.2981    17.9187    -11.0317   R_PO
21.9292    11.5955    -10.4309   R_ZTS
15.0861    1.7833     -3.017     L_PR2
15.4274    6.1996     -9.4504    L_PMS
12.4993    10.0757    -8.9856    L_ZMI
14.2273    10.6836    -12.9432   L_ZMU
15.7185    10.7641    -14.1771   L_DA
13.9328    11.1371    -15.6234   L_MTI
14.1343    12.1465    -16.6327   L_MTS
12.4776    11.8005    -14.0094   L_FMO
11.5491    12.6614    -13.463    L_FMT
12.0521    18.3835    -10.7115   L_PO
10.807     12.2344    -10.1707   L_ZTS
16.5791    1.1002     -2.847     O1
12.8262    12.664     -15.3711   O2
22.7851    13.4972    -10.1894   O3
16.3348    21.6533    -12.8629   O4







































































































































































16.2036    10.5862    -15.5239   GLRH
16.2125    10.5965    -15.2825
16.2266    10.5975    -14.9692
16.2398    10.5757    -14.772
16.2568    10.5209    -14.5675
16.2032    10.4397    -14.3386
16.2155    10.3391    -14.1407
16.1922    10.2007    -13.9735
16.1803    10.061     -13.7854
16.1919    9.903      -13.6067
16.1689    9.7536     -13.472
16.1681    9.6259     -13.3538
16.1688    9.4591     -13.2205
16.1527    9.2705     -13.0524
16.1625    9.1132     -12.9288
16.1172    8.9495     -12.7937
16.1048    8.7574     -12.5766
16.0936    8.5926     -12.3947
16.098     8.4727     -12.2926
16.0987    8.3344     -12.1319
16.0967    8.128      -11.9611
16.1087    7.9239     -11.7749
16.116     7.7753     -11.6203
16.1248    7.6515     -11.4589
16.0884    7.4739     -11.2868
16.1031    7.2483     -11.0886
16.0855    7.0033     -10.8996
16.0852    6.8372     -10.7502
16.0552    6.6638     -10.5833
16.0624    6.4867     -10.444
16.0737    6.2276     -10.1951
16.0713    5.932      -9.8886
16.0672    5.7536     -9.7057
16.0795    5.5925     -9.5373
16.0652    5.4469     -9.3822
16.062     5.2954     -9.2128
