AMNH       81811      phu3ms3.xls
11.9149    22.2954    -17.1166   IN
7.5028     17.9921    -19.3729   BR
2.5349     13.5754    -16.738    GL
2.5892     13.6719    -16.2135   NA
-0.3031    10.6321    -8.9053    RH
-2.1803    8.7534     -4.5004    NS
-2.2224    8.7683     -2.9424    PR
-1.2484    8.2984     -3.1461    R_PR2
0.9836     10.6644    -9.6294    R_PMS
6.1722     11.124     -9.9629    R_ZMI
4.6103     12.4741    -13.9469   R_ZMU
3.3687     13.6288    -14.923    R_DA
4.488      12.3025    -16.5308   R_MTI
4.9732     12.8951    -17.8615   R_MTS
6.2658     11.9694    -15.4327   R_FMO
7.5275     11.5992    -15.3531   R_FMT
12.5665    16.4996    -14.0051   R_PO
8.9376     11.4682    -11.9465   R_ZTS
-2.6709    9.6004     -3.0944    L_PR2
-0.0988    11.9841    -9.8301    L_PMS
0.3019     17.3677    -9.9793    L_ZMI
1.4093     15.7643    -13.9447   L_ZMU
2.6611     14.378     -15.1438   L_DA
1.4499     15.5377    -16.4737   L_MTI
2.1466     15.8549    -17.9134   L_MTS
1.1299     17.3697    -15.2639   L_FMO
0.9089     18.6355    -15.3031   L_FMT
6.1191     23.1978    -14.0592   L_PO
0.8284     20.0556    -11.9888   L_ZTS
-2.9887    9.1539     -3.0896    O1
0.2728     17.8473    -12.5911   O2
3.7957     22.8605    -12.5072   O3
8.9844     22.5347    -16.9385   O4







































































































































































2.6256     13.5048    -16.3578   GLRH
2.7583     13.5125    -16.0931
2.7961     13.6883    -15.7006
2.8784     13.7104    -15.4387
2.8903     13.7302    -15.0885
2.7969     13.7439    -14.8307
2.7487     13.7448    -14.6478
2.722      13.6386    -14.3894
2.6531     13.5913    -14.2159
2.5764     13.5628    -14.0502
2.5053     13.4501    -13.7652
2.4075     13.3429    -13.4999
2.3326     13.2266    -13.3001
2.2559     13.171     -13.1722
2.1712     13.1183    -13.0724
2.0982     13.0778    -12.9292
2.0367     12.9878    -12.8055
1.9572     12.9279    -12.7006
1.8924     12.8294    -12.5113
1.8074     12.7205    -12.3406
1.7074     12.6135    -12.1959
1.6258     12.5631    -12.0947
1.5159     12.45      -11.9166
1.4185     12.2409    -11.6549
1.2927     12.1565    -11.5237
1.1528     11.9523    -11.2749
1.0286     11.8732    -11.1446
0.8882     11.753     -10.9517
0.7997     11.6124    -10.7259
0.6704     11.4987    -10.5382
0.5443     11.348     -10.3277
0.4622     11.2868    -10.1936
0.3685     11.174     -10.0785
0.249      11.0117    -9.8477
0.1041     10.8642    -9.6308
0.0039     10.7847    -9.4722
-0.0986    10.6734    -9.2524
-0.1732    10.5876    -9.0773
-0.2455    10.5554    -8.96
-0.2513    10.5578    -8.8462
































































































































































-0.2753    10.5925    -8.8523    NOSE
-0.2187    10.5022    -8.8222
-0.1595    10.3336    -8.776
-0.1105    10.1621    -8.6068
-0.003     10.0217    -8.5032
0.1704     9.928      -8.4181
0.0958     9.6495     -8.0498
0.0957     9.5078     -7.8958
0.0721     9.3894     -7.6407
0.0131     9.1904     -7.3874
-0.0289    9.1487     -7.2323
-0.0583    9.1302     -7.1698
-0.1418    8.9318     -7.0449
-0.2104    8.8953     -6.8669
-0.2674    8.8058     -6.6928
-0.3424    8.75       -6.5398
-0.4125    8.6622     -6.3501
-0.529     8.6071     -6.1658
-0.6688    8.5892     -5.9733
-0.8817    8.5832     -5.7636
-1.062     8.5422     -5.5861
-1.2652    8.5369     -5.4336
-1.4844    8.4999     -5.2953
-1.6681    8.5039     -5.1287
-1.8799    8.6437     -4.973
-1.9678    8.704      -4.8932
-2.0734    8.7306     -4.7179
-2.1884    8.7485     -4.5621
-2.3991    8.8338     -4.6308
-2.5062    9.0003     -4.8317
-2.591     9.1647     -5.0716
-2.5797    9.4118     -5.2646
-2.5588    9.6198     -5.3722
-2.5184    9.8833     -5.5184
-2.5538    10.0577    -5.6101
-2.5991    10.2947    -5.7953
-2.5794    10.392     -5.9404
-2.5336    10.5399    -6.1909
-2.4386    10.6406    -6.394
-2.299     10.7581    -6.5917
-2.1895    10.8887    -6.8364
-2.0588    11.013     -7.2187
-1.9627    11.1024    -7.4373
-1.8579    11.1602    -7.6005
-1.7575    11.2171    -7.7648
-1.5761    11.1904    -7.919
-1.3935    11.1061    -8.1076
-1.2451    11.091     -8.2208
-1.101     11.0399    -8.3851
-0.9467    11.0121    -8.49
-0.8488    10.8648    -8.5716
-0.711     10.8098    -8.738
-0.5827    10.8108    -8.8827
