UWMA       MP 224     Ppb5stv















































8.2649     15.7605    2.4611     ROSTRUM
8.1981     15.7337    2.7263
8.175      15.7273    2.9459
8.1807     15.6966    3.1911
8.2812     15.6598    3.4271
8.4054     15.5759    3.6522
8.5568     15.5425    3.8494
8.7064     15.507     4.0666
8.856      15.4854    4.2858
8.9554     15.5164    4.4447
9.1148     15.5023    4.6002
9.2771     15.5099    4.7471
9.4511     15.4998    4.9002
9.6124     15.4873    5.0582
9.7249     15.5349    5.1897
9.8806     15.5439    5.3682
10.0771    15.543     5.5161
10.1927    15.5435    5.8193
10.3037    15.6193    6.0497
10.3702    15.59      6.1543
10.5067    15.6546    6.2275
10.6398    15.6874    6.2913
10.9067    15.6995    6.2095
11.0455    15.7134    6.1141
11.2309    15.7975    5.8144
11.3468    15.8202    5.6293
11.5139    15.8195    5.4187
11.7236    15.8022    5.2271
11.8824    15.7962    5.0825
11.9574    15.8089    4.9761
12.0546    15.8313    4.783
12.1891    15.8102    4.6265
12.3828    15.8152    4.3897
12.49      15.85      4.2637
12.6118    15.896     4.0948
12.7032    15.9489    3.8901
12.8346    15.9995    3.7434
12.9523    16.0383    3.5532
13.0176    16.0725    3.4101
13.0999    16.1323    3.1771
13.0647    16.1556    2.8832
13.0484    16.1965    2.6972
13.0033    16.2224    2.5124
12.9508    16.2795    2.3866
12.9505    16.2735    2.3687



























































































































































7.4268     17.5078    6.5992     SUPORB
7.443      17.5669    6.9163
7.5361     17.5981    7.1174
7.714      17.6168    7.3946
7.9154     17.5805    7.5818
8.0877     17.5766    7.6961
8.227      17.5716    7.8048
8.4138     17.5341    7.9407
8.5563     17.4778    8.0144
8.7557     17.4257    8.1188
8.8833     17.4179    8.1774
8.9765     17.3998    8.2315
9.1525     17.3652    8.2516
9.3555     17.2707    8.2816
9.51       17.2395    8.3128
9.6558     17.2175    8.3489
9.8624     17.1623    8.3242
10.0239    17.127     8.3262
10.1933    17.1064    8.3362
10.3424    17.0826    8.3023
10.5091    17.0232    8.2568
10.6379    16.9956    8.2468
10.6938    17.0602    8.2692
10.9209    17.1153    8.2907
11.1638    17.2033    8.3472
11.3741    17.258     8.3138
11.7032    17.3967    8.268
11.865     17.4504    8.2189
12.1783    17.4844    8.0715
12.4638    17.6125    7.9187
12.7024    17.717     7.7869
12.9024    17.7835    7.6398
13.0535    17.8365    7.5164
13.1545    17.9       7.453
13.2924    17.9314    7.3415
13.3946    17.947     7.2026
13.5207    17.9969    6.9219
13.5749    18.0527    6.7769
13.6145    18.0619    6.6184










































































































































