TMP        AZ 1033    Phu119stv
17.856     3.5749     9.2001
17.8786    3.4689     9.0451
17.9047    3.3593     8.9453
17.9681    3.3139     8.8158
18.0295    3.2706     8.6639
18.0793    3.2231     8.5129
18.1605    3.2228     8.3802
18.2111    3.1747     8.2368
18.2892    3.1566     8.0685
18.3012    3.0651     7.879
18.3009    3.0491     7.6914
18.2539    3.0519     7.5589
18.1528    3.019      7.4496













































































































































































14.6262    6.0295     7.5455     ROSTRUM
14.6129    6.044      7.7714
14.6518    6.0445     7.9709
14.7149    5.9865     8.1703
14.7972    6.0191     8.3173
14.9371    5.9526     8.4572
15.0748    5.9235     8.6353
15.1617    5.8912     8.7886
15.2426    5.7967     9.043
15.2702    5.7541     9.2463
15.2978    5.6869     9.5286
15.312     5.6891     9.7207
15.2562    5.7163     9.8893
15.3218    5.6679     10.0796
15.4481    5.6356     10.2892
15.6657    5.6641     10.3769
15.8042    5.6563     10.4626
15.989     5.7118     10.5701
16.1137    5.7187     10.6125
16.2242    5.7131     10.6494
16.3732    5.7262     10.7228
16.4772    5.7145     10.7808
16.5788    5.7465     10.8899
16.7176    5.7172     10.965
16.8221    5.7131     10.9756
17.007     5.7077     10.9495
17.2008    5.7616     10.8812
17.2527    5.822      10.812
17.4697    5.7884     10.7
17.6356    5.8046     10.6308
17.813     5.8415     10.5689
17.9808    5.837      10.4816
18.2122    5.8384     10.4253
18.3045    5.8652     10.3258
18.3573    5.8455     10.1323
18.356     5.9611     9.8102
18.348     5.983      9.5964
18.38      5.9667     9.3459
18.4352    6.0246     9.0636
18.5299    6.0024     8.8206
18.6674    6.0925     8.6072
18.7752    6.1089     8.445
18.8588    6.1172     8.2931
18.9396    6.1035     8.1105
18.9832    6.1673     7.9229
19.0024    6.1857     7.7889
19.0261    6.2036     7.6339
18.9657    6.1952     7.4673
























































































































































13.3786    9.208      12.2588    SUPORB
13.5       9.3835     12.5537
13.4375    9.3473     12.9296
13.505     9.3788     13.2372
13.6408    9.3331     13.5106
13.9259    9.16       13.8306
14.1071    9.0758     13.9716
14.3287    8.868      14.1356
14.523     8.7626     14.2261
14.8297    8.8267     14.3726
15.1223    8.8693     14.5002
15.4063    8.7864     14.5912
15.6108    8.8345     14.6804
15.8573    8.8402     14.7506
16.0837    8.7235     14.7575
16.2589    8.5746     14.7021
16.3492    8.4009     14.6378
16.5093    8.3061     14.5795
16.6819    8.2274     14.5178
16.8994    8.1575     14.522
17.1802    8.2089     14.5781
17.4233    8.3261     14.6418
17.5856    8.5034     14.7117
17.7309    8.6243     14.7174
18.0512    8.6909     14.6406
18.3353    8.6449     14.4952
18.5185    8.6305     14.4179
18.7435    8.6707     14.369
18.9488    8.7926     14.3173
19.1797    8.9133     14.2205
19.4786    8.9671     14.0652
19.6948    8.9978     13.9007
19.8677    9.0662     13.735
20.0524    9.1685     13.551
20.1842    9.2898     13.1413
20.2524    9.3237     12.8698
20.2642    9.2238     12.6136
20.2891    9.1692     12.4714
20.312     9.1315     12.1859























































































