AMNH       99.1/2286  See2stv
-1.4707    5.1926     5.4814
-1.3047    5.1732     5.8199
-1.1855    5.1363     6.0055
-0.9673    5.0708     6.23
-0.8111    5.0463     6.4173
-0.6622    4.9648     6.7562
-0.5931    4.9325     7.0452
-0.5222    4.8416     7.3416
-0.4808    4.811      7.6214
-0.3936    4.7574     7.9003
-0.1445    4.6883     8.074
0.1434     4.7404     7.9748
0.3612     4.8304     7.6554
0.4144     4.8896     7.3692
0.4218     4.9359     6.9797
0.4824     5.0099     6.728
0.5808     5.106      6.3975
0.7085     5.1175     6.1453
0.8206     5.1581     5.955
1.0259     5.2116     5.7528
1.1235     5.25       5.5051
1.2401     5.3038     5.3042
1.3944     5.3496     5.0813
1.4953     5.4133     4.9621
1.5719     5.4482     4.8377
1.6731     5.4731     4.5835
1.7148     5.5153     4.4235
1.713      5.5433     4.2773








































































































































































-3.7445    6.5906     8.1733     SUPORB
-3.7035    6.4905     8.3846
-3.4811    6.3287     8.567
-3.2347    6.1356     8.7086
-3.0663    6.0022     8.8027
-2.915     5.8986     8.8603
-2.7609    5.7379     8.9232
-2.5471    5.5386     8.9789
-2.337     5.419      9.0261
-2.0343    5.3417     9.0722
-1.8166    5.2046     9.0518
-1.4679    5.1577     9.0477
-1.0473    5.1333     9.0174
-0.8119    5.1164     9.0344
-0.472     5.0506     8.9557
-0.3044    4.9982     8.8726
-0.1399    5.0205     8.8174
0.003      5.0649     8.8598
0.1781     5.0327     8.8623
0.3702     5.0648     8.947
0.6104     5.158      8.9982
0.8347     5.2068     9.0449
1.3876     5.3502     9.0309
1.6497     5.4464     9.0054
1.911      5.5534     9.0008
2.2769     5.7965     8.876
2.5327     6.0505     8.7798
2.7045     6.2025     8.724
2.8852     6.4464     8.5826
3.0297     6.6719     8.4805
3.165      6.7607     8.3624
3.3177     6.8428     8.2186
3.4083     6.9907     8.0945
3.4788     6.9829     7.916






































































































































































-2.1426    5.7982     6.2391     RORBIT
-2.3645    5.8307     6.2506
-2.6054    5.8748     6.2657
-2.8169    5.9752     6.4238
-3.0409    6.0263     6.615
-3.1777    6.0734     6.8775
-3.2735    6.0733     7.1747
-3.3032    6.0738     7.4103
-3.343     6.1042     7.5668
-3.3393    6.0233     7.8064
-3.2159    5.8978     7.9752
-3.0848    5.7904     8.1764
-2.935     5.7159     8.3088
-2.753     5.5714     8.4433
-2.5749    5.416      8.5501
-2.4288    5.2973     8.6417
-2.2024    5.1982     8.6568
-1.9498    5.1125     8.644
-1.7384    5.0391     8.6364
-1.5126    5.0082     8.5675
-1.2142    5.0466     8.4839
-1.011     5.0308     8.4435
-0.8914    5.0677     8.3999
-0.7684    5.1353     8.2355
-0.7503    5.4021     7.9795
-0.7231    5.4375     7.8489














































































































































































