FMNH       101802     Phu58stv
16.777     17.1144    16.7591    IN
13.3487    12.9312    18.131     BR
9.2299     8.1814     15.8193    GL
9.4401     8.3319     15.0763    NA
6.8521     5.8745     7.997      RH
5.8134     4.7459     3.5456     NS
5.8878     4.7555     2.4704     PR
5.1081     5.6421     2.8309     R_PR2
7.2368     6.9756     8.9316     R_PMS
7.2545     11.7821    9.3584     R_ZMI
8.0976     10.1663    13.1384    R_ZMU
9.1605     8.9988     13.7206    R_DA
7.942      9.8413     15.4887    R_MTI
8.5726     10.0736    17.0117    R_MTS
7.4315     11.7265    14.4634    R_FMO
7.3923     12.7262    15.1059    R_FMT
11.2236    17.571     13.5422    R_PO
7.0405     13.8841    11.3       R_ZTS
6.8195     4.218      2.6886     L_PR2
8.409      6.4542     9.5681     L_PMS
13.1087    7.2312     9.3886     L_ZMI
11.4154    7.5532     13.1423    L_ZMU
10.153     8.327      14.0056    L_DA
11.3802    7.0636     15.4827    L_MTI
11.6299    7.9067     17.0555    L_MTS
13.355     6.9474     14.6412    L_FMO
14.3097    7.2775     14.8359    L_FMT
18.0528    11.9865    13.1984    L_PO
15.4306    7.3207     11.3573    L_ZTS
6.2609     4.0536     2.2976     O1
8.3164     11.6045    16.6154    O2
17.1023    8.4506     11.93      O3
17.3761    16.5614    16.1147    O4







































































































































































9.2803     8.1022     15.9257    GLRH
9.2873     8.1613     15.6196
9.3196     8.2606     15.3881
9.3471     8.2966     15.2172
9.3627     8.3478     15.0744
9.422      8.3904     14.886
9.4827     8.3984     14.6882
9.4742     8.4381     14.447
9.4624     8.4658     14.2184
9.4355     8.4346     13.9819
9.4032     8.3667     13.6975
9.3605     8.3086     13.5125
9.3207     8.2116     13.2606
9.2762     8.1629     13.1337
9.2029     8.0378     12.8657
9.1476     7.9518     12.6771
9.0976     7.8436     12.4649
9.0084     7.7665     12.2439
8.9394     7.6827     12.0526
8.8758     7.6452     11.9381
8.8305     7.5513     11.7501
8.771      7.4568     11.5618
8.7037     7.3855     11.3891
8.6534     7.3148     11.198
8.5738     7.2341     11.0295
8.4806     7.1724     10.8936
8.3674     7.1167     10.7464
8.3102     7.0513     10.6212
8.2298     6.9741     10.4466
8.1545     6.9055     10.2995
8.0498     6.7953     10.1347
7.976      6.6946     9.9376
7.85       6.5798     9.7532
7.7785     6.4454     9.4939
7.6539     6.3808     9.3157
7.5888     6.3131     9.1565
7.4402     6.1758     8.927
7.3578     6.1145     8.7638
7.2364     6.0228     8.5869
7.1168     5.9673     8.418
7.0242     5.8756     8.2247
6.9501     5.8109     8.1121
6.9115     5.7762     8.0191





























































































































































6.9027     5.8182     7.9348     NOSE
6.8193     5.9254     7.9043
6.7061     6.0535     7.9089
6.7012     6.1725     7.929
6.5456     6.3799     7.7831
6.3758     6.3888     7.5936
6.252      6.373      7.4661
6.1024     6.348      7.3002
5.9326     6.3503     7.1821
5.7835     6.3153     7.0239
5.6467     6.2582     6.8913
5.5634     6.2377     6.7262
5.55       6.1606     6.5973
5.5129     6.1334     6.4371
5.4286     6.1328     6.2566
5.3653     6.1417     6.064
5.3341     6.1363     5.9618
5.2401     6.0981     5.7848
5.2052     6.028      5.6426
5.2286     5.9348     5.4394
5.1949     5.8827     5.3523
5.1934     5.8273     5.1869
5.1414     5.7196     5.0354
5.1268     5.5983     4.8133
5.1608     5.4485     4.691
5.2443     5.3243     4.5988
5.3165     5.1709     4.4999
5.3655     5.0503     4.3153
5.392      4.9122     4.1162
5.4124     4.8975     3.9762
5.4633     4.881      3.8253
5.5664     4.875      3.7418
5.6633     4.8561     3.643
5.7653     4.8069     3.5841
5.9057     4.6408     3.5838
5.9433     4.5805     3.7679
5.9629     4.4366     3.8551
6.0644     4.3525     4.1495
6.2045     4.312      4.2819
6.3402     4.2843     4.3809
6.5832     4.288      4.5623
6.7605     4.2409     4.6821
6.8971     4.303      4.8556
6.9851     4.3411     5.0275
7.0721     4.3311     5.2447
7.1607     4.2561     5.3626
7.1917     4.2763     5.5529
7.2704     4.2563     5.7927
7.2635     4.24       5.9848
7.3668     4.2318     6.2144
7.4445     4.3259     6.3205
7.5056     4.4776     6.4521
7.5383     4.58       6.577
7.5812     4.6397     6.7101
7.5796     4.7834     6.8341
7.5578     4.9432     6.9786
7.5002     5.0877     7.207
7.5077     5.1784     7.4378
7.5072     5.2823     7.5626
7.5314     5.39       7.7467
7.3873     5.5211     7.8518
7.1863     5.5921     7.9693
7.1187     5.6779     8.0077
6.936      5.774      7.9728








































































































































5.7749     4.7825     3.5625     NASP-PR
5.7406     4.7337     3.3958
5.7379     4.7237     3.173
5.7876     4.7299     3.0062
5.7813     4.7687     2.774
5.8426     4.7486     2.6948
5.9341     4.6884     2.5446














































