TMP        SK 555     Phr5stv
9999       9999       9999       IN
9999       9999       9999       BR
9999       9999       9999       GL
15.506     19.0213    11.26      NA
15.6198    12.5308    9.6678     RH
15.5285    7.9883     8.3615     NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
15.0824    13.5673    9.6562     R_PMS
9999       9999       9999       R_ZMI
13.8452    18.1568    9.2284     R_ZMU
15.1368    18.777     10.151     R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
12.1941    19.6618    9.4418     R_FMO
11.4856    20.403     8.8891     R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
16.1643    12.9559    9.645      L_PMS
9999       9999       9999       L_ZMI
17.5018    18.0165    9.781      L_ZMU
16.1673    18.7863    10.3732    L_DA
9999       9999       9999       L_MTI
9999       9999       9999       L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
9999       9999       9999       L_PO
9999       9999       9999       L_ZTS
18.2496    6.0965     6.229      O1
13.1058    12.5411    5.5912     O2
18.9954    12.753     6.2318     O3
12.3672    21.1717    9.5818     O4







































































































































































9999       9999       9999       GLRH
15.5068    18.9078    11.1683
15.5231    18.8045    11.02
15.5774    18.6931    10.8749
15.5976    18.5652    10.7363
15.5868    18.434     10.6314
15.5907    18.293     10.551
15.5962    18.0651    10.4096
15.6064    17.9171    10.3298
15.595     17.741     10.2672
15.584     17.5876    10.1889
15.5938    17.3917    10.1265
15.5746    17.274     10.1006
15.568     17.2106    10.0927
15.5394    17.0267    10.0344
15.535     16.9121    10.0007
15.5964    16.0687    9.7987
15.5453    15.808     9.8283
15.5587    15.5561    9.8057
15.5791    15.3165    9.7043
15.6077    15.1195    9.7088
15.5898    14.9146    9.703
15.6078    14.6193    9.6943
15.6195    14.3498    9.7189
15.5972    14.0519    9.74
15.6368    13.711     9.7347
15.6285    13.4071    9.751
15.6199    13.2063    9.7487
15.6066    12.9889    9.7422
15.6134    12.8308    9.7349
15.6334    12.7454    9.7428
15.6093    12.5465    9.6718








































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX








