NME        AL 205-1A  To4sf
27.1853    -5.6642    6.7917
27.1573    -5.6706    6.6673
27.059     -5.6779    6.5666
26.9857    -5.6788    6.4166
26.9102    -5.6556    6.345




















































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































9999       9999       9999       OP
29.1002    -8.397     12.1748    BA
23.5905    -9.3621    11.4639    ST
18.5972    -10.3968   12.5762    IV
29.8863    -12.4223   12.3064    R_PG
27.4146    -15.1492   11.6229    R_ZTI
23.7132    -11.8354   13.631     R_M3D
20.9768    -12.7734   13.7678    R_M12
18.3121    -12.8994   13.4921    R_MP3
17.0125    -12.47     13.3576    R_PMI
27.7279    -4.5062    11.795     L_PG
24.2908    -2.9245    11.3232    L_ZTI
22.8862    -7.3694    12.9599    L_M3D
19.8905    -7.583     13.2859    L_M12
17.3475    -8.5761    13.4337    L_MP3
16.5565    -9.2466    13.1781    L_PMI
17.0794    -12.4967   12.4227    O1
21.7953    -5.0185    11.1118    O2
24.1487    -10.373    5.5725     O3
32.4422    -6.3385    9.7942     O4




















































































































































































23.3954    -13.4507   12.6216    RZYGINF
23.5043    -13.6435   12.5312
23.6267    -13.7088   12.4782
23.7137    -13.8769   12.3086
23.8133    -14.0427   12.259
24.0192    -14.3366   12.1976
24.2223    -14.4919   12.2242
24.308     -14.6407   12.2476
24.4026    -14.7407   12.2514
24.4743    -14.8185   12.2079
24.5709    -14.8474   12.1733
24.8427    -14.9263   12.1352
24.9514    -14.9523   12.1296
25.0595    -14.9916   12.1229
25.1722    -15.0197   12.1193
25.3036    -14.9744   12.1201
25.4196    -15.0212   12.0985
25.5384    -15.0406   12.0565
25.6596    -15.0673   12.0225
25.8019    -15.1143   11.9456
25.8992    -15.159    11.884
26.0278    -15.1885   11.8382
26.1344    -15.1783   11.8289
26.2717    -15.2198   11.7998
26.3891    -15.2206   11.7852
26.4982    -15.2016   11.7772
26.5795    -15.1889   11.7658
26.6776    -15.1844   11.7465
26.7688    -15.2012   11.7157
26.9255    -15.2324   11.7306
27.0392    -15.2229   11.7312
27.206     -15.1825   11.7385
27.3442    -15.1721   11.6743







































































































































































9999       9999       9999       LZYGINF







































































































































































































23.7711    -11.9822   13.4835    R-ALV
23.6461    -12.1455   13.4564
23.4457    -12.3095   13.4671
23.249     -12.3658   13.508
23.0669    -12.4346   13.5527
22.9375    -12.5069   13.6207
22.7508    -12.5517   13.6345
22.5838    -12.5813   13.6254
22.3647    -12.6022   13.6561
22.188     -12.6262   13.6898
22.0362    -12.7149   13.6853
21.8183    -12.7486   13.7136
21.6891    -12.7835   13.7321
21.5485    -12.7925   13.7006
21.3799    -12.843    13.6926
21.1281    -12.8376   13.7772
21.0114    -12.7904   13.7362
20.8265    -12.7958   13.6788
20.6777    -12.7973   13.7102
20.4986    -12.8195   13.6544
20.3364    -12.8618   13.6039
20.1115    -12.8567   13.6168
20.0003    -12.8246   13.5999
19.8118    -12.7955   13.5581
19.503     -12.7739   13.5928
19.2759    -12.8014   13.5752
19.1431    -12.8458   13.5894
18.9723    -12.8647   13.5845
18.8479    -12.8976   13.5802
18.68      -12.9018   13.4952
18.4957    -12.8764   13.5285
18.2495    -12.8193   13.5849








































































































































































22.8301    -7.3021    12.8917    L-ALV
22.6441    -7.1734    12.8404
22.4434    -7.1281    12.9046
22.1051    -7.0788    12.9645
21.9028    -7.0391    12.9876
21.7059    -7.0615    12.9931
21.4494    -7.1459    13.0085
21.2922    -7.1817    13.0414
21.1579    -7.2048    13.0645
20.9829    -7.215     13.0852
20.7979    -7.2403    13.0926
20.6755    -7.289     13.1714
20.5537    -7.3042    13.1075
20.4204    -7.3314    13.1162
20.2856    -7.3708    13.0933
20.309     -7.467     13.1469
20.2259    -7.5071    13.2105
20.1259    -7.5691    13.2333
19.9994    -7.65      13.2447
19.9687    -7.7535    13.1658
19.8086    -7.8094    13.1927
19.7162    -7.8335    13.1784
19.526     -7.8891    13.2064
19.3858    -7.9404    13.2132
19.2667    -7.9872    13.2499
19.1579    -8.0351    13.2709
19.0469    -8.1276    13.303
18.9068    -8.1701    13.2939
18.7214    -8.221     13.2895
18.6231    -8.2713    13.2673
18.5078    -8.3115    13.2669
18.3568    -8.3355    13.261
18.1343    -8.402     13.3172
17.9239    -8.4521    13.3578
17.799     -8.4824    13.3317
17.5999    -8.5076    13.323
17.5214    -8.5492    13.3848
17.4453    -8.5818    13.4299
