FSM        47992      Phq6stv
-0.3658    19.8833    12.3285    IN
-0.2094    16.171     15.1533    BR
0.01       8.9759     14.2484    GL
0.0108     8.9644     13.7337    NA
0.2038     4.6463     9.2583     RH
0.2882     2.326      6.4851     NS
0.3026     1.7977     4.8679     PR
-0.5502    2.016      4.8277     R_PR2
-0.5069    6.0859     9.8371     R_PMS
-3.9209    9.2094     8.702      R_ZMI
-1.7891    9.136      11.759     R_ZMU
-0.3041    9.0038     12.7867    R_DA
-2.0022    9.4303     14.0733    R_MTI
-1.7713    10.1531    15.1692    R_MTS
-3.5324    10.1088    13.0155    R_FMO
-4.3986    10.6927    13.181     R_FMT
-4.5817    15.9019    10.4493    R_PO
-5.5388    10.4661    10.0209    R_ZTS
1.2859     2.0632     5.0492     L_PR2
0.7013     6.3951     10.123     L_PMS
4.0643     9.4176     8.8077     L_ZMI
1.8147     9.2987     11.7585    L_ZMU
0.4863     9.1063     12.8873    L_DA
2.2084     9.6418     14.2246    L_MTI
2.1119     10.2847    15.0539    L_MTS
3.5381     10.4131    13.1815    L_FMO
4.3246     11.1331    13.4075    L_FMT
4.1293     16.3528    10.6507    L_PO
5.6594     10.9421    10.0999    L_ZTS
0.8358     1.5628     4.7703     O1
-3.3788    11.0732    14.5087    O2
6.0524     12.6897    10.2882    O3
-1.0613    19.4875    11.9944    O4







































































































































































-0.0509    9.0006     14.393     GLRH
-0.0681    8.9636     14.144
-0.0607    8.9515     13.8516
-0.0284    8.9418     13.6693
0.0028     8.8622     13.3643
0.0465     8.7504     12.9683
0.0426     8.6214     12.7114
0.0503     8.4761     12.5016
0.1066     8.3122     12.2137
0.0817     8.1153     11.9506
0.1191     7.9118     11.6957
0.1449     7.6901     11.4528
0.1842     7.4718     11.2209
0.145      7.23       10.9908
0.1636     7.0276     10.8115
0.1858     6.7798     10.6712
0.1972     6.5014     10.5042
0.1678     6.2755     10.3723
0.2263     6.0446     10.2419
0.1977     5.8002     10.1202
0.2295     5.5941     10.0034
0.1974     5.3779     9.8262
0.216      5.2292     9.7024
0.2156     5.0195     9.5629
0.1985     4.8277     9.3895
0.1966     4.6658     9.2086














































































































































































0.1868     4.6732     9.2779     NOSE
-0.0331    4.721      9.2605
-0.3516    4.7156     9.2081
-0.455     4.5849     9.0435
-0.5593    4.4239     8.941
-0.6616    4.3227     8.7618
-0.7574    4.1013     8.5026
-0.8858    3.8832     8.2853
-0.9135    3.7118     8.1191
-0.8899    3.5621     7.9999
-0.8944    3.372      7.7219
-0.8421    3.2315     7.544
-0.7908    3.0196     7.3146
-0.7206    2.8291     7.1025
-0.5768    2.6248     6.9233
-0.4698    2.5271     6.8229
-0.29      2.4516     6.7663
-0.0862    2.3437     6.6777
0.1214     2.3257     6.5459
0.2996     2.3551     6.4795
0.5123     2.3116     6.6242
0.8304     2.3642     6.8217
1.0159     2.6031     6.9602
1.152      2.7375     7.0751
1.2425     2.9442     7.3148
1.3325     3.0882     7.5185
1.3461     3.3167     7.7359
1.327      3.5172     7.9346
1.2645     3.7383     8.1212
1.2735     3.9424     8.2931
1.1781     4.1512     8.4776
1.0459     4.2895     8.63
0.9624     4.4235     8.8315
0.8916     4.5722     9.0047
0.8147     4.6659     9.0889
0.6727     4.6715     9.2068
0.4774     4.7064     9.2822
0.2499     4.6647     9.264


































































































































































0.2926     2.3245     6.4845     NASP-PR
0.2729     2.1385     6.2494
0.3076     1.9971     6.0044
0.3167     1.9284     5.7919
0.3167     1.8832     5.6234
0.3159     1.8752     5.4232
0.287      1.8795     5.2285
0.3251     1.814      5.0442
0.3517     1.7845     4.8419































































































































































































-0.5014    6.0321     9.7898     R-PM/MAX
-0.5934    5.8825     9.6352
-0.6562    5.6252     9.451
-0.767     5.3286     9.2115
-0.859     5.0778     9.031
-0.9671    4.8348     8.9259
-1.0514    4.6183     8.8106
-1.1927    4.3899     8.6099
-1.2657    4.1403     8.3527
-1.6652    3.9571     7.9936
-1.6957    3.7638     7.6551
-1.7567    3.6965     7.4428
-1.7814    3.5653     7.1693
-1.8007    3.4555     6.8588
-1.8119    3.2832     6.5748
-1.8552    3.165      6.4088
-1.8905    3.134      6.0874
-1.8749    3.0664     5.8128
-1.8463    3.051      5.6198
-1.8081    2.9992     5.4687
-1.7389    2.9479     5.3262
-1.5918    2.9988     5.1393


















































































































































































0.7191     6.3383     10.0861    L-PM/MAX
0.8125     6.152      9.8848
0.897      5.9658     9.7238
1.0281     5.757      9.551
1.1223     5.5825     9.4303
1.1818     5.398      9.2484
1.2815     5.2061     9.0542
1.4215     4.9811     8.8997
1.5908     4.6532     8.662
1.6802     4.4573     8.5286
1.7438     4.3109     8.3839
1.834      4.1845     8.1853
1.9372     4.0412     7.9706
2.0646     3.8963     7.7295
2.1504     3.736      7.526
2.1725     3.586      7.3282
2.3008     3.5525     7.0689
2.4704     3.5496     6.8643
2.5863     3.5104     6.6512
2.6205     3.4962     6.4765
2.6842     3.5        6.2426
2.6828     3.4686     5.9776
2.5975     3.4527     5.6544
2.437      3.3649     5.4756
2.2154     3.345      5.2699















































































































































































-2.4425    6.9894     5.8719     ROSTRUM
-2.498     6.8513     6.3909
-2.4502    6.7816     6.735
-2.2913    6.6844     7.0517
-2.1819    6.6596     7.2699
-2.0916    6.5298     7.5172
-1.9987    6.4874     7.8066
-1.9376    6.427      8.11
-1.9438    6.3887     8.3991
-2.0111    6.2702     8.6727
-2.1111    6.2453     8.8338
-2.2881    6.1232     9.0052
-2.2379    6.0797     9.2028
-2.0625    6.0421     9.3715
-2.0988    5.9461     9.5304
-1.9374    5.9611     9.6799
-1.7598    6.0668     9.741
-1.569     6.0792     9.7295
-1.3828    6.1173     9.7275
-1.1926    6.1114     9.6121
-1.0094    6.1597     9.6892
-0.747     6.193      9.7662
-0.4869    6.186      9.9254
-0.3318    6.1822     10.1439
-0.0141    6.1988     10.286
0.2521     6.201      10.3112
0.4956     6.2353     10.2516
0.7186     6.2639     10.0724
0.8805     6.3146     9.9624
1.0945     6.3679     9.8698
1.3979     6.4025     9.8197
1.6617     6.3866     9.8736
1.8816     6.4296     9.8483
1.9796     6.4721     9.7838
2.2313     6.4513     9.8518
2.3686     6.5029     9.7541
2.4916     6.5412     9.6203
2.4934     6.4915     9.5032
2.4        6.5898     9.2016
2.2601     6.6931     9.0684
2.1533     6.75       8.8698
2.0998     6.782      8.6975
2.0278     6.8539     8.5464
2.0374     6.8651     8.3537
2.088      6.9212     8.1407
2.1625     6.9357     7.947
2.2694     6.9311     7.6968
2.3714     7.0038     7.4639
2.4972     7.0166     7.2825
2.6747     7.0646     7.0537
2.7981     7.1065     6.8468
2.8665     7.138      6.5998
2.8648     7.2522     6.36
2.844      7.2788     6.1285
2.8515     7.3325     5.9345

















































































































































-4.3801    10.7207    13.302     SUPORB
-4.3295    10.7645    13.4664
-4.2505    10.7759    13.6919
-4.1508    10.8281    13.8842
-4.025     10.8235    14.1247
-3.8331    10.8109    14.3775
-3.5795    10.7215    14.533
-3.3495    10.5938    14.668
-3.2595    10.4904    14.7176
-3.063     10.4516    14.8231
-2.8274    10.4425    14.9352
-2.6101    10.3567    15.0054
-2.3126    10.2083    15.076
-1.9878    10.0786    15.1286
-1.756     10.1226    15.1752
-1.4851    10.1217    15.2187
-1.2009    10.1143    15.2263
-0.9801    10.079     15.2164
-0.8121    9.9227     15.1851
-0.6536    9.7201     15.1177
-0.3312    9.586      15.0183
-0.0096    9.6056     15.0047
0.3272     9.726      15.0536
0.5497     9.9612     15.1508
0.9007     10.1914    15.2118
1.3185     10.2868    15.205
1.6845     10.3494    15.1718
2.1015     10.3563    15.0879
2.2396     10.3704    15.0488
2.4515     10.3594    14.9874
2.6697     10.5617    14.9165
2.8246     10.7364    14.8671
2.9846     10.8964    14.8039
3.1595     11.0211    14.7231
3.4565     11.092     14.5363
3.8408     11.1707    14.2467
4.0202     11.1924    14.0413
4.1418     11.2074    13.8378
4.2506     11.2121    13.665
4.2582     11.1523    13.5691
4.3212     11.1221    13.4488
4.3509     11.0517    13.2889






























































































































































-1.8203    9.1029     11.7716    RORBIT
-2.0163    9.1658     11.755
-2.2476    9.2101     11.7778
-2.6246    9.3327     11.8013
-2.8333    9.4595     11.8655
-3.0137    9.6182     11.9589
-3.2185    9.7426     12.1441
-3.3617    9.8648     12.3029
-3.4242    9.9515     12.4741
-3.5405    10.0895    12.7886
-3.5809    10.0863    12.9202
-3.5582    10.0934    13.2057
-3.3832    9.9989     13.5412
-3.1635    9.9042     13.7802
-2.8925    9.6865     14.0132
-2.4815    9.4775     14.152
-2.1969    9.3805     14.1475
-1.9106    9.3178     14.1272
-1.58      9.2944     14.0954
-1.4241    9.3125     14.0686
-1.1448    9.4099     13.9952
-0.8729    9.3524     13.8908
-0.6827    9.2998     13.6783
-0.5737    9.2966     13.4557
-0.4752    9.2553     13.2762
-0.4131    9.1862     13.1139
-0.3634    9.0955     13.0464
-0.3082    9.0184     12.8144












































































































































































2.0142     9.2566     11.7128    LORBIT
2.1985     9.3061     11.6684
2.4505     9.4142     11.6623
2.6606     9.5573     11.7849
2.8811     9.6562     11.8592
3.0112     9.8338     12.0074
3.1585     10.0285    12.2049
3.3612     10.2015    12.4194
3.4419     10.3913    12.6626
3.5377     10.4402    12.9972
3.5275     10.4353    13.1584
3.5257     10.3679    13.4381
3.3162     10.2884    13.7532
3.1326     10.1445    14.0044
2.9675     10.0793    14.0818
2.814      9.9465     14.1907
2.6217     9.8402     14.201
2.4183     9.7346     14.2238
2.2        9.603      14.2513
1.9363     9.5148     14.2209
1.7148     9.5202     14.1181
1.4206     9.4659     14.0936
1.1654     9.4371     14.1559
0.8033     9.3195     13.9174
0.6843     9.2924     13.7344
0.5848     9.2038     13.5785
0.4562     9.1097     13.3143
0.4532     9.1114     13.0927
0.4528     9.0659     12.9529
0.4694     9.0848     12.8655










































































































































































-4.395     10.6953    13.2414    RTEMFOS
-4.4837    10.592     13.0729
-4.5763    10.4238    12.7698
-4.6227    10.3845    12.5291
-4.6414    10.2706    12.3093
-4.685     10.1348    12.0068
-4.6976    10.0004    11.7552
-4.6834    9.9141     11.5997
-4.6982    9.7915     11.3255
-4.7001    9.6659     11.1117
-4.7072    9.6149     10.971
-4.763     9.5541     10.8032
-4.8005    9.527      10.6247
-4.8273    9.4852     10.3643
-4.8897    9.4755     10.1194
-5.1749    9.6327     9.872
-5.3142    9.8179     9.901
-5.422     10.0253    9.94
-5.4568    10.1947    9.9894
-5.5186    10.3512    10.0046
-5.5855    10.4696    10.0347



















































































































































































4.2541     11.1129    13.36      LTEMFOS
4.3077     11.067     13.2157
4.3414     10.9332    13.1403
4.4559     10.9075    12.9361
