FMNH       27037      Phh9stv
16.1824    15.5398    14.3407    IN
12.6712    11.5826    16.1783    BR
8.9703     7.6371     13.381     GL
9.1756     7.7025     12.7772    NA
7.5756     5.8456     7.8923     RH
6.6998     4.8265     5.3894     NS
6.5942     4.6441     4.4556     PR
6.0355     5.449      4.5527     R_PR2
8.2675     7.0641     8.8894     R_PMS
7.5352     11.2489    8.2653     R_ZMI
8.4864     9.3016     11.0247    R_ZMU
9.1565     8.2255     12.0504    R_DA
8.0837     8.8698     13.0413    R_MTI
8.3425     8.8444     14.0565    R_MTS
7.5144     10.4802    12.5049    R_FMO
7.3954     11.1737    13.0252    R_FMT
10.8932    15.9267    11.9923    R_PO
7.3781     12.8816    9.7327     R_ZTS
7.5584     4.1749     4.5217     L_PR2
8.7567     6.6489     8.865      L_PMS
13.1104    6.6045     8.5369     L_ZMI
10.9957    7.2496     11.0999    L_ZMU
9.7083     7.862      12.0493    L_DA
10.8284    6.6229     13.2319    L_MTI
10.7421    7.0734     14.0922    L_MTS
12.2668    6.6555     12.5171    L_FMO
12.9886    6.5696     12.8837    L_FMT
16.9957    10.8081    11.7977    L_PO
14.6774    6.7602     9.8382     L_ZTS
6.7931     4.002      4.2841     O1
8.2044     10.7345    14.3155    O2
16.6126    7.9835     10.6621    O3
16.7053    14.3031    14.3653    O4







































































































































































8.9977     7.5854     13.3832    GLRH
9.0417     7.5926     13.2418
9.0564     7.6376     13.088
9.0943     7.6815     12.8516
9.1013     7.7523     12.7093
9.0987     7.7959     12.6069
9.1516     7.7967     12.4651
9.1833     7.8261     12.2978
9.1817     7.8574     12.1743
9.2037     7.8275     12.0496
9.2154     7.8444     11.8829
9.2135     7.8224     11.7818
9.1927     7.8261     11.6051
9.1807     7.7961     11.4429
9.1624     7.7799     11.2915
9.1586     7.7168     11.1
9.1405     7.7089     10.9901
9.105      7.7033     10.8781
9.0878     7.6309     10.7066
9.0844     7.6031     10.5802
9.0652     7.5635     10.4728
9.0434     7.5273     10.362
8.9965     7.4816     10.2632
9.0008     7.4601     10.1979
8.9549     7.4256     10.0789
8.9398     7.3479     9.9599
8.8292     7.3192     9.8062
8.7855     7.264      9.703
8.7497     7.2041     9.5762
8.6915     7.1214     9.4595
8.6186     7.0196     9.3533
8.5672     6.9755     9.2617
8.498      6.8881     9.1644
8.4228     6.8016     9.0721
8.3614     6.7375     9.0078
8.2951     6.6597     8.9004
8.1914     6.5642     8.805
8.1607     6.4591     8.7051
8.1026     6.3869     8.6273
7.9878     6.2529     8.5137
7.9005     6.1508     8.3838
7.8043     6.0743     8.2601
7.7735     5.9854     8.1802
7.7095     5.9623     8.1049
