AMNH       238034     Tg7stv

































6.3739     5.1161     8.7635     L-PM/MAX
6.3394     5.04       8.6307
6.2538     4.949      8.5285
6.1857     4.8537     8.4096
6.1473     4.745      8.2529
6.0363     4.6301     8.0434
5.9643     4.538      7.8675
5.8996     4.424      7.7272
5.8569     4.2943     7.6089
5.9575     4.2613     7.5605
6.0733     4.2201     7.4922
6.0101     4.1297     7.3012
6.0064     4.0705     7.1572
5.9918     3.9981     7.061
5.9671     3.9324     6.9582
5.9874     3.8354     6.7503
5.9796     3.7736     6.6137
5.9655     3.6998     6.4916
5.9998     3.6035     6.3318
5.9928     3.5163     6.1779
5.9674     3.4399     6.0701
5.9072     3.377      5.8758
5.9324     3.4413     5.6638
5.8886     3.4888     5.6006
















































































































































































5.3518     7.9362     6.0763     ROSTRUM
5.2698     7.9714     6.3044
5.2409     7.9517     6.4534
5.291      7.982      6.6361
5.36       7.9033     6.8818
5.4487     7.7395     7.0591
5.5472     7.5981     7.1861
5.5728     7.5244     7.3549
5.6305     7.4334     7.4845
5.679      7.4178     7.6314
5.686      7.3858     7.8308
5.6341     7.298      8.0577
5.627      7.2369     8.2745
5.6169     7.1858     8.3862
5.6555     7.1694     8.6419
5.6653     7.0912     8.8482
5.6986     7.0255     9.0158
5.7422     6.8655     9.1202
5.8158     6.7791     9.2113
5.8649     6.6795     9.3102
5.9459     6.5812     9.4332
6.0465     6.4366     9.566
6.1511     6.307      9.7067
6.2331     6.2229     9.8251
6.2958     6.1206     9.8576
6.3737     6.0583     9.905
6.5078     5.9838     9.9716
6.66       5.8087     9.7944
6.822      5.6665     9.5674
6.9654     5.5385     9.3563
7.0806     5.4512     9.1399
7.1685     5.3666     8.9506
7.2717     5.3181     8.7956
7.3966     5.278      8.6185
7.475      5.2864     8.471
7.5248     5.2586     8.2483
7.5717     5.2678     8.1063
7.6106     5.2714     7.8931
7.6215     5.283      7.6823
7.6972     5.303      7.504
7.7495     5.2803     7.2915
7.8635     5.2577     7.1424
7.9367     5.215      7.0495
8.1095     5.1261     6.8885
8.1876     5.1173     6.8086
8.3379     5.08       6.6797
8.3649     5.0533     6.4851
8.3676     5.0584     6.3459
8.3832     5.1271     6.1479
8.3391     5.1432     5.9826






















































































































































5.888      10.0227    12.6348    SUPORB
5.822      9.9353     12.8271
5.7672     9.882      12.9398
5.7538     9.787      13.0995
5.7364     9.7108     13.2486
5.7408     9.5479     13.4612
5.7501     9.4187     13.5958
5.7705     9.256      13.7281
5.8094     9.1312     13.8147
