AMNH       21650      phu5stv
8.3744     7.1283     8.8377
8.3113     6.9699     8.741
8.2813     6.7975     8.6113
8.1808     6.6411     8.4708
8.1405     6.5104     8.3332
8.0822     6.3885     8.2476
8.0681     6.276      8.1272
8.0389     6.162      8.0316
7.9999     6.0537     7.929
7.962      5.9023     7.8196
7.9178     5.7989     7.7218
7.8597     5.7068     7.5826
7.7919     5.498      7.3522
7.6789     5.4152     7.1799
7.6254     5.3482     6.9952
7.6616     5.2775     6.843
7.6049     5.1676     6.67
7.5913     5.1034     6.5664
7.555      4.9779     6.3301
7.5059     4.8708     6.0566
7.4789     4.8048     5.9098
7.4216     4.7299     5.7303
7.4219     4.7085     5.5776
7.4127     4.7059     5.4631
7.3842     4.7748     5.2443
7.368      4.8693     5.1142
7.344      4.9208     5.0569











































































































































































6.4059     9.4501     5.7464     ROSTRUM
6.4243     9.4291     5.9601
6.4101     9.3264     6.1807
6.4575     9.2473     6.3538
6.5559     9.1766     6.4817
6.6628     9.059      6.599
6.7272     8.9182     6.7859
6.7882     8.7651     7.0676
6.8036     8.6669     7.2657
6.8048     8.5844     7.4677
6.7145     8.5315     7.7244
6.674      8.4606     7.9097
6.6891     8.3757     8.0876
6.6867     8.2664     8.2906
6.8209     8.1247     8.4046
6.9576     7.9864     8.4683
7.0756     7.8964     8.5286
7.1764     7.8233     8.5806
7.2768     7.7059     8.6991
7.3879     7.6388     8.7989
7.4703     7.5534     8.8614
7.5829     7.4177     8.9092
7.7476     7.2406     8.8863
7.8968     7.1742     8.9256
8.0222     7.0919     8.8845
8.1401     6.9976     8.8586
8.3132     6.9374     8.7319
8.5325     6.838      8.545
8.5783     6.7738     8.5104
8.6915     6.7002     8.4885
8.818      6.6033     8.4306
8.8984     6.5565     8.3427
9.0322     6.4178     8.2385
9.1397     6.4252     7.9706
9.1788     6.5915     7.747
9.2314     6.6828     7.5505
9.3083     6.7683     7.2627
9.3302     6.786      7.0889
9.3635     6.8331     6.7946
9.4414     6.8177     6.6242
9.6228     6.7929     6.4385
9.7487     6.6865     6.3438
9.8816     6.5976     6.2228
9.9756     6.5812     6.1138
10.0452    6.6231     5.9229
10.0842    6.6275     5.7667
10.1112    6.6608     5.5796

























































































































































7.5227     12.2338    11.7117    SUPORB
7.649      12.2736    11.8878
