AMNH       169432     Phu1bjw
1.6847     27.1126    13.8059    IN
1.4098     22.0717    16.8593    BR
0.9978     15.6178    16.5103    GL
1.1108     15.5407    16.1812    NA
0.3641     9.7671     10.3307    RH
0.1389     6.7223     7.1368     NS
0.17       6.3757     5.6112     PR
-0.9616    6.7995     5.9704     R_PR2
-0.4441    10.8455    10.7548    R_PMS
-3.2686    15.4333    9.8994     R_ZMI
-1.1387    15.6211    13.9826    R_ZMU
0.5833     15.7708    15.2354    R_DA
-1.3724    16.0417    16.4505    R_MTI
-1.5627    16.6751    17.2746    R_MTS
-2.6298    16.5244    14.9201    R_FMO
-3.621     17.4758    14.9694    R_FMT
-3.1338    23.2286    12.2408    R_PO
-4.717     17.5235    11.501     R_ZTS
1.2664     6.6342     5.9448     L_PR2
1.3911     10.5636    10.7008    L_PMS
4.7038     15.0762    9.5703     L_ZMI
3.182      15.2852    13.7427    L_ZMU
1.5538     15.6235    15.0167    L_DA
3.5601     15.8071    16.1471    L_MTI
3.5583     16.5426    17.1291    L_MTS
4.7715     16.3081    14.6024    L_FMO
5.8192     17.1604    14.7361    L_FMT
5.5192     22.7586    11.6262    L_PO
6.4017     16.7562    10.9316    L_ZTS
0.707      6.0621     6.1466     O1
4.7834     17.4866    14.9953    O2
-2.4914    17.7036    15.0332    O3
1.5877     26.9734    13.2926    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM







































































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































0.441      9.6702     12.7956    OP
0.3171     11.7637    13.1565    BA
0.8463     18.2318    12.3925    ST
1.2019     24.7047    12.9174    IV
9999       9999       9999       R_PG
-5.1623    14.9822    11.3765    R_ZTI
-1.6068    18.902     14.101     R_M3D
-1.7275    21.6486    14.0887    R_M12
-1.268     24.4255    14.0264    R_MP3
-0.677     26.1401    13.5026    R_PMI
4.6663     11.5752    12.6225    L_PG
6.3947     14.308     11.392     L_ZTI
3.4641     18.6637    14.1243    L_M3D
3.9399     21.3447    13.8569    L_M12
3.7201     24.0431    13.8403    L_MP3
3.1921     25.9746    13.2148    L_PMI
2.1011     28.0645    13.3026    O1
4.3273     14.6946    6.7347     O2
-3.0265    15.4138    7.0658     O3
0.2115     6.2887     10.4286    O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV
