NMNH       337253     Phu39
18.094     18.0632    14.1604    IN
14.2857    14.8291    16.4654    BR
10.8962    11.1675    13.3099    GL
10.9581    11.2627    12.8973    NA
9.8967     9.6366     8.7331     RH
9.1151     8.6114     6.0244     NS
9.1321     8.4944     5.3272     PR
9999       9999       9999       R_PR2
10.5131    10.7935    10.0474    R_PMS
10.2575    14.5425    8.6907     R_ZMI
10.3435    13.0533    11.0554    R_ZMU
11.0662    11.7908    12.038     R_DA
9.7327     12.827     13.3308    R_MTI
10.4       13.0497    14.3808    R_MTS
9.5778     14.3839    12.48      R_FMO
9.8603     15.1975    12.6449    R_FMT
13.2248    18.068     11.6114    R_PO
10.1698    15.9775    10.0951    R_ZTS
9.9779     7.995      5.5156     L_PR2
10.8707    10.2732    9.9464     L_PMS
14.721     9.9701     9.0362     L_ZMI
13.093     10.3978    11.4333    L_ZMU
11.7088    11.2922    12.1874    L_DA
12.4501    10.0204    13.8036    L_MTI
13.0188    10.4286    14.5698    L_MTS
14.1421    9.7875     13.0111    L_FMO
14.9397    10.0373    13.235     L_FMT
18.1973    13.2724    12.4427    L_PO
16.0117    10.0765    10.9269    L_ZTS
10.3142    7.8662     5.6256     O1
10.3847    14.5308    13.9876    O2
17.2789    10.8466    11.878     O3
18.569     16.9104    14.0289    O4







































































































































































10.7508    11.2017    13.4549    GLRH
10.8245    11.2186    13.2009
10.897     11.246     12.9492
10.9295    11.2402    12.7631
10.9809    11.2536    12.4815
10.98      11.2888    12.2172
10.9803    11.2993    11.997
10.9889    11.2297    11.7998
10.9564    11.1793    11.5769
10.936     11.1184    11.4319
10.8869    11.0679    11.2781
10.8697    11.0159    11.1163
10.8135    10.9607    10.9613
10.7598    10.892     10.816
10.7203    10.7904    10.6388
10.6922    10.7015    10.5176
10.6288    10.6346    10.3889
10.5417    10.514     10.2087
10.4905    10.4265    10.0773
10.4488    10.2962    9.9439
10.3777    10.172     9.7599
10.3259    10.0821    9.6402
10.2568    9.9703     9.5007
10.1631    9.8894     9.3407
10.084     9.7867     9.1783
10.0271    9.7356     9.0632
10.0014    9.663      8.9638
9.9116     9.5876     8.7922












































































































































































9.8758     9.6151     8.7055     NOSE
9.6376     9.7556     8.7435
9.5273     9.9609     8.6369
9.4505     10.1152    8.4575
9.3071     10.1008    8.2316
9.2263     10.062     8.0704
9.1483     10.0009    7.8915
9.0551     9.9367     7.7505
9.0037     9.8777     7.5324
8.9289     9.7944     7.3268
8.9496     9.6616     7.1527
8.9066     9.5435     6.9957
8.8872     9.4006     6.8592
8.8493     9.3175     6.7603
8.8035     9.1909     6.6504
8.7651     9.0367     6.4663
8.7838     8.8852     6.2923
8.8609     8.7481     6.1025
9.003      8.6266     6.0099
9.0965     8.5487     6.0066
9.1452     8.3559     6.0165
9.277      8.3043     6.2517
9.4946     8.2017     6.5426
9.6328     8.2105     6.712
9.7967     8.322      6.8809
9.9671     8.3529     7.0259
10.0981    8.4089     7.1931
10.2108    8.4687     7.4506
10.2731    8.5484     7.6662
10.3679    8.682      8.0184
10.3437    8.8908     8.1952
10.3795    8.9855     8.3682
10.4056    9.0695     8.5526
10.3557    9.2701     8.6788
10.073     9.3833     8.8104
9.8775     9.5967     8.7282




































































































































































9.0339     8.509      5.9244     NASP-PR
9.0432     8.4754     5.6906
9.0638     8.48       5.5552
9.0897     8.4728     5.4129
9.1375     8.5222     5.2448



































































































































































































10.2277    10.6551    9.6512     R-PM/MAX
10.1026    10.5808    9.4677
9.9957     10.5341    9.3166
9.8744     10.4829    9.1447
9.7787     10.4444    9.0057
9.6664     10.4026    8.8469
9.4859     10.363     8.6482
9.3618     10.3217    8.5276
9.2637     10.3433    8.4175
9.1534     10.2685    8.274
9.0413     10.2352    8.1162
8.9156     10.2713    7.9188
8.8947     10.1674    7.7677
8.8526     10.1915    7.5661
8.9269     10.2111    7.876
8.874      10.2024    7.5956
8.7944     10.142     7.4537
8.7283     10.1735    7.2474
8.6986     10.2004    7.0601
8.6237     10.1697    6.9135
8.6155     10.2226    6.7336
8.5503     10.1978    6.5692
8.515      10.1733    6.4364
8.4594     10.2328    6.2552
8.4117     10.2565    6.0054
8.553      10.2719    5.7173
8.6973     10.158     5.571













































































































































































10.8415    10.2926    9.9871     L-PM/MAX
10.8156    10.165     9.8311
10.7709    10.0315    9.6605
10.7483    9.8758     9.5187
10.7119    9.7626     9.426
10.6942    9.6403     9.3022
10.6788    9.5234     9.1548
10.6323    9.35       8.9443
10.6137    9.1308     8.787
