AMNH       169432     Phu1mam4
-0.4679    20.7452    13.9114    IN
-0.0975    15.4302    16.4911    BR
0.5697     9.15       15.752     GL
0.5217     9.0615     15.3452    NA
0.594      3.6718     9.1288     RH
0.7429     0.951      5.7641     NS
0.7977     0.633      4.1834     PR
-0.3446    0.9172     4.403      R_PR2
-0.4036    4.6316     9.5748     R_PMS
-3.698     8.7754     9.043      R_ZMI
-1.9731    8.9997     13.1071    R_ZMU
0.0008     9.222      14.2614    R_DA
-1.9631    9.2242     15.601     R_MTI
-1.933     10.163     16.5413    R_MTS
-3.3731    9.7578     14.255     R_FMO
-4.3877    10.5265    14.2892    R_FMT
-4.6634    16.5853    11.8432    R_PO
-5.497     10.6534    10.6585    R_ZTS
1.8296     1.0078     4.2488     L_PR2
1.3979     4.546      9.5381     L_PMS
4.2211     9.4904     8.7449     L_ZMI
2.6204     9.2717     12.9075    L_ZMU
0.9136     9.2433     14.2043    L_DA
2.8429     9.5302     15.4045    L_MTI
2.7259     10.4888    16.3822    L_MTS
3.9287     10.1947    13.4976    L_FMO
5.001      11.2779    14.0238    L_FMT
4.0633     17.0006    11.2986    L_PO
5.6722     11.2288    10.2631    L_ZTS
1.5315     0.4288     4.1815     O1
4.1771     11.4214    15.5561    O2
-5.4915    15.1091    11.3101    O3
0.3501     20.3329    13.3337    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM







































































































































































































9999       9999       9999       SUPORB




























































