NMNH       477330      Prv3stv
-0.3604    2.2455     4.8628
-0.2364    2.2662     4.6279
-0.097     2.2638     4.415
0.0141     2.2788     4.2217
0.1608     2.3179     4.0702
0.2829     2.3185     3.9686
0.332      2.2905     3.8252
0.3817     2.2529     3.5125
0.5053     2.2248     3.3212
0.5487     2.193      3.233
0.6363     2.1879     3.082
0.7179     2.1588     2.9124
0.7193     2.1131     2.8055








































































































































































-3.6609    3.5382     5.4414     SUPORB
-3.5426    3.557      5.6508
-3.4473    3.5107     5.9429
-3.3055    3.4324     6.1337
-3.2029    3.4133     6.3017
-3.034     3.3489     6.4398
-2.8529    3.2719     6.4793
-2.6594    3.1635     6.5151
-2.5394    3.0931     6.5816
-2.4201    3.0288     6.5777
-2.276     2.9712     6.5864
-2.1519    2.9113     6.5932
-1.9573    2.8507     6.5842
-1.7884    2.8119     6.5937
-1.5082    2.7715     6.5796
-1.3161    2.7354     6.5631
-1.1114    2.6597     6.5186
-0.9046    2.6316     6.5224
-0.711     2.6179     6.5352
-0.5345    2.6729     6.587
-0.2599    2.7751     6.7063
0.0445     2.9366     6.7822
0.3478     2.9789     6.7655
0.547      3.0645     6.762
0.7649     3.1365     6.7495
0.9656     3.2109     6.7079
1.1292     3.2755     6.6944
1.2773     3.3111     6.6184
1.4341     3.3782     6.4869
1.5438     3.4292     6.3307
1.6434     3.5232     6.0762
1.7093     3.5504     5.9422
1.8954     3.5509     5.7733
1.924      3.4895     5.6569






































































































































































-2.4214    2.6538     4.3889     RORBIT
-2.6682    2.696      4.3657
-2.8796    2.7499     4.3936
-3.047     2.867      4.5178
-3.1494    2.9858     4.6561
-3.2057    3.081      4.7747
-3.2394    3.1474     4.8951
-3.2885    3.2108     5.1156
-3.2112    3.2726     5.3263
-3.1318    3.2924     5.5162
-2.9939    3.2435     5.739
-2.8965    3.1329     5.8914
-2.7083    3.0742     6.0169
-2.5114    2.9911     6.1311
-2.3461    2.9355     6.2024
-2.1589    2.8772     6.2488
-1.9443    2.7863     6.2518
-1.7877    2.7183     6.271
-1.5972    2.6476     6.226
-1.4318    2.6648     5.9668
-1.3612    2.6388     5.7737



















































































































































































0.8569     2.546      4.5665     LORBIT
1.0067     2.5637     4.5828
1.1736     2.6805     4.6158
1.3398     2.7566     4.7216
1.4105     2.8621     4.8316
1.5117     2.9578     4.9932
1.5339     3.0914     5.2208
1.5124     3.1287     5.3192
1.5086     3.1914     5.5047
1.4259     3.2277     5.6976
1.3379     3.1653     5.941
1.1938     3.0926     6.1561
0.9968     3.0056     6.2871
0.8213     2.9646     6.3178
0.5661     2.9409     6.3097
0.4001     2.9281     6.3027
0.1149     2.8714     6.3386
-0.0425    2.8335     6.3065
-0.1627    2.7758     6.2481
-0.3207    2.6819     6.1634
-0.3615    2.6395     6.0519
-0.459     2.5648     5.8938


















































































































































































-3.6293    3.5538     5.4795     RTEMFOS
-3.7202    3.531      5.3205
