UWMA       ZA 72      Phu61stv
1.2136     2.8763     9.7861
1.1257     2.859      9.5968
0.9617     2.7524     9.3981
0.8471     2.7163     9.1616
0.7372     2.6474     8.9476
0.6905     2.5788     8.765
0.6216     2.4794     8.4793
0.566      2.3642     8.3221
0.5313     2.1628     8.1525
0.4659     1.9857     8.0045
0.4497     1.8855     7.9055
0.3686     1.9045     7.5278
0.2977     1.9623     7.3281
0.1982     1.9837     7.1667
0.0971     1.9202     6.9836
-0.1383    1.8645     6.6263
-0.2676    1.9044     6.3479
-0.326     1.903      6.1667
-0.1697    1.926      5.7128











































































































































































4.1225     2.8447     10.7324    L-PM/MAX
4.1138     2.6112     10.6414
4.0216     2.3668     10.5742
3.9695     2.1806     10.5196
3.8748     1.9674     10.4621
3.8046     1.7274     10.3931
3.7696     1.5028     10.3131
3.7181     1.2754     10.228
3.6441     1.0958     10.1352
3.6436     0.9972     10.0418
3.5103     0.8248     9.8724
3.4967     0.611      9.5185
3.4895     0.443      9.0889
3.5247     0.3011     8.9427
3.4079     0.2117     8.7612
3.4054     0.1219     8.6006
3.4342     0.0637     8.4291
3.4931     -0.0476    8.1957
3.5741     -0.1318    7.9765
3.559      -0.1979    7.77
3.6028     -0.3148    7.4779
3.6033     -0.3893    7.3183
3.5251     -0.5526    6.8987
3.4571     -0.6172    6.7173
3.3597     -0.6981    6.5111
3.2419     -0.7539    6.2884
3.1545     -0.8143    6.1056
2.999      -0.8       5.8724
2.992      -0.7574    5.625
2.9522     -0.6917    5.5881










































































































































































1.8745     6.1477     6.2359     ROSTRUM
1.7823     6.1627     6.565
1.7867     6.0935     6.824
1.8024     5.9992     7.0253
1.9382     5.8809     7.2443
2.0341     5.7339     7.445
2.1161     5.6221     7.6295
2.1877     5.5536     7.778
2.2472     5.4668     8.0041
2.2469     5.3331     8.2686
2.2604     5.2564     8.6308
2.2119     5.2015     8.8872
2.176      5.1457     9.1915
2.1284     5.1299     9.4766
2.0366     5.1337     9.8158
1.8992     5.0726     9.9718
1.7583     5.0833     10.1186
1.6217     5.0936     10.227
1.5346     5.1025     10.3126
1.352      5.1068     10.5587
1.3902     4.9605     10.8341
1.6564     4.7635     10.94
1.8463     4.5609     10.9172
2.0338     4.4316     10.8879
2.3006     4.2795     10.8798
2.4735     4.0614     10.8279
2.6474     3.9245     10.8029
2.7584     3.8935     10.8224
2.8634     3.7518     10.8643
2.9901     3.6282     10.9363
3.1684     3.4549     11.0221
3.4186     3.2842     11.1009
3.6372     3.2198     11.1209
3.7822     3.0832     11.0205
3.9368     2.9949     10.8944
4.122      2.8311     10.7264
4.4507     2.6514     10.7927
4.6078     2.5137     10.8523
4.7578     2.3668     10.9754
4.9691     2.149      11.0031
5.166      1.9609     10.9955
5.3783     1.8598     10.9865
5.4334     1.687      10.6445
5.4328     1.8457     10.3375
5.2829     1.9981     10.0312
5.1958     2.0977     9.8237
5.1621     2.1688     9.5694
5.1774     2.2553     9.3265
5.2062     2.2502     8.9865
5.2725     2.2875     8.7061
5.3612     2.3174     8.373
5.4681     2.3048     8.0791
5.6346     2.3454     7.8299
5.8187     2.33       7.5679
5.925      2.2706     7.3383
6.0305     2.2036     7.1438
6.1999     2.1544     6.9396
6.3309     2.191      6.7578
6.3412     2.1482     6.5427
6.3799     2.2068     6.3171
6.3881     2.3125     6.0628











































































































































9999       9999       9999       SUPORB







































































































































































































4.2489     8.5438     13.0147    RORBIT
4.1        8.7159     13.0889
4.0135     8.8744     13.1475
3.9043     9.0668     13.2192
3.8159     9.2203     13.2854
3.7435     9.3956     13.3717
3.6706     9.6675     13.5284
3.6286     9.86       13.6921
3.6743     9.9628     13.8459
3.6673     10.0893    14.1293
3.6868     10.0399    14.3014
3.6101     9.842      14.6039
3.64       9.5515     14.8637
3.7371     9.2423     15.0796
3.923      9.0303     15.105
4.051      8.8275     15.1709
4.1433     8.6256     15.2507
4.2632     8.374      15.2767
4.4746     8.202      15.209
4.6288     8.0676     15.1883
4.8667     7.9618     15.1842
4.9435     7.8447     15.4143
5.2053     7.7078     15.3146
5.4034     7.61       15.2574
5.48       7.5307     15.1359
5.5309     7.5116     14.992
5.5385     7.5028     14.8621
5.6283     7.4332     14.6867
5.7043     7.295      14.559
5.7559     7.2649     14.4378
5.7844     7.3153     14.2932
5.8042     7.3056     14.1311
























































































