UWMA       ZA 663     Phu87







9.3508     9.0973     9.7283     L-PM/MAX
9.1786     8.82       9.5584
9.1704     8.6553     9.3683
9.0872     8.3936     9.1876
9.0274     8.2608     9.0221
8.9932     8.157      8.8471
8.9281     7.8797     8.5847
8.8755     7.6332     8.3886
8.7508     7.3725     8.1453
8.7254     7.2489     8.0186
8.7163     7.0252     7.8078
8.6843     6.8598     7.6377
8.6849     6.6461     7.2517
8.6261     6.5063     6.9942
8.5426     6.3852     6.7333
8.5851     6.3021     6.4924
8.5935     6.2017     6.2674
8.7103     6.0707     5.7981
8.7403     5.995      5.592
8.804      5.8854     5.3179
8.829      5.7928     5.0343
8.7777     5.7496     4.7881
8.7441     5.7352     4.5284
8.7893     5.7489     4.3168
8.5403     5.9174     4.084















































































































































































7.6446     12.1019    5.4917     ROSTRUM
7.698      12.0768    5.8434
7.7275     11.9291    6.0465
7.7738     11.8149    6.2457
7.8388     11.6718    6.429
7.8556     11.5987    6.5561
7.876      11.4456    6.8569
7.8784     11.4026    6.997
7.8504     11.3583    7.1955
7.77       11.3045    7.4991
7.702      11.2256    7.7128
7.656      11.1354    8.0871
7.6213     11.0576    8.3677
7.4316     11.1217    8.622
7.2641     11.1333    8.75
7.0301     11.2071    9.0677
7.0447     11.1398    9.2568
7.1691     10.9379    9.3852
7.329      10.8195    9.4286
7.5365     10.6156    9.5027
7.7637     10.4729    9.5182
7.9898     10.3079    9.5323
8.156      10.2261    9.6317
8.2798     10.0968    9.7356
8.4436     9.9972     9.868
8.5737     9.8506     9.9949
8.7479     9.7533     10.064
8.923      9.5934     10.0904
9.0869     9.4769     10.1043
9.2775     9.3579     10.0419
9.4166     9.3103     9.8848
9.6012     9.218      9.7708
9.7984     9.1288     9.6992
10.0361    9.0039     9.6153
10.2168    8.8387     9.6487
10.375     8.6936     9.6596
10.6343    8.5118     9.57
10.8643    8.3542     9.5305
11.0396    8.2509     9.3456
11.015     8.2924     9.0262
10.8897    8.5814     8.7778
10.7947    8.6694     8.5127
10.7552    8.7059     8.2059
10.767     8.6957     7.9703
10.7929    8.672      7.7441
10.8563    8.6812     7.5067
10.8795    8.676      7.2491
10.9616    8.6842     7.0076
11.0782    8.7092     6.7644
11.1695    8.6791     6.5282
11.2697    8.6602     6.3597
11.3502    8.6278     6.207
11.4772    8.6204     6.0878
11.6136    8.6182     5.8773
11.7085    8.5982     5.7137
11.7301    8.5972     5.5138
















































































































































9.5728     16.4258    13.8928    SUPORB
9.6114     16.3122    14.2366
9.6963     16.2726    14.4902
9.7454     16.0847    14.7831
