TMP        CO 100     Phg5stv
9999       9999       9999       IN
13.5119    19.3134    10.8092    BR
12.814     13.2108    12.0747    GL
12.8568    12.9951    11.5719    NA
12.5661    8.7267     9.7221     RH
12.4261    5.6902     7.9396     NS
12.339     5.039      7.2646     PR
11.5728    5.2218     7.2227     R_PR2
12.0573    9.6567     9.6403     R_PMS
9.4313     12.1393    7.0857     R_ZMI
11.1883    12.5275    9.8439     R_ZMU
12.5324    12.8223    10.7215    R_DA
11.1163    13.7822    11.7087    R_MTI
11.1629    14.2974    12.0861    R_MTS
9.7815     13.9109    10.4495    R_FMO
9.2951     14.421     10.1787    R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
13.2309    5.1334     7.2417     L_PR2
13.3408    9.6237     9.7112     L_PMS
15.9989    11.3726    7.3833     L_ZMI
14.7348    12.2413    9.9759     L_ZMU
13.2598    12.6922    10.7106    L_DA
14.4667    13.6334    11.8149    L_MTI
14.4197    14.1252    12.4333    L_MTS
9999       9999       9999       L_FMO
9999       9999       9999       L_FMT
17.4043    17.247     6.6287     L_PO
9999       9999       9999       L_ZTS
14.4436    5.3865     5.317      O1
10.3286    15.253     11.2344    O2
18.1565    16.6764    6.7062     O3
11.2415    20.1509    8.7421     O4







































































































































































12.8541    13.1639    12.0237    GLRH
12.8665    13.0086    11.732
12.8758    12.9654    11.5292
12.8637    12.8308    11.3228
12.8766    12.7087    11.0994
12.8707    12.545     10.9057
12.8502    12.3852    10.7542
12.8264    12.1371    10.598
12.8211    11.9036    10.495
12.7929    11.6569    10.4185
12.7711    11.4044    10.3555
12.7601    11.1155    10.284
12.7378    10.8143    10.1843
12.7283    10.4303    10.0437
12.6333    10.0159    10.0034
12.6286    9.6667     9.9471
12.6694    9.4009     9.8692
12.6208    9.1723     9.8676
12.6447    8.924      9.8137
12.6167    8.8183     9.7813
12.6273    8.782      9.7732



















































































































































































12.6631    8.7271     9.7479     NOSE
12.4355    8.7253     9.7216
12.2209    8.6799     9.5965
12.0282    8.4114     9.4103
11.6714    8.1726     9.3085
11.574     7.8548     9.1675
11.5066    7.599      9.0337
11.4268    7.3949     8.9811
11.4162    7.2492     8.8853
11.4043    7.0463     8.7316
11.4265    6.8507     8.6043
11.4976    6.6599     8.5027
11.5722    6.45       8.4673
11.7101    6.353      8.4336
11.7847    6.1747     8.3198
11.8746    5.985      8.2314
12.0236    5.8814     8.122
12.1152    5.7676     8.0564
12.3288    5.6975     7.9455
12.4744    5.6862     7.9411
12.7268    5.7214     8.0849
12.8631    5.8321     8.211
13.023     5.9449     8.3276
13.2146    6.0945     8.4665
13.3356    6.2855     8.5768
13.4208    6.5927     8.6252
13.4854    6.8346     8.7529
13.5373    7.0205     8.9034
13.5508    7.231      9.037
13.5122    7.4761     9.1636
13.4651    7.7288     9.2889
13.4521    7.9258     9.3509
13.3839    8.1215     9.3734
13.2825    8.3201     9.4339
13.2533    8.4292     9.5127
