FMNH       34580      Phu54stv
17.3959    18.4393    16.1365    IN
14.5026    14.768     18.9341    BR
10.3566    9.4838     16.4444    GL
10.4634    9.515      15.6835    NA
7.6671     6.4129     9.4218     RH
6.3557     4.751      5.1809     NS
6.4313     4.6956     3.9566     PR
5.6899     5.5384     4.1886     R_PR2
8.2464     8.0579     10.6811    R_PMS
7.9139     12.7463    10.0601    R_ZMI
9.0348     11.1593    13.8213    R_ZMU
10.2822    10.0665    14.862     R_DA
9.0596     10.8063    16.1291    R_MTI
9.8143     11.0699    17.7303    R_MTS
8.2437     12.6912    14.9473    R_FMO
8.1924     13.9374    14.9606    R_FMT
12.0257    18.4746    13.3759    R_PO
7.9529     14.9604    11.8831    R_ZTS
7.5304     4.2272     4.3383     L_PR2
9.5459     7.422      11.0707    L_PMS
14.2055    7.8843     9.8025     L_ZMI
12.6561    8.5487     13.8232    L_ZMU
11.1822    9.3907     14.7481    L_DA
12.5197    8.1068     16.2035    L_MTI
12.9153    9.2859     17.7196    L_MTS
14.2685    8.1911     15.0582    L_FMO
15.4524    8.3993     14.9956    L_FMT
19.0151    13.1223    13.5148    L_PO
16.4056    8.2558     12.0124    L_ZTS
6.8312     3.8966     4.2623     O1
8.9317     13.0062    16.7967    O2
17.7529    9.2117     12.2886    O3
18.2172    17.515     15.7791    O4







































































































































































10.4046    9.4289     16.4221    GLRH
10.4136    9.4337     16.1833
10.4169    9.4526     16.0351
10.4559    9.4777     15.8469
10.4707    9.5002     15.6661
10.5087    9.4652     15.5375
10.5256    9.4249     15.3686
10.51      9.4126     15.2006
10.4729    9.4029     15.0606
10.4733    9.3654     14.881
10.4253    9.3182     14.7175
10.3642    9.2846     14.5533
10.3222    9.2663     14.4388
10.253     9.1807     14.2094
10.212     9.1276     14.0617
10.1531    9.0917     13.9176
10.0923    9.0197     13.7752
10.0452    8.9762     13.6489
10.0071    8.8871     13.5079
9.8969     8.8339     13.3217
9.8375     8.7224     13.1689
9.7893     8.6339     13.0132
9.7182     8.5477     12.8824
9.6028     8.4725     12.706
9.525      8.4374     12.6467
9.4555     8.3602     12.4863
9.3582     8.2765     12.3381
9.3025     8.1504     12.2072
9.2447     8.0649     12.0845
9.1408     7.952      11.938
9.0839     7.8817     11.8444
8.9894     7.7863     11.6932
8.9252     7.7177     11.5846
8.7833     7.6101     11.4143
8.7416     7.5423     11.3393
8.6706     7.4496     11.2416
8.6253     7.3947     11.1561
8.5452     7.2957     11.0429
8.4637     7.2157     10.9032
8.3905     7.145      10.7925
8.325      7.0548     10.6593
8.2802     6.9531     10.5466
8.1771     6.8915     10.4113
8.0998     6.8007     10.2502
7.9874     6.6982     10.0843
7.9011     6.647      9.8984
7.7734     6.4484     9.6054
7.6894     6.4121     9.4543
























































































































































7.6941     6.4069     9.4403     NOSE
7.5002     6.5786     9.357
7.264      6.709      9.2174
7.0696     6.8329     9.0193
6.889      6.8476     8.8658
6.7872     6.7807     8.6808
6.5805     6.7781     8.4086
6.5053     6.7197     8.2783
6.3938     6.6528     8.1126
6.3294     6.5593     7.8568
6.2425     6.5671     7.663
6.1723     6.4881     7.4291
6.1775     6.3973     7.1945
6.1572     6.3338     7.0555
6.0977     6.2649     6.8863
6.0905     6.1637     6.7448
6.0565     6.1367     6.6553
6.0168     6.0296     6.5324
5.9502     5.9121     6.4546
5.896      5.779      6.3579
5.8287     5.6629     6.213
5.791      5.4644     6.1089
5.7612     5.3211     5.9888
5.7711     5.1886     5.8404
5.8233     5.0228     5.628
5.903      4.9462     5.4873
5.9773     4.8991     5.4499
6.2151     4.7406     5.215
6.3771     4.6604     5.1106
6.537      4.46       5.1763
6.7105     4.3105     5.3779
6.8375     4.1833     5.5031
6.9931     4.1631     5.7479
7.1777     4.2045     5.9282
7.2854     4.3667     6.0699
7.4995     4.4439     6.2533
7.6302     4.5928     6.3708
7.7838     4.6823     6.4851
7.8497     4.8259     6.6213
7.9144     5.0112     6.8547
8.0225     5.0147     7.0119
8.0952     5.1351     7.2979
8.1372     5.1816     7.4691
8.1784     5.2179     7.6389
8.265      5.1758     7.8233
8.2975     5.2617     7.9884
8.3597     5.2845     8.1564
8.3564     5.3939     8.3149
8.3981     5.4739     8.5007
8.4251     5.619      8.7064
8.4122     5.6541     8.7908
8.404      5.8081     9.0073
8.4116     5.9385     9.071
8.1074     6.0934     9.2933
8.0269     6.1993     9.4536
7.9319     6.3305     9.4584
7.7735     6.365      9.3856















































































































































6.3322     4.6161     4.9791     NASP-PR
6.321      4.5746     4.8286
6.3203     4.5885     4.681
6.3151     4.5799     4.4985
6.3334     4.5632     4.3566
6.3542     4.6146     4.1951
6.4183     4.6592     4.0206

















































































































































































