FSM        16665      Tg41stv
1.7657     4.2895     7.2671
1.6429     4.3504     7.0932





















































































































































































-1.8032    7.6868     7.1366     ROSTRUM
-1.77      7.6765     7.3682
-1.72      7.6717     7.5994
-1.6136    7.683      7.7896
-1.4108    7.7062     7.8705
-1.0835    7.7185     8.0709
-0.9115    7.7376     8.349
-0.7905    7.7754     8.6433
-0.7585    7.7297     9.1265
-0.7552    7.6768     9.4447
-0.7233    7.6555     9.6456
-0.6728    7.6466     9.8418
-0.5432    7.5731     9.9967
-0.3133    7.5687     10.1604
-0.1829    7.5433     10.2159
-0.0431    7.5487     10.3456
0.0593     7.5684     10.4684
0.2149     7.5309     10.5412
0.4327     7.5235     10.6375
0.6619     7.5792     10.6377
0.899      7.582      10.5072
1.0688     7.6575     10.4069
1.2721     7.7192     10.3304
1.3307     7.7104     10.2822
1.5047     7.7387     10.1634
1.5282     7.6094     9.8314
1.5632     7.6669     9.6386
1.5717     7.75       9.4359
1.5569     7.7613     9.1257
1.5657     7.8236     8.8546
1.6602     7.845      8.6071
1.7413     7.8493     8.4212
1.8474     7.8626     8.2055
2.0062     7.8075     8.0343
2.1522     7.8368     7.9298
2.3138     7.8178     7.8474
2.5069     7.8245     7.7408
2.5985     7.8156     7.5585
2.6097     7.8227     7.3668
2.6148     7.8132     7.2089
2.642      7.8123     6.9599































































































































































9999       9999       9999       SUPORB











































































































































