TMP        AZ 995     Phu135sf
15.8677    21.2938    11.5679    IN
15.9779    17.1583    15.7179    BR
15.7559    10.4926    15.6765    GL
15.7441    10.4116    15.0993    NA
15.5665    4.3321     10.5919    RH
15.3803    1.0334     7.5756     NS
15.285     0.5813     6.6819     PR
14.3786    0.8863     6.7418     R_PR2
14.9181    6.1497     11.1603    R_PMS
11.7388    9.3616     9.972      R_ZMI
13.7396    10.178     13.1884    R_ZMU
15.2442    10.3293    14.1682    R_DA
13.8888    10.807     15.4309    R_MTI
14.0294    11.8046    16.4132    R_MTS
12.1732    11.3289    14.0349    R_FMO
11.3656    12.1069    13.8572    R_FMT
11.2196    16.9376    10.3225    R_PO
10.4624    11.7366    10.9314    R_ZTS
16.3418    0.8345     6.7926     L_PR2
16.208     6.271      11.3185    L_PMS
19.0779    9.1454     9.6787     L_ZMI
17.5126    10.1414    13.0141    L_ZMU
16.133     10.3852    14.2068    L_DA
17.9023    10.7225    15.3193    L_MTI
17.7103    11.6454    16.1893    L_MTS
19.3515    11.2917    13.8228    L_FMO
20.0338    12.0192    13.5576    L_FMT
19.9602    16.8585    9.8339     L_PO
20.6718    11.5878    10.4528    L_ZTS
14.8205    0.2647     6.5234     O1
19.2412    12.5925    14.9536    O2
9.9964     13.2613    10.6825    O3
16.2311    21.2179    11.3574    O4







































































































































































15.7876    10.5025    15.6938    GLRH
15.7746    10.4713    15.4349
15.7417    10.4134    15.2208
15.7058    10.3836    15.0209
15.7267    10.303     14.8219
15.7098    10.2068    14.585
15.71      10.0609    14.3182
15.7065    9.9041     14.1553
15.7032    9.6743     13.921
15.7201    9.4126     13.6949
15.6984    9.1749     13.5106
15.7231    8.9651     13.3398
15.6934    8.8105     13.2179
15.6834    8.5732     13.0599
15.6682    8.3967     12.9166
15.6285    8.1366     12.7488
15.6396    7.8686     12.5649
15.6109    7.6237     12.4305
15.6102    7.305      12.2407
15.6012    7.0429     12.1141
15.5829    6.8027     11.9475
15.5995    6.6589     11.8674
15.5956    6.401      11.7376
15.5813    6.2195     11.6573
15.5662    6.0037     11.5443
15.5636    5.7707     11.4397
15.5715    5.4645     11.3022
15.5807    5.2182     11.1916
15.5879    4.9961     11.0846
15.5981    4.7401     10.9188
15.6138    4.5431     10.7648
15.5868    4.4007     10.6868
15.5554    4.31       10.5966







































































































































































15.5499    4.3232     10.56      NOSE
15.3565    4.3364     10.5173
15.1959    4.1451     10.4066
14.9699    4.1033     10.2943
14.8418    3.9799     10.2093
14.7258    3.7658     10.0417
14.6475    3.483      9.8426
14.4646    3.2289     9.6676
14.357     2.9162     9.3899
14.2945    2.6769     9.1935
14.2609    2.4398     8.9818
14.2555    2.1315     8.7522
14.2518    1.7929     8.5196
14.3589    1.5118     8.3532
14.6322    1.191      8.2413
14.8402    1.0226     8.0886
15.0516    0.9075     7.8885
15.1654    0.8832     7.6799
15.2974    0.9765     7.58
15.4173    0.9753     7.5607
15.6386    0.959      7.6824
15.8759    0.9465     7.9029
16.038     1.061      8.0547
16.3014    1.3452     8.2571
16.531     1.6072     8.2939
16.6568    1.9282     8.476
16.6842    2.2085     8.707
16.7286    2.4084     8.9263
16.6543    2.7296     9.1607
16.726     2.9093     9.3557
16.6294    3.1388     9.5482
16.4967    3.3683     9.638
16.3982    3.5559     9.8158
16.307     3.7453     9.9498
16.2102    3.9236     10.0842
16.1964    4.005      10.138
16.053     4.1587     10.266
15.9226    4.1943     10.3686
15.8125    4.2627     10.4799
15.722     4.3292     10.5242
15.6529    4.3831     10.5793
15.5369    4.3552     10.6338






























































































































































15.3981    0.979      7.54       NASP-PR
15.3589    0.8056     7.3999
15.2906    0.6201     7.1739
15.2752    0.5786     6.9862
15.2753    0.5419     6.8957
15.283     0.53       6.8533
15.2888    0.5753     6.6743

































































































































































































14.9308    6.019      11.1545    R-PM/MAX
14.8585    5.729      10.9722
14.8003    5.479      10.8501
14.7252    5.2096     10.7179
14.6504    4.9251     10.5653
14.5345    4.7017     10.4562
14.4398    4.5337     10.3866
14.3961    4.5121     10.3824
14.3272    4.4021     10.3068
14.1711    4.0722     10.0729
14.1599    3.8841     9.9445
14.0732    3.5162     9.6847
14.0389    3.3281     9.5063
13.9805    3.1125     9.2158
13.8678    2.8667     8.881
13.7449    2.6937     8.576
13.6116    2.5515     8.2758
13.4717    2.5345     8.0694
13.284     2.4653     7.7975
13.2001    2.3088     7.5517
13.1526    2.2747     7.3193
13.3598    2.1028     7.1104
13.5164    1.9974     7.1213
13.6529    1.9748     7.0041
















































































































































































16.2534    6.1559     11.2649    L-PM/MAX
16.2491    5.9402     11.1599
16.2779    5.7682     11.0468
16.3208    5.535      10.9398
16.376     5.2299     10.7798
16.4771    4.903      10.5351
16.5807    4.6397     10.3877
16.7625    4.2733     10.1847
16.8716    4.0203     10.01
16.9154    3.8213     9.8678
16.9917    3.5766     9.6442
16.9992    3.416      9.5044
17         3.2564     9.3479
16.9955    3.1203     9.171
17.0218    2.9595     8.9255
17.0766    2.7961     8.6902
17.1825    2.6469     8.3896
17.2444    2.5474     8.1624
17.4061    2.5287     7.8935
17.5161    2.4197     7.641
17.601     2.2928     7.3795
17.5006    2.104      7.1137
17.2585    2.0344     6.9335

















































































































































































12.8157    6.1805     7.144      ROSTRUM
12.8313    6.1558     7.2936
12.8896    6.1383     7.5994
13.0827    6.0735     7.9349
13.2944    6.0034     8.2077
13.376     5.9596     8.4501
13.5094    6.0119     8.9179
13.5154    6.0672     9.2006
13.4685    6.0436     9.4384
13.4075    5.9828     9.6508
13.3472    5.9518     9.8749
13.3213    5.9644     10.0137
13.2031    5.9322     10.2371
13.1869    5.8891     10.4447
13.3056    5.7388     10.8076
13.4621    5.7799     10.9679
13.6936    5.7903     11.09
13.9996    5.8052     11.0631
14.2789    5.8144     10.9985
14.5545    5.8687     10.9537
14.7715    5.8095     10.9908
14.8573    5.7938     11.0032
14.9946    5.7612     11.1384
15.1644    5.7186     11.2543
15.3895    5.7152     11.3731
15.5027    5.6727     11.3897
15.7781    5.6663     11.3508
16.0361    5.7756     11.2999
16.2476    5.8248     11.1526
16.3506    5.8277     11.0495
16.5235    5.8454     10.9914
16.8038    5.8383     10.9714
17.0284    5.8977     11.0051
17.3386    5.8876     11.0077
17.6434    5.9377     10.9304
17.8374    6.0313     10.6348
17.8791    6.0885     10.3652
17.7111    5.8495     9.6452
17.4727    5.8008     9.1173
17.4256    5.8346     8.734
17.4861    5.9549     8.3625
17.665     6.1092     8.045
17.7681    5.9424     7.846
17.8683    5.9698     7.5981
17.9433    6.0431     7.3244
17.9672    5.9935     7.1127
18.0237    6.0116     7.009
18.0119    6.0957     6.8891
























































































































































11.412     12.1416    13.9755    SUPORB
