AMNH       169432     Phu1Tosi3
18.0624    19.0596    18.2232    IN
14.2226    14.9377    20.0686    BR
10.1336    10.284     18.3969    GL
10.0681    10.3198    17.8796    NA
7.0565     7.1955     10.9362    RH
5.6301     5.6304     7.2004     NS
5.6277     5.5154     5.5084     PR
4.998      6.4948     5.6033     R_PR2
6.9492     8.5321     11.4979    R_PMS
7.6741     13.8285    11.5241    R_ZMI
8.6699     12.2286    15.6841    R_ZMU
9.9027     10.8719    16.8698    R_DA
8.5643     12.0166    18.1581    R_MTI
9.2399     12.4659    19.3784    R_MTS
8.1064     13.7036    16.905     R_FMO
7.7583     14.9554    17.0524    R_FMT
12.2594    19.4323    15.6138    R_PO
7.6354     16.2238    13.5186    R_ZTS
6.626      5.0132     5.6208     L_PR2
8.3259     7.1654     11.4886    L_PMS
13.8134    8.6579     11.4544    L_ZMI
12.0838    9.0736     15.572     L_ZMU
10.7021    10.265     16.8684    L_DA
12.2608    8.896      18.0739    L_MTI
12.6399    9.4512     19.1911    L_MTS
13.706     8.7572     16.8695    L_FMO
15.0539    8.7368     16.9232    L_FMT
18.9038    13.713     15.3342    L_PO
15.8537    8.5825     13.3296    L_ZTS
4.9085     5.809      5.5452     O1
9.8712     6.4216     9.8527     O2
8.9129     13.9919    18.3672    O3
18.647     17.3629    16.8889    O4







































































































































































10.1383    10.284     18.3693    GLRH
10.0902    10.3115    18.1314
10.1184    10.3       17.9901
10.0929    10.276     17.7534
10.0933    10.2989    17.5034
10.1243    10.3082    17.2462
10.1437    10.3131    17.0496
10.1014    10.3053    16.8113
10.0831    10.2623    16.597
9.9902     10.192     16.3283
9.9276     10.1487    16.1521
9.8714     10.0398    15.9571
9.7389     9.9183     15.7001
9.6208     9.7833     15.4787
9.4943     9.6798     15.3411
9.3458     9.5169     15.1029
9.2051     9.3753     14.8882
9.1355     9.2824     14.7862
9.065      9.2189     14.6717
9.004      9.1617     14.5839
8.966      9.1656     14.4911
8.8872     9.0621     14.4015
8.8097     8.9558     14.2549
8.7329     8.8791     14.1158
8.7092     8.8121     14.015
8.6241     8.7519     13.9131
8.4866     8.6299     13.7304
8.4316     8.5384     13.6004
8.3349     8.4        13.4381
8.2393     8.3665     13.3595
8.1492     8.2668     13.217
8.0771     8.182      13.1001
7.9742     8.0888     12.9433
7.8936     7.9992     12.8187
7.794      7.8949     12.6303
7.7172     7.8009     12.4669
7.5956     7.6619     12.1922
7.5006     7.5598     11.9504
7.4028     7.5072     11.7887
7.324      7.4312     11.6135
7.2225     7.3544     11.4063
7.1492     7.3124     11.2697
7.0995     7.2752     11.172
7.0779     7.2366     11.0811
7.048      7.2134     10.941



























































































































































7.0402     7.2739     10.883     NOSE
6.8716     7.5731     10.8528
6.6924     7.7345     10.7211
6.4655     7.8666     10.5756
6.3075     7.8554     10.3477
6.1995     7.8431     10.1595
6.0929     7.7875     9.9124
5.9489     7.7315     9.6326
5.8711     7.7009     9.3912
5.7128     7.6101     9.145
5.6594     7.5184     8.9021
5.5517     7.4482     8.6712
5.4468     7.3175     8.4709
5.3857     7.2024     8.3227
5.3226     7.0484     8.1759
5.2725     6.8863     8.0623
5.2302     6.6965     7.9401
5.2375     6.49       7.8495
5.239      6.3213     7.7938
5.2633     6.1293     7.6933
5.2754     5.9567     7.597
5.4082     5.8036     7.4212
5.4497     5.7017     7.209
5.594      5.6126     7.1631
5.7278     5.5024     7.2382
5.7886     5.3409     7.4705
5.9806     5.3222     7.6526
6.1882     5.312      7.7961
6.3789     5.3043     7.9105
6.6475     5.3429     7.997
6.7639     5.3436     8.0841
6.9643     5.3418     8.2128
7.0712     5.393      8.316
7.202      5.4889     8.5078
7.2349     5.5075     8.5753
7.3262     5.5774     8.7327
7.3915     5.6518     8.8663
7.4508     5.7376     8.9977
7.5334     5.8322     9.2138
7.6189     5.9406     9.4114
7.6921     5.9918     9.5542
7.7127     6.059      9.717
7.7322     6.1377     9.8624
7.7596     6.3212     10.0601
7.8218     6.4319     10.1877
7.8352     6.5303     10.3512
7.777      6.6594     10.4763
7.7442     6.727      10.5558
7.6916     6.8219     10.6189
7.5305     6.9348     10.7955
7.409      7.0183     10.8414
7.2793     7.0742     10.9287
7.2007     7.1492     10.9398



















































































































































5.6317     5.5908     7.2461     NASP-PR
5.595      5.523      7.1044
5.5603     5.5104     7.0113
5.5268     5.464      6.9001
5.4864     5.4153     6.8118
5.4773     5.3784     6.6498
5.4686     5.3867     6.5388
5.487      5.3861     6.3697
5.4803     5.3958     6.2391
5.5238     5.3979     6.1162
5.5104     5.4149     6.0029
5.533      5.4136     5.9059
5.5498     5.4396     5.7878
5.5605     5.4601     5.6898
5.6113     5.4985     5.5132

























































































































































































6.9176     8.5225     11.5221    R-PM/MAX
6.7827     8.448      11.311
6.6722     8.3875     11.1358
6.5699     8.348      10.9871
6.4611     8.2838     10.8063
6.3264     8.2161     10.6205
6.173      8.1331     10.4214
6.0302     8.0675     10.1627
5.859      8.0377     9.8872
5.8122     8.0085     9.7523
5.7214     7.9788     9.5195
5.6945     7.9486     9.3809
5.6146     7.9185     9.1285
5.5331     7.8953     8.91
5.4472     7.8655     8.7022
5.4041     7.8568     8.483
5.3269     7.8401     8.3105
5.2888     7.8547     8.0265
5.2256     7.8394     7.8617
5.107      7.846      7.6181
5.0271     7.8078     7.4449
4.9466     7.8452     7.242
4.9244     7.8934     7.0188
5.0008     7.943      6.8142
5.1098     7.9662     6.6035















































































































































































8.3018     7.1222     11.4503    L-PM/MAX
8.3018     7.0462     11.2349
8.2549     6.8754     11.0055
8.2159     6.7375     10.7898
8.2077     6.6561     10.6532
8.1571     6.525      10.5223
8.1388     6.3515     10.2895
8.09       6.1914     10.0783
8.0819     6.0711     9.8543
8.0562     5.9862     9.7043
8.0073     5.9016     9.4707
7.9783     5.8065     9.2781
7.9417     5.7384     9.0205
7.9235     5.6939     8.8311
7.9022     5.6074     8.5764
7.8925     5.5661     8.4028
7.8522     5.4723     8.0766
7.8273     5.3841     7.829
7.8342     5.2973     7.6787
7.8573     5.2068     7.4776
7.9573     5.1604     7.2913
8.0693     5.1674     7.1125
8.0135     5.2399     6.887
7.9872     5.3642     6.7848
















































































































































































7.4452     11.7631    7.9677     ROSTRUM
7.3237     11.7616    8.1919
7.2827     11.6908    8.4298
7.2393     11.5804    8.7742
7.2925     11.5013    8.9616
7.2814     11.3598    9.1211
7.3475     11.2505    9.256
7.3276     11.1464    9.4459
7.3561     11.0166    9.5948
7.2899     10.9602    9.7567
7.2325     10.8814    10.0669
7.0705     10.8339    10.3275
6.8917     10.822     10.6727
6.7355     10.8171    10.8983
6.6263     10.7861    11.0988
6.4885     10.7877    11.3103
6.3638     10.6575    11.6114
6.4011     10.4977    11.7679
6.3333     10.3765    11.9855
6.3921     10.2983    12.1164
6.468      10.1614    12.1715
6.5664     10.0242    12.2473
6.6569     9.9085     12.2729
6.7766     9.8061     12.2793
6.9504     9.7478     12.1986
7.0782     9.6576     12.1762
7.1614     9.5411     12.25
7.2727     9.4005     12.2982
7.405      9.146      12.4201
7.4857     8.9995     12.4927
7.5413     8.8778     12.5263
7.5448     8.7969     12.6456
7.6118     8.5622     12.7986
7.7109     8.3604     12.9408
7.8611     8.184      12.9858
8.1208     7.966      12.9799
8.2289     7.8798     12.9083
8.3936     7.822      12.8501
8.5538     7.8225     12.7347
8.7168     7.8098     12.5909
8.8753     7.7757     12.4579
8.9885     7.7165     12.3876
9.136      7.6476     12.3232
9.3034     7.5423     12.2097
9.4956     7.3925     12.1846
9.6382     7.3243     12.1412
9.779      7.1074     12.1801
9.8884     6.9868     12.2065
9.994      6.8769     12.1574
10.1753    6.8134     12.0592
10.3161    6.7705     11.9724
10.4093    6.7815     11.8087
10.5264    6.8106     11.6981
10.6539    6.9036     11.426
10.6726    6.9487     11.3067
10.6886    7.0335     11.1603
10.6416    7.1558     10.9721
10.6116    7.2859     10.8176
10.6116    7.3824     10.6782
10.6205    7.4917     10.462
10.6335    7.622      10.232
10.6491    7.7009     10.0506
10.6732    7.7248     9.8718
10.7548    7.8207     9.6987
10.8525    7.7938     9.4448
10.9639    7.8256     9.3087
11.0793    7.8069     9.1875
11.259     7.7813     9.0244
11.3973    7.7963     8.8767
11.524     7.7377     8.6709
11.6216    7.7929     8.4581
11.6932    7.8259     8.287
11.7079    7.9777     8.0029
11.6614    8.0705     7.8803






























































































































7.7656     14.9653    17.0151    SUPORB
7.7383     14.9118    17.2545
7.7811     14.8038    17.4749
7.7875     14.614     17.8658
7.8201     14.4318    18.1379
7.9032     14.2849    18.3647
7.9964     14.1042    18.5613
8.1524     13.9199    18.726
8.3032     13.6487    18.9092
8.4759     13.3877    19.0538
8.6533     13.1473    19.173
8.8061     12.9082    19.2606
8.9531     12.7148    19.3355
9.1558     12.4549    19.4109
9.3493     12.218     19.4396
9.5558     11.9834    19.4497
9.7568     11.7884    19.4516
9.885      11.6099    19.4226
10.1724    11.2829    19.3613
10.4157    11.0602    19.276
10.5643    10.8504    19.2107
10.821     10.702     19.2193
11.0663    10.492     19.3032
11.3516    10.2973    19.3556
11.5929    10.0977    19.3593
11.8185    9.935      19.3753
12.049     9.7795     19.3517
12.2764    9.6674     19.3233
12.4474    9.4925     19.2635
12.7287    9.3888     19.1961
12.9024    9.243      19.1296
13.1864    9.161      19.0361
13.3849    9.0363     18.9355
13.5842    8.9625     18.8564
13.7348    8.8846     18.7409
13.921     8.8142     18.653
14.0945    8.8204     18.5515
14.2156    8.7973     18.4158
14.3649    8.7824     18.2955
14.4663    8.7283     18.1495
14.5578    8.7211     18.0269
14.7083    8.711      17.7549
14.7877    8.7162     17.5392
14.9093    8.7312     17.3127
15.0339    8.7274     17.0133











































































































































