NMNH       481082     Prv2stv
-0.7738    9.2099     5.5145     IN
-1.0556    6.1504     7.8306     BR
-1.0974    2.2612     6.142      GL
-1.1163    2.1517     5.8612     NA
-1.0996    1.753      4.7864     RH
-1.1187    1.4218     3.3526     NS
-1.1401    1.3136     2.9318     PR
-1.5771    1.3287     2.9341     R_PR2
-1.4656    2.0084     4.9688     R_PMS
-3.3147    3.0739     3.6805     R_ZMI
-2.7084    2.4695     4.3431     R_ZMU
-1.4964    2.7701     5.4932     R_DA
-2.5883    2.8364     6.1533     R_MTI
-2.6386    2.9804     6.5349     R_MTS
-3.5019    3.0626     5.3157     R_FMO
-3.85      3.5304     5.4479     R_FMT
-3.3222    6.8468     4.2235     R_PO
-4.1799    4.4188     4.1        R_ZTS
-0.6628    1.2753     2.9734     L_PR2
-0.7785    1.9731     5.0693     L_PMS
1.1292     3.0035     3.594      L_ZMI
0.4625     2.2978     4.2623     L_ZMU
-0.6634    2.6714     5.4395     L_DA
0.3635     2.6759     6.1895     L_MTI
0.348      2.7888     6.5717     L_MTS
1.3009     2.8398     5.5335     L_FMO
1.5901     3.1572     5.6751     L_FMT
1.6315     6.6266     4.3301     L_PO
2.2526     4.0856     4.1883     L_ZTS
-1.6517    1.399      3.305      O1
-3.1422    3.4124     6.3478     O2
2.5201     5.1524     3.8685     O3
-1.4583    9.1234     5.9965     O4







































































































































































-1.1076    2.2623     6.1525     GLRH
-1.1227    2.2121     5.9576
-1.1164    2.121      5.8269
-1.1381    2.0562     5.6775
-1.0993    1.9866     5.5408
-1.1028    1.9198     5.3772
-1.111     1.8716     5.2043
-1.1097    1.8191     5.0521
-1.108     1.7908     4.9634
-1.0942    1.7484     4.8205






























































































































































































-1.0913    1.7536     4.8326     NOSE
-1.2942    1.8268     4.8498
-1.4277    1.9138     4.7809
-1.5192    1.9102     4.6995
-1.5796    1.9081     4.4939
-1.611     1.8768     4.2966
-1.5918    1.8202     4.1407
-1.5585    1.7466     3.9494
-1.4369    1.5989     3.7732
-1.334     1.457      3.5889
-1.2139    1.3913     3.4254
-1.1179    1.3802     3.3501
-0.9516    1.3696     3.4522
-0.851     1.4447     3.5928
-0.7531    1.5793     3.7276
-0.7055    1.6718     3.8389
-0.6173    1.7568     3.9837
-0.5822    1.8362     4.238
-0.5418    1.8959     4.447
-0.5691    1.9239     4.599
-0.7605    1.9447     4.7487
-0.9027    1.8449     4.829
-1.0983    1.7725     4.8271

















































































































































































-1.1149    1.4182     3.3777     NASP-PR
-1.1138    1.3143     3.252
-1.0928    1.2733     3.0842
-1.1075    1.2831     2.9716
-1.1098    1.2933     2.898



































































































































































































-1.5002    2.0376     4.947      R-PM/MAX
-1.6016    2.0285     4.7722
-1.7079    2.0248     4.5846
-1.789     2.0238     4.3873
-1.8471    1.9773     4.2178
-1.8585    1.8854     4.0042
-1.8767    1.7884     3.8156
-1.9905    1.6747     3.5484
-2.0174    1.6273     3.3698
-2.0207    1.5967     3.2407
-1.9629    1.6226     3.0956





























































































































































































-0.7209    2.0108     5.1263     L-PM/MAX
-0.6382    1.9892     4.9122
-0.5275    2.0176     4.6998
-0.453     1.9987     4.5046
-0.3493    1.9831     4.3271
-0.3388    1.879      4.1081
-0.2709    1.8021     3.8851
-0.2158    1.75       3.7572
-0.2468    1.6107     3.601
-0.2411    1.5636     3.4146
-0.2126    1.525      3.2776
-0.1977    1.5343     3.1034




























































































































































































-2.4288    2.3548     3.0296     ROSTRUM
-2.3611    2.3431     3.1542
-2.315     2.3211     3.3359
-2.2631    2.3397     3.4761
-2.2328    2.3523     3.601
-2.2382    2.3295     3.7005
-2.2726    2.3083     3.8266
-2.1772    2.2875     3.9981
-2.1244    2.2746     4.0693
-2.061     2.2242     4.1935
-1.9683    2.234      4.3171
-1.8929    2.1827     4.3866
-1.7573    2.197      4.5701
-1.6666    2.2136     4.7337
-1.5558    2.1901     4.9191
-1.461     2.1736     5.1386
-1.3716    2.1593     5.3754
-1.2973    2.1367     5.5258
-1.1235    2.1033     5.7887
-0.938     2.1135     5.4966
-0.7931    2.1713     5.2552
-0.7206    2.1749     5.1026
-0.6445    2.2068     4.945
-0.5572    2.2064     4.8268
-0.4841    2.2246     4.6863
-0.4068    2.1773     4.5596
-0.2727    2.215      4.4396
-0.153     2.208      4.2394
-0.0635    2.2147     4.0321
0.0622     2.2379     3.8852
0.1065     2.2604     3.7904
0.094      2.2825     3.6603
0.0714     2.2965     3.4795
0.1389     2.2953     3.3473
0.1988     2.26       3.1995
0.2405     2.2657     3.1023
0.311      2.2436     2.8864



































































































































































-3.8568    3.4962     5.4857     SUPORB
-3.748     3.4665     5.671
-3.6109    3.427      5.8842
-3.4843    3.394      6.0987
-3.3465    3.3499     6.2789
-3.1822    3.2189     6.3575
-2.9923    3.1224     6.4322
-2.7846    3.0753     6.515
-2.5996    3.0026     6.5546
-2.3535    2.9248     6.5717
-2.2102    2.851      6.556
-2.0383    2.8219     6.5294
-1.8627    2.7577     6.544
-1.7095    2.7007     6.535
-1.5492    2.6497     6.4794
-1.4212    2.6081     6.4631
-1.2905    2.5549     6.4642
-1.1953    2.5448     6.4685
-1.0884    2.5545     6.4599
-0.9297    2.5711     6.4666
