AMNH       169432     Phu1bjw
0.7716     27.4943    14.2077    IN
1.1342     22.48      17.0921    BR
1.2668     16.0259    16.7619    GL
1.2022     15.9201    16.3318    NA
0.5121     10.2421    10.4163    RH
0.3322     7.2342     7.258      NS
0.2811     6.9297     5.6367     PR
-0.7642    7.2034     6.1037     R_PR2
-0.2938    11.2339    10.9674    R_PMS
-3.4714    15.6022    10.2972    R_ZMI
-1.2629    15.8712    14.3099    R_ZMU
0.691      16.1255    15.4331    R_DA
-1.2565    16.2128    16.7638    R_MTI
-1.3904    16.9256    17.6156    R_MTS
-2.5714    16.7925    15.4892    R_FMO
-3.6498    17.5309    15.4396    R_FMT
-3.7651    23.3503    12.8018    R_PO
-4.9503    17.5782    12.0679    R_ZTS
1.4651     7.2452     5.9628     L_PR2
1.5938     11.1099    10.766     L_PMS
4.3033     15.8228    9.3208     L_ZMI
3.1971     15.8903    13.7642    L_ZMU
1.5563     15.9565    15.2374    L_DA
3.6667     16.3717    16.1352    L_MTI
3.5189     17.1307    17.2097    L_MTS
4.7363     17.0163    14.5676    L_FMO
5.7108     18.0687    14.4562    L_FMT
4.8525     23.4938    11.6428    L_PO
6.0579     17.5877    10.8165    L_ZTS
0.9373     6.5775     6.1741     O1
4.6949     18.1655    15.0016    O2
-2.5914    17.8286    15.4624    O3
0.7008     27.436     13.7023    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR

















































































































































