AMNH       169432     Tap3-5
16.2959    7.7956     6.2995
16.3609    7.653      5.7908
16.436     7.5326     5.4728
16.6694    7.4975     5.0654
16.6592    7.662      4.5826
16.4613    7.8449     4.2352
























































































































































































11.8568    12.0972    5.6254     ROSTRUM
11.7824    11.9525    5.8428
11.7523    11.8517    5.9994
11.7754    11.7604    6.2745
11.9485    11.549     6.6357
12.1177    11.4149    6.9385
12.1792    11.2766    7.2592
12.1969    11.0733    7.5661
12.0998    10.8962    8.0053
11.962     10.7524    8.2819
11.8413    10.6034    8.687
11.7395    10.4356    8.9042
11.7972    10.2885    9.1945
11.8777    10.2334    9.3937
11.9847    10.0658    9.6475
12.1175    10.0105    9.7573
12.3898    9.9822     9.8475
12.6019    10.0207    9.8061
12.8201    10.0592    9.7823
13.0628    10.0436    9.8564
13.3201    9.9678     9.9267
13.6762    9.8556     10.0819
13.9423    9.6464     10.2896
14.1938    9.5276     10.448
14.384     9.507      10.5044
14.4627    9.4969     10.5041
14.7581    9.4981     10.496
14.8755    9.5222     10.4976
15.1324    9.6336     10.366
15.3755    9.8126     10.1705
15.6372    9.9443     10.0351
15.8651    9.9895     9.897
15.958     10.0269    9.8695
16.3207    10.0613    9.7955
16.8755    9.9326     9.7868
17.2308    10.1119    9.5531
17.3807    10.2519    9.1882
17.2219    10.6013    8.623
16.9555    10.8885    7.9439
16.8844    11.1467    7.5963
16.9763    11.408     7.2375
17.2088    11.601     6.8906
17.4543    11.8182    6.6363
17.5505    12.0105    6.2211
17.5736    12.1355    5.957
17.4702    12.1656    5.8082
17.3044    12.2303    5.6674

























































































































































9.7701     14.5052    14.5866    SUPORB
9.8146     14.5566    14.9412
10.0923    14.5142    15.6778
10.4175    14.436     16.0929
10.9785    14.2983    16.5636
11.5507    14.1615    16.8391
12.0971    14.1359    17.05
12.8646    13.9514    17.1919
13.4385    13.7612    17.1685
13.8778    13.598     17.1068
14.2245    13.4386    17.0165
14.4771    13.1173    16.8827
14.9       13.4257    16.9642
15.3865    13.7033    17.0752
15.655     13.8643    17.1242
15.9281    13.8558    17.1534
16.3041    13.9696    17.1615
16.8288    14.0211    17.0778
17.297     14.2377    16.9456
17.6717    14.3512    16.8033
18.2696    14.4885    16.5475
18.5588    14.5887    16.3504
18.871     14.7534    15.8872
19.0161    14.7008    15.5969
19.1819    14.7451    15.2847
19.2626    14.8474    14.8846
19.2805    14.8       14.6286













































































































































































12.2354    13.0946    13.4146    RORBIT
11.9814    13.148     13.4902
11.6927    13.1668    13.5434
11.5651    13.1553    13.5741
11.2515    13.3003    13.739
11.035     13.5373    14.056
10.8375    13.7047    14.4643
10.7224    13.5425    15.2204
11.0348    13.122     15.7135
11.4794    12.9939    15.8436
12.0578    12.9       15.8632
12.4827    12.8782    15.8297
12.8883    12.8548    15.8081
13.2147    12.8608    15.8361
13.6484    12.908     15.7812
13.9192    12.9169    15.6274
14.0516    12.9441    15.2009
14.1054    12.9689    14.9467
14.0903    12.9625    14.6345





















































































































































































16.7131    13.1286    13.4189    LORBIT
17.0412    13.1456    13.499
17.3656    13.243     13.5509
17.6894    13.335     13.683
17.8427    13.505     13.8369
18.104     13.6852    14.0817
18.2571    13.8549    14.4604
18.3431    13.9617    14.7601
18.329     13.8717    15.1719
18.1601    13.552     15.5448
17.7411    13.2565    15.785
17.3732    13.0851    15.8412
16.8532    12.8907    15.8672
16.4124    12.9014    15.83
16.2307    12.9726    15.8305
15.8855    12.992     15.8161
15.466     12.9319    15.8178
15.2243    12.9093    15.7164
