TMP        T 11       Ppa7stv

















































































































































































11.1924    16.849     7.7704     SUPORB
11.2169    16.9381    7.9978
11.3752    16.994     8.2742
11.6174    16.9175    8.5315
11.8479    16.7888    8.7679
12.1452    16.6228    8.9487
12.4382    16.4991    9.0739
12.7777    16.3573    9.1615
13.0411    16.2931    9.208
13.3399    16.1653    9.2518
13.682     16.0685    9.2745
13.9705    16.0852    9.2922
14.2382    16.0496    9.2829
14.4478    16.0437    9.2867
14.7379    16.1495    9.3295
14.9498    16.179     9.3542
15.1434    16.2736    9.3519
15.4446    16.2816    9.3478
15.6967    16.2734    9.3371
15.9586    16.3183    9.3289
16.2072    16.3764    9.2832
16.4769    16.5119    9.2209
16.7844    16.6981    9.083
16.9265    16.8514    9.0147
17.0992    16.9715    8.9048
17.2795    17.0278    8.7578
17.4296    17.0622    8.6468
17.5561    17.1097    8.4666
17.7327    17.1077    8.2002
17.817     17.1224    8.0765
17.8897    17.1195    7.8643
17.9124    17.0871    7.7361
17.9436    17.0431    7.6251







































































































































































13.0404    14.9962    6.7096     RORBIT
12.8104    15.181     6.7061
12.5122    15.3739    6.6983
12.2586    15.5534    6.7872
12.0412    15.7228    6.8881
11.8748    15.8938    7.0393
11.697     16.0641    7.2565
11.646     16.2134    7.4842
11.6856    16.2897    7.7854
11.8231    16.3148    8.1453
12.0176    16.2891    8.3898
12.2066    16.2165    8.6684
12.5331    16.1126    8.7395
12.8873    16.0643    8.7516
13.0173    15.9842    8.7639
13.4115    15.9342    8.8823
13.8573    15.8253    8.9044
14.0118    15.7581    8.7655
14.1182    15.6829    8.5407
14.1758    15.624     8.4294
14.2489    15.4333    8.1042
14.2742    15.2836    7.9383
14.2551    15.2035    7.8008
14.2652    15.0796    7.7095
14.2497    14.9674    7.5954















































































































































































16.3451    15.2637    6.6631     LORBIT
16.5943    15.3794    6.6229
16.9104    15.7236    6.6086
17.1611    15.9894    6.9366
17.1646    16.1423    7.2939
17.1521    16.2743    7.4739
17.157     16.348     7.6816
17.1836    16.4219    7.9199
17.1235    16.4747    8.1703
16.9567    16.4576    8.4121
16.6752    16.3553    8.6728
16.3418    16.2503    8.7747
16.1147    16.1942    8.8198
