TMP        AZ 996     Phu132sf
14.9061    18.0333    10.6552    IN
15.1828    14.9199    14.2851    BR
15.2321    8.6701     14.429     GL
15.2084    8.5588     14.0604    NA
15.6181    4.5139     10.2944    RH
15.6015    1.9599     7.9725     NS
15.5984    1.2585     6.8279     PR
14.6499    1.5644     6.8917     R_PR2
15.1798    6.0668     11.1337    R_PMS
11.9824    7.4198     9.2423     R_ZMI
13.593     8.1422     12.0635    R_ZMU
14.901     8.4894     12.9849    R_DA
13.7534    8.9854     14.2903    R_MTI
13.987     9.7277     15.0154    R_MTS
12.0857    9.0632     12.7437    R_FMO
11.5881    9.9282     12.911     R_FMT
11.1203    13.9208    9.9828     R_PO
11.039     8.9224     9.8379     R_ZTS
16.6454    1.5744     7.0627     L_PR2
15.7433    6.1602     11.1747    L_PMS
18.6677    7.7966     9.0354     L_ZMI
17.1298    8.5275     11.9768    L_ZMU
15.5485    8.6031     13.0487    L_DA
16.8086    9.1708     14.2746    L_MTI
16.5482    9.7267     14.8967    L_MTS
18.325     9.4784     12.6768    L_FMO
18.8349    10.1339    12.539     L_FMT
18.7101    14.6743    9.7227     L_PO
19.5162    9.5189     9.8021     L_ZTS
15.0721    0.9519     6.9284     O1
17.9459    10.8125    13.7481    O2
10.4414    11.2083    9.6446     O3
15.5945    17.8992    10.7167    O4







































































































































































15.2567    8.72       14.5546    GLRH
15.235     8.6522     14.3723
15.2442    8.6062     14.166
15.2175    8.5675     14.0509
15.1971    8.5169     13.8748
15.1771    8.4727     13.6842
15.1871    8.4455     13.5074
15.1855    8.3733     13.3354
15.1905    8.3281     13.2256
15.2054    8.2042     13.0247
15.2718    8.078      12.8861
15.2688    7.9419     12.6955
15.3092    7.7853     12.5141
15.3091    7.6189     12.3355
15.3536    7.4415     12.1927
15.3564    7.315      12.0721
15.354     7.1118     11.9315
15.4119    6.8647     11.7462
15.4244    6.6763     11.6185
15.4484    6.3845     11.4229
15.472     6.1611     11.3009
15.5083    5.9157     11.1636
15.4711    5.6571     11.0225
15.4972    5.4516     10.8788
15.5284    5.2567     10.7707
15.5492    5.0703     10.6891
15.5564    4.9109     10.5726
15.5586    4.7583     10.4937
15.5513    4.6813     10.421
15.5517    4.5588     10.3599
15.533     4.501      10.2727









































































































































































15.5719    4.5139     10.2986    NOSE
15.354     4.5054     10.2122
15.1692    4.4213     10.2181
15.0111    4.3179     10.1545
14.9266    4.2136     10.0855
14.8175    3.9317     9.9551
14.7374    3.8305     9.8294
14.6608    3.636      9.6384
14.558     3.4073     9.4461
14.5219    3.1856     9.2012
14.5674    3.0245     9.0257
14.6438    2.7468     8.795
14.7465    2.5422     8.6133
14.8706    2.2927     8.4772
15.0054    2.096      8.3563
15.1877    1.9891     8.21
15.3838    1.9737     8.0489
15.563     1.9734     7.9879
15.6861    1.9915     7.9946
15.9316    1.9695     8.1504
16.1156    2.0083     8.2839
16.2532    2.2332     8.4053
16.3849    2.4828     8.5137
16.4345    2.7675     8.6655
16.518     3.0262     8.8176
16.5418    3.3425     9.0407
16.6258    3.4548     9.2514
16.5986    3.5857     9.3132
16.5607    3.7052     9.4862
16.5043    3.8254     9.6257
16.4274    3.9574     9.6612
16.3557    4.0921     9.83
16.306     4.2182     9.9725
16.272     4.3258     10.0612
16.1774    4.4024     10.1262
16.0071    4.5327     10.2383
15.8434    4.5418     10.2762
15.7076    4.5684     10.2979
15.5599    4.5171     10.2458

































































































































































15.5845    2.016      7.9933     NASP-PR
15.5946    1.8235     7.8697
15.6008    1.6478     7.6991
15.6163    1.5125     7.5291
15.6486    1.4224     7.3641
15.6624    1.3264     7.2234
15.6401    1.2951     7.131
15.6165    1.2571     7.0536
15.6348    1.2419     6.933































































































































































































15.1584    5.9935     11.1044    R-PM/MAX
15.1222    5.8031     11.005
15.0738    5.5952     10.891
15.0383    5.4992     10.8216
14.9839    5.3401     10.7186
14.9498    5.0651     10.6238
14.8813    4.93       10.5595
14.8493    4.7497     10.4757
14.7897    4.5437     10.3441
14.754     4.3479     10.1874
14.7089    4.1899     10.0638
14.5677    4.0021     9.8898
14.4378    3.8023     9.7119
14.3823    3.644      9.5614
14.3187    3.4885     9.3953
14.3012    3.3142     9.2306
14.2387    3.1867     9.0468
14.2142    3.1397     8.9089
14.1142    2.9764     8.6675
13.9691    2.8307     8.4322
13.9412    2.6769     8.1779
