AMNH       169432     Phu1mam3
-0.4456    20.8426    13.8747    IN
-0.0198    15.5827    16.4704    BR
0.6308     9.2482     15.8307    GL
0.6043     9.1624     15.2932    NA
0.6576     3.7772     9.097      RH
0.8056     1.078      5.7419     NS
0.8847     0.7539     4.1165     PR
-0.2669    1.0073     4.2989     R_PR2
-0.3161    4.7373     9.5499     R_PMS
-3.6754    8.888      9.0252     R_ZMI
-1.9221    9.0763     13.0903    R_ZMU
0.0665     9.3114     14.2441    R_DA
-1.9244    9.2841     15.5931    R_MTI
-1.8502    10.1658    16.5003    R_MTS
-3.3612    9.8534     14.2899    R_FMO
-4.345     10.5945    14.2278    R_FMT
-4.6657    16.7034    11.8212    R_PO
-5.4534    10.8108    10.6814    R_ZTS
1.8923     1.1044     4.2039     L_PR2
1.5181     4.6345     9.4948     L_PMS
4.2548     9.5724     8.6803     L_ZMI
2.6466     9.3701     12.8711    L_ZMU
1.0131     9.366      14.1475    L_DA
2.8891     9.6549     15.325     L_MTI
2.8319     10.5824    16.3185    L_MTS
4.0416     10.3364    13.4805    L_FMO
5.0848     11.4092    13.9448    L_FMT
4.1133     17.132     11.2321    L_PO
5.7387     11.3737    10.2002    L_ZTS
1.5338     0.5048     4.1926     O1
4.1943     11.5674    15.484     O2
-5.5011    15.1271    11.2298    O3
0.396      20.4453    13.3478    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM







































































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































-0.6383    4.118      13.2412    OP
-0.6473    6.3301     13.492     BA
-0.2415    12.8124    12.5614    ST
0.0558     19.3155    12.9448    IV
9999       9999       9999       R_PG
-6.2508    9.5986     11.4899    R_ZTI
-2.8184    13.6562    14.0314    R_M3D
-2.8746    16.318     14.0045    R_M12
-2.5532    19.0191    13.6132    R_MP3
-1.7107    20.8508    13.3031    R_PMI
3.7606     6.0925     13.0519    L_PG
5.5053     8.9051     11.6895    L_ZTI
2.4804     13.3009    14.0983    L_M3D
2.8512     15.8533    14.0452    L_M12
2.7166     18.6047    13.7711    L_MP3
2.0764     20.5889    13.1101    L_PMI
0.8998     22.8484    13.6314    O1
3.5275     8.971      5.9325     O2
-5.8696    6.7329     11.4269    O3
0.156      1.0689     10.5751    O4






















































































































