AMNH       169432     Phu1mam5


















-0.1618    4.3889     12.7755    OP
-0.1975    6.5773     13.1741    BA
-0.0579    13.1196    12.7961    ST
0.0322     19.6396    13.7388    IV
9999       9999       9999       R_PG
-5.9172    9.7931     11.4321    R_ZTI
-2.5689    13.7352    14.3451    R_M3D
-2.758     16.3813    14.5535    R_M12
-2.5397    19.1013    14.4788    R_MP3
-1.7791    21.008     14.2761    R_PMI
4.241      6.5168     12.7374    L_PG
5.8431     9.5131     11.6243    L_ZTI
2.6187     13.5621    14.4755    L_M3D
2.9153     16.1833    14.5367    L_M12
2.6938     18.8703    14.4161    L_MP3
2.045      21.0111    13.9027    L_PMI
0.8159     23.0728    14.8767    O1
3.9338     10.0033    5.7936     O2
-5.6662    7.4273     11.2231    O3
0.7866     1.6103     9.8594     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV
