AMNH       169432     Phu1cms8
15.4933    11.3653    14.8786    IN
20.6183    10.0941    17.3002    BR
26.8875    8.5545     16.3197    GL
26.9529    8.5152     15.8511    NA
31.809     7.1195     9.4816     RH
34.2798    6.5362     5.9958     NS
34.5898    6.5362     4.2465     PR
34.0819    5.5209     4.2831     R_PR2
30.6774    6.4178     9.8752     R_PMS
25.6965    4.4789     9.498      R_ZMI
26.0898    6.3598     13.6108    R_ZMU
26.6588    8.0586     14.7871    R_DA
26.1461    6.3651     16.0436    R_MTI
25.3657    6.6935     17.1949    R_MTS
25.0807    5.1864     14.5819    R_FMO
24.2022    4.1577     14.4796    R_FMT
18.1124    6.0014     12.5499    R_PO
23.391     3.5281     11.1486    R_ZTS
34.5837    7.6599     4.4797     L_PR2
31.2808    8.2603     9.8494     L_PMS
27.5434    12.5587    9.6339     L_ZMI
27.3282    10.6665    13.5063    L_ZMU
26.8094    9.1031     14.7728    L_DA
27.1036    11.129     15.9575    L_MTI
26.4402    11.2897    16.9914    L_MTS
26.8767    12.4641    14.5627    L_FMO
26.1801    13.6118    14.4339    L_FMT
20.2333    14.6908    12.2852    L_PO
26.2584    14.3272    11.0186    L_ZTS
32.7839    9.7439     6.1221     O1
27.7238    13.0605    10.9191    O2
20.8238    14.1438    13.2451    O3
16.777     12.7339    13.5787    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































9999       9999       9999       ROSTRUM







































































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































34.4183    6.2783     10.2222    OP
32.4407    6.7266     10.6682    BA
26.1559    8.6608     10.3286    ST
19.8885    10.4223    11.2786    IV
9999       9999       9999       R_PG
27.9752    2.145      8.6896     R_ZTI
25.1362    6.2478     11.8616    R_M3D
22.326     6.7443     11.8749    R_M12
19.8549    7.7898     12.1222    R_MP3
18.214     8.9155     11.7093    R_PMI
33.5501    10.8858    10.5016    L_PG
31.214     13.2122    9.4808     L_ZTI
26.4261    11.1347    12.3249    L_M3D
23.8635    12.3138    12.2789    L_M12
21.1758    12.7828    12.2688    L_MP3
19.2164    12.8033    11.7051    L_PMI
20.454     13.149     11.3918    O1
27.5887    13.2451    8.2804     O2
34.3191    10.5695    7.6443     O3
37.0697    7.2398     8.1422     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































9999       9999       9999       L-ALV
