NMNH       452509     Phc9stv
19.6626    19.3857    14.1545    IN
16.1953    15.1983    16.2755    BR
12.4797    11.4226    14.2873    GL
12.5417    11.4439    13.8041    NA
9.7321     8.5075     8.6053     RH
8.5188     7.1789     5.7042     NS
8.3661     7.0856     4.3191     PR
7.8046     7.7357     4.531      R_PR2
11.0408    10.3304    10.1838    R_PMS
9.732      14.426     9.0136     R_ZMI
11.4069    12.833     11.9789    R_ZMU
12.4269    11.9203    12.9072    R_DA
11.3509    12.7928    14.3682    R_MTI
11.475     13.0806    15.0959    R_MTS
10.4692    14.3536    13.29      R_FMO
10.6573    15.0017    13.8352    R_FMT
13.9558    19.0469    12.2443    R_PO
9.7513     16.1969    10.454     R_ZTS
9.2147     6.558      4.6443     L_PR2
11.5923    10.0081    10.2483    L_PMS
15.8043    9.1048     8.9255     L_ZMI
14.0651    10.3302    11.7757    L_ZMU
13.0602    11.3676    12.8313    L_DA
14.0672    10.2999    14.2616    L_MTI
14.2515    10.7774    15.0618    L_MTS
15.8205    9.7083     13.2541    L_FMO
16.4371    9.91       13.3698    L_FMT
19.9609    13.8702    12.0234    L_PO
17.5707    9.4394     10.1715    L_ZTS
8.5705     6.4029     4.4026     O1
11.2361    14.6092    14.6976    O2
19.3798    10.8734    10.8767    O3
20.2579    18.1678    13.8903    O4







































































































































































12.513     11.3883    14.2703    GLRH
12.5233    11.4073    14.1184
12.5526    11.4093    14.0021
12.5318    11.4539    13.8366
12.5476    11.4844    13.5957
12.5648    11.4997    13.4549
12.6117    11.5101    13.2898
12.5828    11.5406    13.1028
12.5688    11.5184    12.9423
12.5207    11.4992    12.7528
12.5023    11.4278    12.6157
12.4405    11.3716    12.4313
12.4153    11.3079    12.3236
12.3806    11.2469    12.2109
12.2864    11.2197    12.0802
12.2129    11.1697    11.9553
12.1389    11.1196    11.8305
12.0373    11.0539    11.6959
11.997     10.9363    11.557
11.9529    10.8503    11.4326
11.8953    10.7851    11.3212
11.8341    10.7252    11.2135
11.7906    10.6704    11.1069
11.7032    10.5576    10.9486
11.6013    10.4232    10.7624
11.438     10.3638    10.6093
11.3369    10.2582    10.465
11.2909    10.1467    10.3565
11.1704    10.0511    10.2355
11.0724    9.9522     10.1117
10.9339    9.8082     9.9368
10.9009    9.6883     9.8543
10.7968    9.6144     9.7477
10.7684    9.4932     9.6716
10.673     9.4015     9.5582
10.5343    9.2777     9.4159
10.454     9.1744     9.3058
10.3924    9.0741     9.1987
10.3019    8.9525     9.1061
10.2459    8.8632     9.046
10.081     8.7659     8.9356
9.9641     8.5887     8.8247
9.9325     8.4675     8.7083
9.8177     8.4519     8.6598




























































































































































9.7185     8.4849     8.6528     NOSE
9.5617     8.5962     8.6627
9.4275     8.7513     8.6347
9.3122     8.941      8.5524
9.1125     8.9363     8.3797
8.9828     8.8915     8.2054
8.8889     8.8528     8.0399
8.6361     8.851      7.926
8.5131     8.7642     7.7676
8.3941     8.6826     7.5791
8.3286     8.5903     7.4164
8.2433     8.5603     7.2582
8.1594     8.4855     7.0639
8.1282     8.3804     6.9292
8.093      8.2944     6.7728
8.0292     8.2374     6.639
7.9485     7.8945     6.3555
7.9361     7.7807     6.2687
7.9465     7.7001     6.217
8.0473     7.5939     6.1325
8.1346     7.4753     5.9719
8.2224     7.3717     5.8451
8.3635     7.335      5.795
8.5151     7.3401     5.7506
8.6271     7.1957     5.7775
8.7945     7.1214     5.8811
8.9356     7.0165     6.0649
9.0449     6.9219     6.182
9.2058     6.8435     6.2964
9.3814     6.8058     6.3986
9.4714     6.9033     6.4949
9.5792     6.942      6.584
9.7053     6.9903     6.7903
9.8162     6.9659     6.9457
9.8974     7.0267     7.1538
9.9458     7.1518     7.3734
9.997      7.2416     7.5548
10.0408    7.4202     7.6393
10.1229    7.4873     7.81
10.1504    7.7224     7.975
10.1854    7.8633     8.0997
10.2417    8.0088     8.3154
10.2656    8.0813     8.4183
10.1953    8.1114     8.5746
10.0908    8.1793     8.5913
9.863      8.4094     8.6213


























































































































































8.4934     7.15       5.6874     NASP-PR
8.3915     7.0232     5.4469
8.3128     6.9931     5.2711
8.3047     6.9757     5.1001
8.3058     6.9601     4.9499
8.3222     6.9548     4.7837
8.3264     6.9585     4.6264
8.3786     6.9752     4.4053
































































































































































































10.971     10.2545    10.1311    R-PM/MAX
10.8591    10.1804    9.9943
10.7592    10.0851    9.8706
10.6236    9.9386     9.7442
10.4941    9.8693     9.6327
10.3532    9.797      9.4946
10.1876    9.6853     9.4105
10.0692    9.6277     9.3039
9.9381     9.574      9.2299
9.7931     9.5289     9.15
9.6011     9.4139     9.0003
9.4217     9.3499     8.8707
9.2942     9.3209     8.784
9.1414     9.2899     8.6511
8.978      9.2352     8.5326
8.8279     9.1964     8.3857
8.6968     9.1741     8.2456
8.5815     9.1846     8.1302
8.4547     9.1898     7.9693
8.3268     9.1233     7.6957
8.2764     9.134      7.5508
8.1907     9.1531     7.3556
8.1198     9.1914     7.143
8.0536     9.1488     6.9696
8.0109     9.1285     6.7901
7.9332     9.1086     6.5871
7.8216     9.1358     6.3396
7.748      9.1941     6.2423
7.7246     9.3663     6.1781
7.7042     9.4695     6.0405
7.6294     9.3219     5.8102
7.6258     9.195      5.5479
7.6998     9.1255     5.3376
7.7676     9.0328     5.1362
7.902      8.9506     4.9723





































































































































































11.5363    9.9381     10.1492    L-PM/MAX
11.4326    9.7195     9.9411
11.3413    9.5552     9.7983
11.2217    9.4071     9.6628
11.1535    9.2701     9.5079
11.0816    9.0876     9.3676
11.0133    8.9448     9.3031
10.9158    8.7741     9.1641
10.8224    8.5664     9.0288
10.7369    8.3751     8.9005
10.7119    8.1878     8.7356
10.6532    8.0157     8.5831
10.5881    7.832      8.4008
10.5565    7.6622     8.2574
10.5196    7.5298     8.0869
10.49      7.3744     7.9165
10.5133    7.2219     7.6605
10.5018    7.1674     7.4813
10.5388    7.1301     7.3041
10.5767    7.0395     7.1048
10.5761    7.0019     6.9048
10.4782    6.8857     6.4904
10.5409    6.8343     6.3402
10.5623    6.7747     6.1343
10.6308    6.7358     5.9659
10.6907    6.6946     5.7391
10.7516    6.65       5.4383
10.5375    6.6974     5.3063
10.5313    6.7321     5.153
10.4787    6.912      4.9134










































































































































































9.8246     12.2796    6.1744     ROSTRUM
9.7337     12.2382    6.3614
9.6422     12.1866    6.5909
9.6538     12.1785    6.7721
9.76       12.062     6.8848
9.916      11.921     6.9694
10.1316    11.8097    7.0337
10.2765    11.6223    7.1397
10.3673    11.5579    7.3193
10.3843    11.4855    7.4655
10.3538    11.3923    7.6427
10.2934    11.3249    7.8179
10.249     11.2689    8.0088
10.1821    11.1953    8.1831
10.0677    11.0981    8.4971
10.0127    11.0578    8.639
9.9373     11.0035    8.7977
9.7965     11.0106    9.0211
9.7151     10.9353    9.2256
9.6486     10.9229    9.3497
9.6049     10.9514    9.4844
9.5561     10.8488    9.6679
9.5538     10.6483    9.8503
9.6783     10.591     9.9227
9.9639     10.518     9.8599
10.0742    10.3848    9.7478
10.3171    10.2724    9.7023
10.483     10.1058    9.6559
10.6205    9.9521     9.6803
10.7189    9.787      9.7731
10.8702    9.6795     9.8126
11.0192    9.5738     9.7707
11.1797    9.4791     9.75
11.2772    9.4684     9.6744
11.4887    9.3449     9.6964
11.7142    9.1605     9.7249
11.8196    9.0189     9.7837
11.96      8.8809     9.863
12.1486    8.7002     9.8229
12.2971    8.6376     9.5339
12.4213    8.7767     9.3063
12.3771    8.9107     8.9582
12.4067    9.0383     8.751
12.452     9.1111     8.5386
12.461     9.152      8.418
12.4592    9.1999     8.1903
12.4952    9.2598     8.1327
12.5226    9.384      7.884
12.5542    9.4722     7.7084
12.6101    9.4993     7.4653
12.6684    9.5034     7.3291
12.8347    9.4868     7.1017
12.9532    9.3912     6.95
13.1405    9.2686     6.8244
13.2831    9.1439     6.7982
13.4199    9.0162     6.8215
13.5878    8.9433     6.6555
13.6213    9.0233     6.481
13.6165    9.0735     6.3129
13.6178    9.1731     6.099












































































































































10.5708    14.9724    13.7529    SUPORB
10.6531    14.8937    13.9866
