AMNH       81811      phu3ms4.xls
16.0882    21.6831    -17.446    IN
12.0631    17.0089    -19.5755   BR
7.5091     12.202     -16.7496   GL
7.5671     12.2795    -16.291    NA
5.0324     9.2584     -8.7878    RH
3.3161     7.3175     -4.3127    NS
3.3644     7.3822     -2.8164    PR
4.2874     6.9758     -3.0641    R_PR2
6.2628     9.3772     -9.5613    R_PMS
11.4594    10.2904    -9.9492    R_ZMI
9.7776     11.2917    -13.9874   R_ZMU
8.3568     12.3881    -14.9023   R_DA
9.4074     11.0385    -16.6345   R_MTI
9.8767     11.8771    -17.972    R_MTS
11.3894    10.8501    -15.4948   R_FMO
12.6447    10.6902    -15.3551   R_FMT
17.3718    16.0659    -14.283    R_PO
14.1734    10.8633    -12.0341   R_ZTS
2.6524     8.2763     -3.0445    L_PR2
5.2062     10.7253    -9.9535    L_PMS
5.003      15.9626    -10.0905   L_ZMI
6.1787     14.4313    -14.0558   L_ZMU
9999       9999       9999       L_DA
5.9719     14.0887    -16.674    L_MTI
6.8066     14.4914    -17.9782   L_MTS
5.742      15.9678    -15.539    L_FMO
5.4774     17.129     -15.498    L_FMT
10.3097    22.1478    -14.3368   L_PO
5.3114     18.644     -12.1732   L_ZTS
2.5821     7.594      -2.7725    O1
4.947      16.3969    -12.6865   O2
7.9737     21.6934    -12.8632   O3
13.1639    21.6657    -17.3111   O4







































































































































































7.5969     12.2777    -16.2616   GLRH
7.6202     12.3606    -16.0508
7.6773     12.4331    -15.7982
7.7243     12.456     -15.6216
7.751      12.5172    -15.4407
7.7723     12.5159    -15.2539
7.8002     12.4938    -14.9744
7.7542     12.4589    -14.7627
7.6898     12.4239    -14.5473
7.6586     12.3485    -14.2989
7.6008     12.2759    -14.0723
7.5204     12.2109    -13.8674
7.4554     12.1185    -13.6334
7.3669     12.0221    -13.4076
7.305      11.9429    -13.2572
7.2393     11.8747    -13.1197
7.1774     11.7841    -12.9658
7.0915     11.7228    -12.8302
7.0381     11.6477    -12.7185
6.9738     11.5619    -12.517
6.9218     11.491     -12.3778
6.8481     11.3953    -12.2772
6.7002     11.2583    -12.0353
6.6169     11.167     -11.9098
6.5145     11.0762    -11.7358
6.4071     10.8654    -11.4721
6.3063     10.7666    -11.3629
6.1784     10.6355    -11.1667
6.0497     10.4946    -10.9585
5.9481     10.3784    -10.7626
5.8451     10.2038    -10.5552
5.728      10.0658    -10.3026
5.6381     9.9347     -10.1286
5.5324     9.7588     -9.8988
5.4163     9.6203     -9.6748
5.3155     9.4594     -9.4627
5.2458     9.3692     -9.2755
5.1626     9.3068     -9.0971
5.1217     9.2352     -8.959
5.1011     9.1734     -8.8634
5.037      9.2032     -8.8095































































































































































5.1248     9.2399     -8.7465    NOSE
5.1356     9.118      -8.7124
5.1747     8.9429     -8.5788
5.404      8.8109     -8.4231
5.5329     8.6039     -8.241
5.5256     8.3897     -8.0551
5.4932     8.1593     -7.8273
5.5004     8.0511     -7.5648
5.4855     7.9561     -7.3117
5.4409     7.8895     -7.0949
5.3165     7.7945     -6.9882
5.2687     7.6768     -6.7961
5.2134     7.595      -6.5721
5.1765     7.4842     -6.4249
5.099      7.4493     -6.2316
4.9812     7.3939     -6.0066
4.811      7.2993     -5.8317
4.6252     7.2778     -5.6469
4.492      7.2399     -5.4908
4.3061     7.1129     -5.333
4.134      7.1622     -5.2235
3.9223     7.1149     -5.0442
3.7486     7.1581     -4.9248
3.5911     7.1265     -4.7385
3.5147     7.12       -4.5449
3.3735     7.2452     -4.445
3.4131     7.1951     -4.3665
3.3237     7.2897     -4.2705
3.1415     7.4226     -4.4298
3.0238     7.4877     -4.5546
2.9262     7.5844     -4.7292
2.8288     7.6989     -4.8394
2.8226     7.873      -5.017
2.7816     7.9403     -5.0758
2.7585     8.0729     -5.1521
2.7943     8.2471     -5.2623
2.7869     8.3375     -5.3233
2.7457     8.6029     -5.451
2.7568     8.85       -5.7225
2.8642     9.0565     -6.0762
2.9647     9.235      -6.3828
3.1073     9.3783     -6.712
3.2451     9.48       -7.0003
3.2718     9.5939     -7.2446
3.394      9.6799     -7.4887
3.5925     9.7418     -7.7385
3.7822     9.697      -7.9468
3.948      9.6593     -8.0539
4.1435     9.6205     -8.1916
4.3589     9.612      -8.3524
4.4277     9.4621     -8.491
4.596      9.4258     -8.7172
4.8099     9.4293     -8.7852
4.8692     9.3362     -8.7365
5.0432     9.2139     -8.8329

















































































































































3.3051     7.3324     -4.3233    NASP-PR
3.2339     7.2645     -4.1748
3.1822     7.2619     -3.8217
3.1703     7.286      -3.5337
3.1966     7.2508     -3.3664
3.2104     7.2904     -3.2423
3.2461     7.2816     -3.1016
3.2642     7.2787     -3.0538
3.2717     7.3223     -2.9544
3.2951     7.3295     -2.8625
3.3173     7.3489     -2.8225
