UWMA       ZA 127     Phu67
9999       9999       9999       IN
15.1614    17.2239    14.7378    BR
10.6338    12.8357    13.9524    GL
10.6857    12.7588    13.2483    NA
8.6768     9.9934     9.0574     RH
7.4702     8.4815     6.6236     NS
7.1277     8.0761     5.5899     PR
6.5795     8.8913     5.5199     R_PR2
9.2127     11.3045    9.8092     R_PMS
8.6352     14.7257    8.6127     R_ZMI
9.769      13.9949    11.0466    R_ZMU
10.6717    13.1041    12.2535    R_DA
9.5156     14.4053    13.418     R_MTI
9999       9999       9999       R_MTS
9.12       15.6467    11.9612    R_FMO
9.2817     16.6748    11.7032    R_FMT
12.3849    19.8762    9.5912     R_PO
8.9847     16.6916    9.2884     R_ZTS
8.0541     7.5744     5.6039     L_PR2
10.0666    10.7746    9.9818     L_PMS
13.5503    10.2925    8.9071     L_ZMI
12.2547    11.6492    11.2485    L_ZMU
11.282     12.6025    12.427     L_DA
12.1064    11.8567    13.6764    L_MTI
12.4877    12.6248    14.6484    L_MTS
13.8382    11.2669    12.4161    L_FMO
14.8575    11.3199    12.3364    L_FMT
18.088     14.1083    10.05      L_PO
15.3133    10.707     9.972      L_ZTS
8.1816     7.8544     6.6021     O1
9.6382     16.6251    12.5642    O2
17.2862    12.0386    9.6256     O3
18.4607    19.2525    9.7366     O4







































































































































































10.6651    12.7852    13.8251    GLRH
10.6677    12.8122    13.6018
10.6866    12.7832    13.3953
10.7047    12.7577    13.2247
10.7482    12.7631    13.0252
10.7518    12.7621    12.8777
10.759     12.7725    12.7343
10.7703    12.7103    12.5985
10.7561    12.6566    12.4306
10.7426    12.5898    12.2676
10.7225    12.5423    12.1491
10.6778    12.4466    11.9212
10.6236    12.3672    11.7684
10.5795    12.2976    11.6115
10.5095    12.2203    11.4746
10.4432    12.1453    11.3509
10.4139    12.0612    11.2404
10.3349    11.9604    11.103
10.2703    11.858     10.9972
10.1896    11.757     10.8709
10.1182    11.6367    10.7669
10.0327    11.5515    10.6606
9.9333     11.516     10.5395
9.8378     11.3875    10.4311
9.7033     11.2       10.2501
9.5784     11.0436    10.1332
9.4769     10.9111    10.0038
9.344      10.7966    9.8527
9.2615     10.6734    9.7329
9.1658     10.5625    9.6293
9.0791     10.4432    9.508
8.9849     10.3138    9.3926
8.9209     10.2405    9.3043
8.8517     10.1173    9.2184
8.8002     10.0316    9.134
8.7231     9.9556     9.0302




































































































































































8.7689     9.9966     9.0088     NOSE
8.6207     10.0711    8.9885
8.4656     10.2083    8.9706
8.3675     10.3375    8.7883
8.1613     10.322     8.6166
8.0115     10.2552    8.4355
7.8858     10.2426    8.3376
7.7776     10.1713    8.1786
7.6578     10.0528    7.9471
7.5565     9.9552     7.7791
7.5024     9.8667     7.664
7.4096     9.7828     7.5588
7.352      9.6736     7.4493
7.3014     9.5611     7.3237
7.2677     9.4371     7.222
7.2603     9.2824     7.1285
7.2734     9.1137     7.0561
7.2762     8.9728     6.9606
7.3126     8.8657     6.8779
7.3194     8.76       6.8181
7.3434     8.6843     6.7424
7.375      8.5847     6.6564
7.4667     8.4916     6.6156
7.602      8.3993     6.6691
7.6993     8.3665     6.7602
7.8428     8.3205     6.9039
7.9747     8.2992     7.0267
8.1332     8.3273     7.1238
8.2441     8.3103     7.1878
8.3339     8.3301     7.2593
8.4366     8.3132     7.3232
8.57       8.388      7.4766
8.6669     8.4514     7.6205
8.7673     8.513      7.7913
8.8354     8.6472     7.9192
8.8994     8.7406     8.0407
8.965      8.7849     8.1578
9.0223     8.8918     8.2493
9.0808     8.9921     8.3964
9.1179     9.1644     8.5296
9.1397     9.4221     8.6979
9.1374     9.511      8.8135
9.1469     9.5712     8.887
8.972      9.7043     8.9331
8.8742     9.8477     8.9678
8.8052     9.9215     9.001
8.754      9.9851     9.0186




























































