TMP        STS 254a   Ppb10stv
17.321     10.0779    7.0062
17.3663    9.9748     6.9112
17.4673    9.8186     6.7394
17.5368    9.6653     6.5282
17.6208    9.5743     6.4085
17.5866    9.4592     6.2292
17.5644    9.3659     6.0023
17.5607    9.4291     5.8041
17.4765    9.4924     5.6816

















































































































































































14.0748    12.7794    4.8423     ROSTRUM
14.0592    12.7666    5.1039
14.0012    12.7574    5.5126
13.9355    12.6887    5.808
14.0259    12.69      6.1107
14.0968    12.6907    6.3492
14.23      12.6623    6.6016
14.3218    12.6238    6.7214
14.4013    12.6188    6.876
14.5448    12.5532    7.1545
14.7271    12.4776    7.462
14.9241    12.5187    7.5815
15.0792    12.4862    7.7231
15.2997    12.4478    7.8981
15.4344    12.3929    7.957
15.5762    12.4067    8.0943
15.7162    12.3989    8.2678
15.884     12.3748    8.5658
15.9888    12.3906    8.6847
16.0948    12.3634    8.7853
16.2386    12.3386    8.8515
16.3234    12.3848    8.9031
16.2767    12.4644    8.9126
16.4844    12.468     8.9324
16.6511    12.4483    8.8534
16.7674    12.4312    8.7456
16.8924    12.3819    8.5784
16.9674    12.3803    8.4454
17.0744    12.3592    8.3513
17.1785    12.3403    8.2857
17.3782    12.3259    8.2696
17.5074    12.3166    8.2596
17.6587    12.3049    8.2487
17.776     12.2969    8.2391
17.9522    12.2862    8.2181
18.1316    12.228     8.1744
18.2971    12.2099    8.1276
18.4141    12.166     8.0655
18.5658    12.1433    7.873
18.6855    12.1191    7.7287
18.8093    12.0815    7.5781
18.9052    12.0374    7.4563
18.929     12.013     7.3062
19.0574    12.0051    7.1291
19.1068    11.95      6.9139
19.1273    11.9341    6.769
19.1597    11.9173    6.5982
19.1888    11.9304    6.3257
19.1951    11.8943    6.2029
19.1775    11.8859    5.9774
19.0763    11.893     5.7244
18.9969    11.9297    5.4857
18.9566    11.9473    5.3656



















































































































































13.2252    15.5245    9.175      SUPORB
13.2864    15.5592    9.3916
13.3222    15.5637    9.5773
