NMNH       381436     Php2stv
19.8064    18.5562    14.9737    IN
15.8454    14.4348    16.4508    BR
12.0595    11.1305    12.9435    GL
12.1484    11.1361    12.5099    NA
10.3687    9.8139     7.5491     RH
9.408      9.081      4.566      NS
9.4743     9.0891     3.4572     PR
8.9294     9.9533     3.6365     R_PR2
11.3581    11.0224    9.5316     R_PMS
10.6012    15.1182    8.369      R_ZMI
11.5636    12.9148    10.8388    R_ZMU
12.1893    11.6035    11.7775    R_DA
11.207     12.4877    13.0178    R_MTI
11.9598    12.8094    14.3004    R_MTS
10.9595    14.3705    12.2646    R_FMO
10.9876    15.2856    13.1106    R_FMT
14.6609    19.2929    11.6921    R_PO
10.559     16.7407    9.939      R_ZTS
10.3602    8.592      3.7091     L_PR2
11.8276    10.6486    9.5983     L_PMS
15.8788    9.7864     7.993      L_ZMI
13.943     10.6244    10.7908    L_ZMU
12.655     11.2327    11.7051    L_DA
13.7671    10.186     12.9591    L_MTI
14.0079    10.7478    14.124     L_MTS
15.4947    9.6902     12.3062    L_FMO
16.3587    9.6986     12.5343    L_FMT
20.4433    13.4074    11.5887    L_PO
17.621     9.601      9.5939     L_ZTS
9.728      8.3964     3.9608     O1
11.2946    14.6202    13.6281    O2
19.6351    10.7989    10.4798    O3
21.1043    16.4293    14.5361    O4







































































































































































12.0732    11.1262    12.9063    GLRH
12.0692    11.1448    12.8462
12.0859    11.1675    12.7019
12.1369    11.1671    12.5395
12.1911    11.1987    12.2428
12.2128    11.2333    12.0299
12.2196    11.234     11.8646
12.2511    11.1932    11.6103
12.2379    11.1782    11.4118
12.1801    11.1435    11.1745
12.0744    11.1032    10.981
12.0301    11.0586    10.8184
11.9522    11.0441    10.666
11.8555    11.0218    10.492
11.7086    10.9222    10.116
11.5909    10.8526    9.88
11.5187    10.7843    9.7219
11.4292    10.7761    9.617
11.3838    10.686     9.5036
11.2717    10.6013    9.2978
11.1617    10.5742    9.1363
11.0719    10.48      8.9439
10.9501    10.3761    8.7547
10.8794    10.3171    8.6445
10.8162    10.2578    8.5013
10.732     10.1877    8.3796
10.6884    10.1328    8.2847
10.6613    10.0777    8.2076
10.5861    10.0326    8.0695
10.4888    9.9855     7.9086
10.451     9.8946     7.7493
10.4021    9.8547     7.5926
10.3614    9.8201     7.5028







































































































































































10.308     9.9259     7.5474     NOSE
10.1103    10.0851    7.4986
9.9194     10.2358    7.4471
9.7305     10.2603    7.2615
9.5752     10.2895    7.0879
9.4753     10.2643    6.8827
9.39       10.2239    6.6919
9.2206     10.1769    6.5281
9.163      10.0755    6.3088
9.0583     9.9187     5.8025
8.9835     9.8381     5.5977
8.9324     9.7922     5.33
8.9622     9.6531     5.1615
8.9654     9.4858     5.0436
9.0215     9.3391     4.8779
9.2278     9.2631     4.77
9.2943     9.2153     4.6135
9.3404     9.0792     4.5039
9.459      8.9732     4.5183
9.5582     8.819      4.6208
9.6772     8.6985     4.8238
9.8095     8.6336     4.963
9.9873     8.6383     5.1307
10.2769    8.611      5.4491
10.4237    8.5967     5.6774
10.4863    8.5317     5.9283
10.503     8.6079     6.072
10.5717    8.6835     6.3118
10.6738    8.727      6.5805
10.7318    8.7913     6.7417
10.7717    8.9099     6.8215
10.7845    9.1064     7.1133
10.8059    9.2205     7.2956
10.7044    9.4249     7.4661
10.5728    9.5544     7.5122
10.4899    9.7163     7.5436
10.3918    9.8033     7.5281



































































































































































9.4179     9.0549     4.5378     NASP-PR
9.3645     8.9386     4.3569
9.3107     8.8849     4.1334
9.3332     8.8927     3.9659
9.3206     8.9496     3.7349
9.3862     9.0432     3.5199


































































































































































































11.3474    10.9989    9.5479     R-PM/MAX
11.229     10.9622    9.3701
11.1337    10.9136    9.2607
11.0226    10.8918    9.1123
10.9906    10.8764    9.0369
10.9351    10.8886    8.9515
10.8746    10.8668    8.8726
10.8061    10.8134    8.7879
10.699     10.8036    8.6578
10.5967    10.7737    8.5027
10.4851    10.7531    8.3841
10.339     10.703     8.2517
10.197     10.6679    8.1048
10.0807    10.6325    7.948
9.9499     10.583     7.8201
9.8397     10.5415    7.6933
9.7008     10.5646    7.5381
9.5202     10.5053    7.3093
9.3884     10.4966    7.1682
9.2654     10.4981    6.9808
9.1794     10.5302    6.8164
9.0867     10.5631    6.6474
9.048      10.5916    6.4933
9.0156     10.5874    6.3083
8.979      10.6199    6.1776
8.9537     10.6743    6.006
8.9276     10.6747    5.8409
8.8811     10.6777    5.6482
8.8283     10.7172    5.4912
8.7614     10.7385    5.1972
8.7015     10.8485    5.0047
8.6808     10.8792    4.8055
8.6581     10.8652    4.7053
8.6858     10.9722    4.4948
8.8239     10.9627    4.2558
8.9356     10.9234    4.114




































































































































































11.7901    10.5682    9.4899     L-PM/MAX
11.7057    10.454     9.2718
11.6194    10.3345    9.0251
11.5401    10.1943    8.831
11.4977    10.1154    8.6892
11.3854    10.0049    8.546
11.3114    9.9106     8.3836
11.2677    9.7468     8.1657
11.2367    9.6012     7.9511
11.2038    9.4643     7.7968
11.1523    9.2812     7.5029
11.1288    9.1139     7.3356
11.0888    8.9273     7.1085
11.1074    8.8182     6.9246
11.1403    8.773      6.7949
11.132     8.7156     6.6452
11.1294    8.6457     6.4444
11.1384    8.6194     6.1907
11.1878    8.5699     5.9586
11.1863    8.5389     5.7858
11.2393    8.5495     5.5471
11.2779    8.4877     5.3241
11.3426    8.4163     5.1177
11.4504    8.3397     4.8137
11.449     8.3638     4.5789
11.4551    8.3845     4.4186
11.4044    8.6724     4.0929













































































































































































10.7109    13.8296    5.9577     ROSTRUM
10.6489    13.7483    6.1047
10.5918    13.6631    6.2599
10.5756    13.6117    6.4539
10.5916    13.4799    6.5659
10.6369    13.2833    6.6919
10.7147    13.2017    6.7702
10.8018    13.0919    6.8838
10.8294    12.9297    7.022
10.8072    12.727     7.313
10.7715    12.636     7.5434
