AMNH       169141     Phu6stv


























































































8.3565     6.8571     8.9577     L-PM/MAX
8.3029     6.7382     8.8214
8.2529     6.6301     8.7789
8.2325     6.5249     8.6943
8.2196     6.445      8.6205
8.2205     6.3652     8.5327
8.1547     6.211      8.4501
8.1556     6.1457     8.3544
8.127      6.0474     8.2575
8.1058     5.9441     8.1813
8.1004     5.9055     8.1468
8.0545     5.7805     8.0426
8.0686     5.6735     7.9606
8.0648     5.5614     7.8586
7.9927     5.2957     7.5691
7.9481     5.1942     7.4366
7.8869     5.0716     7.2964
7.8835     4.9834     7.1234
7.8719     4.8747     6.9638
7.8431     4.7576     6.766
7.8366     4.6889     6.6314
7.8101     4.653      6.526
7.7935     4.5756     6.4068
7.7875     4.5543     6.2439
7.8222     4.4907     6.0947
7.845      4.437      5.9542
7.8552     4.3415     5.7801
7.8505     4.2209     5.5851
7.8        4.2103     5.3341
7.77       4.254      5.2212
7.7404     4.4213     5.0618









































































































































































6.6361     9.2785     5.5509     ROSTRUM
6.7109     9.264      5.7553
6.7021     9.2421     5.9195
6.6749     9.1996     6.1339
6.7292     9.0713     6.2853
6.8676     9.0388     6.448
7.096      8.9229     6.6088
7.1579     8.7624     6.9057
7.1244     8.7433     7.0983
7.0383     8.6706     7.2862
6.9859     8.5927     7.4964
6.9427     8.5283     7.6383
6.9143     8.501      7.7941
6.8834     8.4111     8.0025
6.8539     8.3579     8.1754
6.8737     8.2713     8.3647
6.9339     8.1376     8.49
7.0598     8.0194     8.5457
7.1922     7.9355     8.6322
7.2872     7.7961     8.7088
7.3994     7.6892     8.8089
7.539      7.5839     8.8997
7.6478     7.5073     8.9924
7.7308     7.4221     9.0527
7.8843     7.2902     9.1885
7.987      7.1663     9.2317
8.0542     7.049      9.1913
8.1859     6.9387     9.1477
8.322      6.9131     9.0684
8.4522     6.903      9.0413
8.6472     6.8571     8.9837
8.7823     6.7844     8.9075
8.8914     6.7107     8.791
9.0596     6.6156     8.6905
9.2269     6.5088     8.5691
9.3372     6.4605     8.4572
9.4429     6.3877     8.3749
9.5084     6.3683     8.2746
9.6017     6.3427     8.1274
9.6684     6.3891     7.9884
9.7402     6.4587     7.8231
9.8233     6.522      7.6511
9.8618     6.5725     7.4743
9.865      6.6504     7.3434
9.8814     6.7123     7.1837
9.883      6.7729     7.043
9.9232     6.7859     6.8575
9.9963     6.7715     6.6705
10.1439    6.7194     6.5259
10.2732    6.595      6.4428
10.3677    6.5176     6.3151
10.3886    6.5027     6.1601
10.4169    6.5471     5.9835
10.4484    6.5388     5.822
10.4637    6.5047     5.6924
10.5499    6.468      5.5659












































