NMNH       197179     Phu25stv
19.7487    20.0385    14.0476    IN
16.6479    16.0674    17.0921    BR
12.5082    11.6459    14.8472    GL
12.5122    11.695     14.4566    NA
10.6637    9.8959     8.8725     RH
9.3903     8.8311     5.3409     NS
9.2201     8.6496     3.861      PR
8.6321     9.4271     3.9601     R_PR2
11.0724    10.8297    9.8924     R_PMS
10.5196    15.1962    9.5077     R_ZMI
11.4706    13.5736    12.242     R_ZMU
12.5835    12.3886    13.3142    R_DA
11.492     13.1026    14.7359    R_MTI
12.3595    13.6       15.8793    R_MTS
10.8838    14.8927    13.8122    R_FMO
11.0673    15.6538    13.876     R_FMT
14.3254    19.7447    12.3325    R_PO
10.8277    17.187     11.0472    R_ZTS
9.9711     8.1365     3.8866     L_PR2
11.5727    10.3428    9.8228     L_PMS
15.9318    10.282     9.3042     L_ZMI
14.3667    11.0907    12.0347    L_ZMU
13.1896    11.9307    13.1427    L_DA
13.9241    10.6852    14.5862    L_MTI
14.2823    11.813     15.7369    L_MTS
15.7248    10.624     13.4615    L_FMO
16.5371    10.626     13.5408    L_FMT
20.2244    14.6697    11.896     L_PO
17.8489    11.0298    10.6016    L_ZTS
10.4219    7.7563     4.75       O1
11.8463    15.0394    15.1879    O2
19.0554    11.6156    10.9119    O3
20.3778    19.0038    13.556     O4







































































































































































12.4753    11.6546    14.8698    GLRH
12.5111    11.6619    14.6373
12.4895    11.6999    14.4287
12.5421    11.7194    14.2105
12.5689    11.7404    14.0406
12.6274    11.7747    13.8808
12.6509    11.8422    13.7167
12.6883    11.88      13.5278
12.6694    11.9211    13.3143
12.676     11.9055    13.0935
12.6461    11.8688    12.8976
12.595     11.8496    12.6566
12.5049    11.83      12.4651
12.5019    11.7612    12.2812
12.4311    11.7034    12.1232
12.3773    11.657     11.9444
12.2979    11.5601    11.7405
12.2447    11.4898    11.5776
12.174     11.4359    11.4286
12.0659    11.3455    11.2311
11.9111    11.289     11.043
11.7631    11.1643    10.8208
11.7087    11.0427    10.662
11.6434    10.9626    10.5376
11.5762    10.858     10.4229
11.4837    10.75      10.2914
11.3655    10.6398    10.1157
11.2715    10.5332    9.9701
11.1719    10.4377    9.7985
11.0726    10.2709    9.5925
11.0105    10.1382    9.441
10.924     10.0268    9.2621
10.8103    9.9828     9.1075
10.7407    9.9152     8.9516
10.6282    9.8876     8.8269





































































































































































10.6265    9.8733     8.8525     NOSE
10.4699    9.9844     8.836
10.3399    10.0766    8.7712
10.1955    10.1989    8.6967
10.0657    10.1882    8.5483
9.9402     10.2216    8.4601
9.8346     10.1836    8.2777
9.7171     10.2107    8.1445
9.6487     10.1995    8.0323
9.5147     10.1788    7.8521
9.4903     10.1467    7.6913
9.4058     10.1438    7.5516
9.3533     10.1344    7.3662
9.2822     10.093     7.1204
9.2332     10.0715    6.9781
9.2096     9.9773     6.8088
9.1483     9.9329     6.6499
9.1254     9.8946     6.5207
9.113      9.8439     6.4023
9.0831     9.7538     6.2334
9.0935     9.6246     6.0819
9.0564     9.5074     5.9423
8.9923     9.3667     5.7928
8.9944     9.2783     5.6791
9.0522     9.172      5.5083
9.1441     9.0744     5.3787
9.2374     8.9797     5.3238
9.3323     8.8577     5.2855
9.4776     8.8186     5.3522
9.5388     8.6572     5.2729
9.6969     8.5191     5.3051
9.8556     8.4562     5.4212
9.9876     8.4073     5.5242
10.145     8.4236     5.6786
10.2759    8.4886     5.8602
10.4246    8.482      6.0001
10.5464    8.5199     6.2012
10.6218    8.5215     6.3056
10.6969    8.5661     6.4711
10.7765    8.5446     6.6906
10.8778    8.5503     6.8805
10.9081    8.6835     7.1316
10.9674    8.6998     7.3482
11.0334    8.8075     7.6837
11.0706    8.9231     7.9396
11.1059    9.0301     8.124
11.1457    9.1296     8.2935
11.0945    9.306      8.4884
11.0332    9.4104     8.588
10.989     9.5213     8.6958
10.8317    9.6774     8.7251
10.7282    9.7803     8.8262
10.6564    9.8517     8.8075



















































































































































9.3786     8.7269     5.2488     NASP-PR
9.2806     8.6261     5.0862
9.165      8.6006     4.88
9.1161     8.5625     4.7285
9.0953     8.5259     4.5583
9.0925     8.5278     4.3922
9.1041     8.5654     4.1863
9.1327     8.6558     3.9358
































































































































































































11.1038    10.8912    9.9456     R-PM/MAX
11.0143    10.8111    9.8017
10.9321    10.7405    9.6671
10.8309    10.6688    9.5661
10.7467    10.6525    9.4332
10.6302    10.578     9.3237
10.5005    10.5666    9.1938
10.3836    10.5298    9.0924
10.287     10.4749    9.012
10.2125    10.4174    8.9283
10.1522    10.3563    8.8535
10.0881    10.376     8.7331
9.983      10.3561    8.5823
9.8827     10.2966    8.4434
9.796      10.2624    8.3388
9.6201     10.2921    8.1751
9.5329     10.4349    8.0171
9.4545     10.3874    7.8543
9.3725     10.3499    7.6726
9.3021     10.3444    7.5029
9.2321     10.3069    7.3463
9.186      10.2981    7.1975
9.1286     10.3165    7.0305
9.0648     10.3564    6.8395
8.9881     10.434     6.6657
8.9366     10.5088    6.5263
8.8623     10.5937    6.3634
8.8264     10.6631    6.2165
8.7673     10.6704    6.0509
8.737      10.7135    5.8394
8.6762     10.7216    5.6421
8.6598     10.7659    5.4427
8.6504     10.815     5.3038
8.8012     10.8159    5.0603






































































































































































11.5366    10.3032    9.7591     L-PM/MAX
11.5451    10.1839    9.5925
11.5226    10.0601    9.4682
11.5027    9.9884     9.3732
11.4963    9.8533     9.2605
11.4649    9.7589     9.106
11.4225    9.6299     8.9555
11.3597    9.5259     8.8245
11.3609    9.4615     8.7611
11.3062    9.2257     8.5451
11.3021    9.0441     8.2967
11.2561    8.9763     8.1438
11.2861    8.8894     8.0232
11.246     8.7292     7.6748
11.2408    8.6561     7.5557
11.2132    8.55       7.2578
11.1678    8.5173     7.0574
11.24      8.4649     6.9005
11.2331    8.438      6.7574
11.2586    8.4039     6.5394
11.3353    8.3784     6.3445
11.372     8.3359     6.0861
11.4049    8.3013     5.9617
11.4855    8.268      5.7947
11.4831    8.2764     5.6547
11.5199    8.2438     5.5496
11.5421    8.226      5.3602
11.5715    8.1912     5.1704
11.5232    8.2554     4.9851
11.577     8.4524     4.7274










































































































































































10.353     13.3462    6.8036     ROSTRUM
10.2615    13.2343    7.0895
10.2512    13.1281    7.2921
10.3253    12.9909    7.4659
10.4418    12.816     7.5917
10.5144    12.6355    7.765
10.5871    12.5659    7.9271
10.6276    12.4257    8.1476
10.6176    12.353     8.3223
10.6102    12.2889    8.4658
10.6031    12.1827    8.6762
10.5873    12.0725    8.8863
10.5472    12.0458    8.9602
10.4772    12.0441    9.1299
10.3978    12.0194    9.2413
10.3333    11.9748    9.4362
10.3414    11.8396    9.534
10.4387    11.6629    9.5689
10.5199    11.4908    9.6437
10.662     11.3552    9.6553
10.7878    11.1986    9.6554
10.9044    11.0804    9.7145
11.0071    10.9632    9.7614
11.0722    10.8069    9.8623
11.1873    10.7637    9.9592
11.2726    10.5869    10.0258
11.4137    10.4311    9.9818
11.5089    10.4103    9.9333
11.6879    10.3526    9.8152
11.8588    10.327     9.7206
12.0166    10.23      9.6377
12.169     10.1026    9.5778
12.3813    9.9662     9.5605
12.5256    9.8517     9.4202
12.6651    9.7502     9.3953
12.7306    9.6981     9.2682
12.813     9.8029     8.9553
12.7882    9.9814     8.7898
12.8456    10.1084    8.6236
12.9591    10.1694    8.3891
13.0875    10.2467    8.0562
13.1705    10.241     7.8851
13.2677    10.2144    7.7275
13.441     10.1848    7.5361
13.5935    10.1613    7.3998
13.6733    10.1095    7.262
13.8765    10.0914    7.1349
13.9927    10.0932    6.9241
14.0905    10.1633    6.6907























































































































































10.9199    15.5853    13.9543    SUPORB
10.9259    15.488     14.2358
10.9659    15.4313    14.3968
11.042     15.3743    14.6191
11.0983    15.1744    14.858
11.2122    15.0456    15.0202
11.423     14.7624    15.2828
11.4775    14.5591    15.3712
11.486     14.2815    15.4464
11.6118    14.1373    15.5608
11.6724    13.873     15.6212
11.802     13.6657    15.7135
12.0643    13.6232    15.8139
12.2184    13.3636    15.8383
12.3937    13.1472    15.8417
12.5361    12.985     15.8231
12.6599    12.693     15.7814
12.6765    12.4127    15.6972
12.6954    12.2178    15.6272
12.6785    12.0249    15.5455
12.6574    11.8513    15.4407
12.7716    11.8552    15.4534
13.0568    11.758     15.526
13.4189    11.7206    15.6406
13.739     11.8327    15.7173
13.9434    11.8595    15.7432
14.1552    11.8306    15.7597
14.3338    11.7033    15.709
14.4614    11.5321    15.6416
14.6838    11.3228    15.5243
14.855     11.2132    15.4822
15.0197    11.1321    15.3798
15.1088    11.0381    15.2956
15.1839    10.9606    15.2331
15.4554    10.9192    15.1056
15.6552    10.8693    14.973
15.8105    10.8468    14.8626
15.9543    10.811     14.785
16.131     10.7965    14.6508
16.291     10.7517    14.4767
16.3921    10.7382    14.3462
16.4866    10.761     14.1969
16.494     10.7148    14.017
16.5419    10.6855    13.8657
16.5689    10.6565    13.67
16.5771    10.6289    13.4879


























































































































































11.4791    13.5547    12.2485    RORBIT
11.285     13.757     12.3353
11.1734    13.8979    12.4334
11.0885    14.1436    12.6547
11.0316    14.305     12.8007
10.9353    14.4865    12.9433
10.961     14.6074    13.1373
10.9512    14.7031    13.2875
10.9337    14.8051    13.5034
10.9935    14.8282    13.5742
10.9935    14.8559    13.868
11.0101    14.8796    14.0096
10.9949    14.8095    14.1888
10.9767    14.662     14.3827
10.9843    14.4979    14.5516
11.0005    14.3178    14.6834
11.0256    14.0976    14.7884
11.0539    13.8569    14.82
11.0859    13.6268    14.8697
11.115     13.3853    14.875
11.2935    13.152     14.789
11.4616    12.9933    14.7064
11.6279    12.8808    14.6527
11.7623    12.8103    14.6277
11.8582    12.6964    14.6122
12.0505    12.5362    14.6365
12.1861    12.3363    14.6476
12.3763    12.3079    14.3667
12.4244    12.2703    14.204
12.4751    12.3579    14.092
12.5338    12.3529    13.885
12.5891    12.4113    13.742
12.6134    12.4195    13.5904
12.6022    12.3786    13.4385
12.5813    12.4156    13.2702





































































































































































14.301     11.1241    11.998     LORBIT
14.4519    10.9547    12.0839
14.6399    10.8223    12.185
14.8495    10.7261    12.3025
15.0221    10.6633    12.4088
15.1684    10.6348    12.5356
15.3189    10.607     12.6764
15.4136    10.6186    12.7628
15.549     10.5587    12.9346
15.6034    10.5984    13.0272
15.6732    10.6116    13.1338
15.7636    10.4972    13.3493
15.7613    10.5366    13.5701
15.7458    10.5147    13.8232
15.6803    10.4567    14.0067
15.5697    10.4632    14.1284
15.4298    10.4428    14.2791
15.2341    10.4538    14.4247
15.0288    10.4535    14.508
14.8467    10.4012    14.5796
14.5907    10.4153    14.6561
14.421     10.5279    14.6054
14.2385    10.6323    14.5827
14.0742    10.6272    14.5986
13.9337    10.7236    14.5606
13.7819    10.8533    14.5267
13.5943    11.0134    14.5048
13.4432    11.1396    14.5318
13.2386    11.3444    14.5787
13.0683    11.482     14.5052
13.0207    11.6582    14.1648
13.0354    11.7223    13.9588
13.0061    11.7898    13.7764
13.0547    11.8664    13.5615
13.1093    11.9218    13.3842
13.1849    11.9177    13.1702




































































































































































10.9136    15.5966    13.9169    RTEMFOS
10.8845    15.6268    13.672
10.8308    15.6212    13.4134
10.7813    15.6105    13.2333
10.7215    15.5832    13.0567
10.6648    15.5486    12.9108
10.632     15.5094    12.7156
10.6067    15.4941    12.5567
10.5668    15.45      12.3912
10.5284    15.4332    12.1996
10.4617    15.392     12.0594
10.4694    15.4174    11.8572
10.4142    15.4026    11.7207
10.3832    15.4106    11.5196
10.3333    15.4245    11.3324
10.2976    15.4698    11.161
10.2804    15.5525    10.9978
10.281     15.7024    10.8581
10.2464    15.8507    10.7397
10.2753    16.0345    10.6659
10.2887    16.1552    10.6555
10.3587    16.2786    10.6576
10.4029    16.4148    10.6928
10.483     16.5639    10.74
10.494     16.7123    10.7599
10.5806    16.7671    10.8335
10.6428    16.8658    10.8722
10.7       16.9882    10.9187
10.7208    17.0449    10.9328
10.7978    17.1876    11.0265










































































































































































16.5582    10.6543    13.5639    LTEMFOS
16.5788    10.6272    13.3196
16.5471    10.5831    13.152
16.5175    10.5393    12.9313
16.4616    10.4618    12.7308
16.4335    10.4269    12.5166
16.4016    10.3692    12.3081
16.3616    10.322     12.2027
16.3405    10.2917    12.028
16.3265    10.2806    11.8789
16.2993    10.2482    11.7033
16.2674    10.1955    11.5236
16.2649    10.1835    11.3335
16.2802    10.1715    11.2094
16.3233    10.1579    11.0532
16.3613    10.1386    10.8771
16.4357    10.1194    10.7332
16.5173    10.1252    10.596
16.6239    10.1917    10.5185
16.7803    10.2398    10.4031
16.9364    10.2824    10.3321
17.0947    10.3742    10.3027
17.264     10.456     10.3185
17.4052    10.5444    10.3441
17.5052    10.634     10.3783
17.6253    10.6887    10.4235
17.8333    10.8301    10.5163
17.8932    10.9055    10.5747
17.9972    11.0272    10.6471











































































































































































9999       9999       9999       OP
10.5779    10.157     12.2413    BA
13.9171    13.3168    11.7014    ST
17.8133    17.1299    12.0653    IV
7.6313     12.7968    11.6111    R_PG
8.6294     15.1386    10.4588    R_ZTI
12.8049    15.3036    12.6577    R_M3D
14.4806    17.1632    12.6035    R_M12
16.4436    18.7013    12.9117    R_MP3
17.2934    19.0636    12.8229    R_PMI
13.2956    7.3879     12.0197    L_PG
15.7289    8.0127     11.2811    L_ZTI
15.8858    12.4561    13.0946    L_M3D
17.8651    13.8334    12.6818    L_M12
19.4558    15.9209    13.0863    L_MP3
19.8417    16.7907    13.151     L_PMI
20.4504    17.8717    12.5797    O1
10.3612    13.2649    5.8217     O2
15.6454    7.834      10.7912    O3
7.9084     5.8333     10.9916    O4




















































































































































































11.6872    16.198     10.5255    RZYGINF
11.4547    16.1712    10.4457
11.2234    16.1364    10.3725
10.9544    16.1024    10.3575
10.6629    16.0714    10.4402
10.5442    16.0666    10.5095
10.3562    16.0558    10.5292
10.2172    15.9103    10.6229
10.0327    15.804     10.6705
9.9364     15.7077    10.71
9.6594     15.6145    10.7426
9.4339     15.552     10.7375
9.2334     15.4576    10.6863
9.0831     15.4219    10.6302
8.9719     15.355     10.5858
8.8348     15.2606    10.5472
8.7311     15.1816    10.5063
8.6149     15.0853    10.4391






















































































































































































16.9457    10.9336    11.0162    LZYGINF
16.846     10.7131    10.9614
16.8038    10.5033    10.9252
16.7511    10.2981    10.9115
16.7524    10.1152    10.9645
16.75      9.9691     11.0909
16.6664    9.8105     11.2182
16.5767    9.6483     11.3051
16.3948    9.4979     11.3525
16.2965    9.305      11.4099
16.143     9.1484     11.432
16.0562    9.0208     11.4218
16.0156    8.8354     11.4714
15.9957    8.6706     11.4766
15.9547    8.5415     11.4315
15.9079    8.3576     11.4002
15.8271    8.2255     11.347
15.7867    8.1669     11.3186
15.7009    8.0318     11.2787





















































































































































































12.7912    15.3777    12.6073    R-ALV
12.8186    15.5153    12.5736
12.8864    15.66      12.5698
12.9504    15.7877    12.5505
13.0072    15.9721    12.5182
13.0921    16.1628    12.4914
13.2504    16.3457    12.457
13.3891    16.4316    12.5015
13.5188    16.6104    12.4966
13.675     16.7045    12.5277
13.7836    16.8572    12.4616
13.8393    16.9413    12.4894
13.9789    17.0558    12.4701
14.2858    17.1546    12.4327
14.6158    17.3852    12.3834
14.7533    17.5898    12.36
14.9067    17.7394    12.3746
15.1176    17.7908    12.3618
15.4003    17.9031    12.4355
15.6158    18.0368    12.3757
15.8004    18.2697    12.4321
15.8889    18.3864    12.4489
16.0419    18.5846    12.4711
16.1804    18.7333    12.4887
16.3318    18.8655    12.5511















































































































































































15.9528    12.4006    12.9996    L-ALV
16.1741    12.5188    13.0187
16.3374    12.5701    12.978
