FMNH       27233      Tg16stv
5.891      7.7829     6.1283
5.76       7.8048     5.9982
5.7498     7.7732     5.7809
5.7846     7.7223     5.6828
5.8285     7.6297     5.4936
5.8891     7.5476     5.3672
5.9695     7.4563     5.2562










































































































































































8.7829     7.7496     9.0298     L-PM/MAX
8.7856     7.6385     8.9091
8.7158     7.4547     8.7612
8.6868     7.3753     8.6542
8.646      7.2857     8.5739
8.5773     7.227      8.4369
8.5387     7.1196     8.3451
8.4694     7.0246     8.2659
8.4033     6.9122     8.1658
8.3143     6.8212     8.0692
8.2375     6.707      7.9598
8.227      6.5784     7.8349
8.2762     6.4723     7.6963
8.4256     6.451      7.6067
8.4267     6.3569     7.4323
8.4157     6.2706     7.2883
8.3965     6.1492     7.1577
8.3671     6.0582     7.0254
8.3527     5.953      6.9063
8.3669     5.8503     6.8082
8.3459     5.7328     6.6996
8.3533     5.6426     6.5769
8.2822     5.5094     6.442
8.2387     5.4358     6.3281
8.2143     5.4056     6.1688
8.1885     5.3778     6.0456
8.1728     5.3734     5.8936
8.1146     5.4247     5.664
8.0771     5.4729     5.5695
7.9745     5.5116     5.4783
8.0143     5.617      5.3487









































































































































































8.0792     11.096     6.3101     ROSTRUM
8.0284     11.1122    6.5222
8.0026     11.1096    6.7752
7.9831     11.0378    6.8911
8.0763     10.9567    7.0122
8.1973     10.777     7.1403
8.3136     10.6961    7.2298
8.3969     10.526     7.3664
8.421      10.4455    7.5538
8.4665     10.4093    7.7238
8.4756     10.3636    7.9326
8.4678     10.3193    8.165
8.4631     10.2388    8.2845
8.465      10.1676    8.5265
8.4611     10.0875    8.7138
