UCMVZ      117244     Phu47stv
7.1784     6.7072     9.9175     R-PM/MAX
7.0979     6.6805     9.8281
6.9603     6.6059     9.6899
6.803      6.5243     9.5512
6.6956     6.4532     9.4186
6.5971     6.4027     9.2634
6.5119     6.3576     9.1498
6.4245     6.2935     9.0593
6.3595     6.249      8.9525
6.2151     6.1831     8.7831
6.12       6.1362     8.6731
6.038      6.1172     8.5793
5.8993     6.0528     8.444
5.7637     6.0668     8.3245
5.5962     6.1062     8.0766
5.4743     6.1084     7.9143
5.3816     6.0839     7.7836
5.3044     6.0712     7.6167
5.2012     6.068      7.4669
5.1518     6.1025     7.2424
5.1226     6.1162     7.0812
5.083      6.133      6.9347
5.0496     6.1434     6.8663
5.0005     6.1456     6.7605
5.0224     6.1672     6.5936
4.941      6.2067     6.4915
4.8335     6.4564     6.195
4.6849     6.4398     5.9244
4.5701     6.481      5.6853
4.4924     6.4715     5.4816
4.3986     6.4826     5.3451
4.3701     6.4649     5.2606
4.3526     6.4457     5.062
4.4127     6.487      4.8735
4.4867     6.4767     4.7048
4.5653     6.5007     4.6364




































































































































































8.1318     5.6317     10.026     L-PM/MAX
8.0467     5.54       9.8772
7.9797     5.4076     9.7261
7.9181     5.3382     9.6277
7.8437     5.2755     9.5792
7.691      5.2123     9.4614
7.6288     5.1039     9.318
7.576      5.002      9.1922
7.5102     4.8557     9.0279
7.388      4.7508     8.8429
7.3623     4.6231     8.7174
7.3292     4.5246     8.6034
7.2651     4.4527     8.4747
7.1671     4.3241     8.3142
7.1724     4.2304     8.2176
7.1155     4.1356     8.1066
7.167      4.005      8.0456
7.1528     3.9607     7.886
7.1216     3.9029     7.7753
7.1018     3.8546     7.7044
7.0768     3.7725     7.5909
7.057      3.687      7.4015
7.0887     3.6338     7.294
7.0858     3.5418     7.1383
7.0871     3.5056     6.9963
7.0877     3.4555     6.8737
7.1056     3.397      6.7946
7.0869     3.3356     6.6047
7.0412     3.1901     6.4188
7.1315     3.0601     6.1773
7.1091     3.048      6.0528
7.1181     2.9908     5.96
7.1343     2.9604     5.8378
7.1201     2.8881     5.6781
7.1213     2.7881     5.5608
