AMNH       169432     Phu1Tosi1
19.2931    16.9612    20.1566    IN
15.3736    12.8405    21.6827    BR
11.2907    8.2706     19.5203    GL
11.2198    8.3651     19.1355    NA
8.4697     5.5416     11.9394    RH
7.2038     4.1131     8.1223     NS
7.2696     4.1307     6.3528     PR
6.6275     5.0552     6.4778     R_PR2
8.3469     6.8265     12.5627    R_PMS
9.1599     12.2025    12.8174    R_ZMI
10.0352    10.2508    16.9231    R_ZMU
11.1262    8.9332     18.1613    R_DA
9.8826     10.0168    19.3657    R_MTI
10.444     10.4278    20.7146    R_MTS
9.3687     11.7991    18.1601    R_FMO
9.0108     13.0667    18.2842    R_FMT
13.4885    17.4872    17.2023    R_PO
9.0706     14.4152    14.8965    R_ZTS
8.2728     3.5757     6.6225     L_PR2
9.7323     5.4707     12.5264    L_PMS
15.2483    6.8714     12.8421    L_ZMI
13.3106    7.1508     16.8615    L_ZMU
12.0014    8.3553     18.0669    L_DA
13.3769    6.9007     19.3622    L_MTI
13.8568    7.4404     20.5256    L_MTS
14.792     6.797      17.9157    L_FMO
16.2461    6.7584     18.1486    L_FMT
20.1998    11.6971    17.0915    L_PO
17.2695    6.7292     14.7918    L_ZTS
6.5821     4.4425     6.3651     O1
11.247     4.732      11.2409    O2
10.1228    12.0564    19.6805    O3
20.0275    15.3907    18.8647    O4







































































































































































11.2634    8.3176     19.5788    GLRH
11.2637    8.3283     19.3691
11.2263    8.3797     19.2219
11.2189    8.3488     19.0505
11.2533    8.3689     18.7266
11.2603    8.4171     18.5079
11.2923    8.4346     18.2655
11.2689    8.4142     18.0459
11.2189    8.3674     17.7483
11.1544    8.2896     17.4268
11.0543    8.2092     17.1752
10.9584    8.0965     16.9389
10.8465    7.9647     16.6903
10.7164    7.8496     16.5108
10.6245    7.691      16.3145
10.3787    7.4355     15.9252
10.2736    7.3569     15.7089
10.1501    7.2035     15.494
10.0725    7.0827     15.2836
9.9823     7.0092     15.1173
9.8702     6.8729     14.9026
9.7567     6.7372     14.6813
9.5787     6.5758     14.4442
9.4534     6.4114     14.1831
9.2831     6.2801     13.9117
9.1386     6.1368     13.6608
8.9565     5.9524     13.2143
8.8402     5.8618     12.9574
8.7069     5.7533     12.6335
8.6093     5.6775     12.4343
8.5547     5.6238     12.2718
8.522      5.5592     12.1086
8.4844     5.5432     11.9356







































































































































































8.4718     5.6422     11.9009    NOSE
8.4        5.8147     11.898
8.2571     5.9922     11.8517
8.1468     6.0714     11.7431
8.044      6.2042     11.6443
7.8997     6.2744     11.5225
7.835      6.264      11.3525
7.7381     6.2441     11.1886
7.6375     6.2284     11.0385
7.5949     6.2099     10.8989
7.4972     6.1796     10.6606
7.4146     6.1519     10.4588
7.3627     6.1003     10.1842
7.2729     6.0425     10.0428
7.2099     5.9968     9.9017
7.1484     5.9312     9.6744
7.0924     5.8596     9.4973
7.0193     5.7697     9.365
6.9845     5.7053     9.276
6.961      5.5945     9.1783
6.8828     5.4868     9.0595
6.8724     5.3408     8.9535
6.8486     5.2103     8.8563
6.8544     5.0265     8.7506
6.8411     4.8643     8.6754
6.8455     4.6831     8.601
6.9328     4.4623     8.4303
6.943      4.3234     8.2653
7.1009     4.2176     8.0978
7.2255     4.132      8.0952
7.2802     3.9952     8.1575
7.353      3.8959     8.2871
7.4104     3.8595     8.4348
7.5307     3.8045     8.5759
7.7698     3.8166     8.7362
7.9925     3.7862     8.8584
