NMNH       381437     Php7stv
19.6188    19.2045    15.1111    IN
16.332     15.6371    17.4623    BR
12.1972    11.5368    14.9067    GL
12.2516    11.516     14.3264    NA
10.2092    9.1733     8.8504     RH
9.4285     8.1512     6.0778     NS
9.402      8.0156     4.6027     PR
8.7793     8.7        4.7724     R_PR2
11.1107    10.7338    10.6354    R_PMS
10.647     14.7898    9.2383     R_ZMI
11.2398    13.0404    12.2612    R_ZMU
12.1888    11.9085    13.4919    R_DA
11.24      12.9319    14.7188    R_MTI
11.8446    13.0317    15.8693    R_MTS
10.7186    14.65      13.7482    R_FMO
10.5547    15.7306    13.9277    R_FMT
14.0712    19.7458    12.4707    R_PO
10.0513    16.6205    10.9747    R_ZTS
10.1838    7.5089     4.8118     L_PR2
11.3674    10.0289    10.2198    L_PMS
15.5979    9.8209     9.283      L_ZMI
14.0313    10.4714    12.1952    L_ZMU
12.6437    11.5252    13.5258    L_DA
13.5658    10.682     14.7313    L_MTI
13.8517    11.2053    15.6739    L_MTS
15.5472    10.223     13.7827    L_FMO
16.6596    9.999      13.8405    L_FMT
20.4736    13.8172    12.3689    L_PO
17.5776    9.4047     10.8617    L_ZTS
9.685      7.2449     4.9563     O1
11.2741    15.3215    15.0001    O2
19.4304    10.6463    11.5438    O3
21.2456    17.3488    14.1219    O4







































































































































































12.2247    11.5335    14.7264    GLRH
12.2331    11.5299    14.4712
12.2369    11.5517    14.3075
12.2388    11.573     14.0175
12.2477    11.5985    13.8001
12.2424    11.6147    13.5782
12.2693    11.5601    13.3761
12.2481    11.5482    13.1545
12.2289    11.5314    13.0035
12.2186    11.4514    12.8099
12.1729    11.4286    12.6545
12.1142    11.3917    12.5243
12.0526    11.3143    12.3701
11.9853    11.2939    12.2445
11.9394    11.2494    12.1312
11.8589    11.1578    11.9194
11.7812    11.0928    11.7389
11.6812    10.9778    11.5135
11.5946    10.8756    11.3169
11.5531    10.7452    11.1759
11.4934    10.675     11.0485
11.4063    10.5967    10.8981
11.3066    10.5026    10.7328
11.1705    10.4342    10.5795
11.0999    10.3614    10.4587
10.9895    10.2564    10.287
10.9408    10.1249    10.1692
10.827     10.025     9.9955
10.7254    9.8951     9.8384
10.6303    9.836      9.7266
10.5114    9.6647     9.5458
10.4337    9.5896     9.4183
10.2772    9.491      9.193
10.251     9.2929     9.0025
10.1711    9.1995     8.8279





































































































































































10.1601    9.2015     8.8288     NOSE
10.0232    9.3601     8.8241
9.9196     9.5377     8.8345
9.8187     9.7645     8.8258
9.6235     9.7781     8.6023
9.4804     9.7719     8.4059
9.2643     9.7617     8.1959
9.1161     9.6577     7.9608
9.0239     9.5747     7.6882
8.9912     9.4831     7.4326
8.966      9.4098     7.2152
8.9402     9.2956     7.0406
8.9393     9.1632     6.8745
8.9401     8.998      6.6886
8.96       8.8204     6.5297
9.01       8.6295     6.4269
9.0605     8.5264     6.2778
9.1159     8.4315     6.163
9.2015     8.2838     6.0469
9.372      8.1833     6.0623
9.4287     8.1191     6.0471
9.576      8.0017     6.119
9.7025     7.9263     6.2381
9.8277     7.7575     6.4103
9.9915     7.7647     6.5839
10.2134    7.8181     6.7608
10.3313    7.8623     6.8968
10.449     7.9283     7.063
10.5746    7.9387     7.2352
10.6397    7.9439     7.3698
10.7325    7.9706     7.6564
10.8046    8.0256     7.8853
10.8272    8.2166     8.1195
10.8847    8.2681     8.24
10.8903    8.5387     8.4628
10.855     8.678      8.6528
10.8386    8.7599     8.7523
10.7781    8.8897     8.8981
10.5878    8.937      8.8698
10.4183    9.0217     8.8733
10.3063    9.095      8.8552
10.1736    9.1773     8.7902






























































































































































9.4203     8.1783     6.0795     NASP-PR
9.3523     8.0979     5.9384
9.3048     8.0058     5.7811
9.2634     7.9379     5.5924
9.2452     7.9217     5.3744
9.2353     7.907      5.1772
9.2747     7.8983     5.0261
9.3104     7.8925     4.9513
9.3404     7.966      4.7225

























































































































