NMNH       320783     Pyg7stv
0.3279     12.8466    5.8862     IN
0.0134     9.2349     8.5741     BR
-0.091     4.5337     6.3666     GL
-0.1113    4.4185     5.5946     NA
-0.1314    4.2766     4.8057     RH
-0.0835    3.2237     2.9749     NS
-0.0738    2.931      2.5016     PR
-0.6307    3.0235     2.5772     R_PR2
-0.3038    4.4681     5.6827     R_PMS
-2.5673    5.4318     3.0151     R_ZMI
-2.2484    5.0104     4.0994     R_ZMU
-0.6056    4.7635     5.8175     R_DA
-1.8717    5.0957     6.565      R_MTI
-1.9184    5.2562     6.8969     R_MTS
-3.1781    5.5895     5.5738     R_FMO
-3.5318    5.9823     5.4762     R_FMT
-3.0318    9.9409     4.5566     R_PO
-3.4996    6.5697     3.6009     R_ZTS
0.4515     3.0125     2.5876     L_PR2
-0.0598    4.4229     5.5955     L_PMS
2.6639     5.2488     3.2859     L_ZMI
2.1786     4.9799     4.371      L_ZMU
0.3417     4.6986     5.8871     L_DA
1.8149     5.1869     6.6777     L_MTI
1.7817     5.2627     7.0347     L_MTS
3.0505     5.4557     5.7747     L_FMO
3.3052     5.9179     5.9682     L_FMT
3.1945     9.7579     4.5424     L_PO
3.5891     6.3395     3.8636     L_ZTS
-0.3415    2.7523     2.2658     O1
-2.786     6.7686     5.8629     O2
3.8453     8.4261     4.1241     O3
-0.9544    12.8202    6.0718     O4







































































































































































-0.118     4.5423     6.4012     GLRH
-0.1217    4.5192     6.2539
-0.1231    4.4961     6.0964
-0.132     4.4515     5.9695
-0.1148    4.4386     5.8248
-0.108     4.4141     5.6684
-0.1292    4.4046     5.5044
-0.1082    4.3849     5.3272
-0.1235    4.3636     5.2118
-0.1166    4.349      5.0792
-0.1162    4.3386     4.9964
-0.1093    4.2747     4.8805




























































































































































































-0.1598    4.2767     4.8722     NOSE
-0.3217    4.292      4.8121
-0.4864    4.2957     4.6703
-0.5603    4.2801     4.5463
-0.6356    4.222      4.3473
-0.6888    4.1563     4.1609
-0.7325    4.0477     3.9742
-0.7467    3.945      3.8401
-0.7866    3.8157     3.6509
-0.7039    3.6804     3.5469
-0.6629    3.5247     3.4546
-0.5061    3.3351     3.3568
-0.3922    3.1658     3.1256
-0.2148    3.129      2.9859
-0.0927    3.111      2.9726
0.0978     3.1439     3.0678
0.215      3.2035     3.2718
0.3333     3.3861     3.4426
