UCMVZ      118062     Phu16
5.3        6.2045     6.1061
5.2774     6.1529     5.9319
5.3137     6.1134     5.7739
5.4299     6.139      5.6193








































































































































































8.5874     6.7958     10.5215    L-PM/MAX
8.5368     6.7026     10.4073
8.4804     6.6063     10.3013
8.3774     6.4459     10.099
8.341      6.3228     9.9694
8.2725     6.163      9.7964
8.2154     6.0258     9.6606
8.2349     5.8677     9.4818
8.1849     5.7447     9.3385
8.1849     5.6543     9.218
8.1838     5.5516     9.1175
8.1404     5.4084     8.9691
8.1599     5.2715     8.8351
8.1562     5.1463     8.678
8.1438     5.0258     8.5388
8.1026     4.9265     8.4516
8.1234     4.8506     8.329
8.1133     4.7566     8.1403
8.1154     4.6988     8.0319
8.0899     4.5989     7.8556
8.0334     4.5688     7.6945
8.0216     4.5261     7.5565
7.9696     4.4555     7.3857
7.9955     4.4019     7.2084
7.9768     4.3181     7.0514
8.0081     4.2795     6.9311
7.9916     4.2074     6.6964
7.9869     4.1497     6.5777
8.0465     4.0861     6.3713
8.0291     4.053      6.2486
8.0648     4.0291     6.1244
8.0676     3.9869     5.9797
8.048      3.9725     5.8797
7.9711     4.1274     5.5704






































































































































































6.741      8.891      6.6788     ROSTRUM
6.7063     8.8088     6.8579
6.6747     8.7376     7.047
6.6563     8.6764     7.1983
6.6818     8.5962     7.332
6.7285     8.4387     7.5096
6.7706     8.3454     7.6536
6.7893     8.2975     7.7576
6.8224     8.2346     7.9313
6.7981     8.1272     8.1258
6.7894     8.0466     8.3336
6.7543     7.9082     8.5284
6.7484     7.8422     8.6755
6.7017     7.736      8.8925
6.6498     7.6667     9.0812
6.6278     7.574      9.249
6.6682     7.4314     9.3838
6.7926     7.3172     9.4789
6.9367     7.2154     9.5195
7.1109     7.0679     9.5713
7.1974     6.9379     9.5665
7.3214     6.8058     9.6599
7.4038     6.7265     9.7271
7.4457     6.628      9.847
7.5748     6.4683     9.8269
7.7407     6.3941     9.8371
7.867      6.2837     9.837
7.9904     6.2179     9.8679
8.0879     6.1437     9.852
8.2727     6.1514     9.762
8.4767     6.1366     9.74
8.5566     6.0846     9.7117
8.6552     6.0104     9.717
8.7356     5.953      9.6643
8.8726     5.91       9.6383
8.9982     5.8997     9.6012
9.1705     5.7547     9.5612
9.2646     5.7115     9.4345
9.3233     5.687      9.1356
9.3832     5.7545     8.9348
9.4316     5.8038     8.7319
9.4581     5.8318     8.5559
9.5279     5.8855     8.3914
9.5792     5.9114     8.2354
9.6558     5.9627     8.0137
9.7531     6.0264     7.8512
9.7952     5.9858     7.7025
9.8622     5.9882     7.6237
9.9577     5.9758     7.537
10.0437    5.9162     7.4099
10.1892    5.8592     7.282
10.3035    5.8588     7.1601
10.3672    5.9019     7.0035
10.411     5.9368     6.8707
10.4244    5.9412     6.7936
10.4705    5.9547     6.682
10.5304    5.992      6.5799















































































































































7.3644     11.6928    13.8271    SUPORB
7.3412     11.5874    13.9956
7.3371     11.4994    14.2074
7.3106     11.4212    14.2925
7.3047     11.2327    14.511
7.3571     11.07      14.6667
7.3854     10.9188    14.7867
7.4385     10.7774    14.8787
7.5186     10.6312    14.9736
7.6119     10.3484    15.1113
7.753      10.1978    15.1844
7.8022     10.0314    15.2632
7.9031     9.8991     15.3026
8.0557     9.798      15.3849
8.254      9.6952     15.4868
8.4277     9.609      15.5424
8.6044     9.4581     15.605
8.7473     9.3548     15.6565
8.8719     9.256      15.6857
9.013      9.1196     15.7071
9.1687     8.9435     15.7223
9.2548     8.7247     15.6876
9.2216     8.5313     15.6214
9.2688     8.3597     15.544
9.2701     8.2387     15.4844
9.3657     8.0751     15.4011
9.4847     7.9157     15.3694
9.7521     7.891      15.3665
10.0214    7.8039     15.4787
10.1909    7.829      15.5237
10.3743    7.8253     15.552
10.6382    7.8177     15.5967
10.8219    7.7267     15.577
11.023     7.6567     15.5436
11.2071    7.5275     15.4891
11.3086    7.3637     15.4283
11.4701    7.1927     15.333
11.5738    7.0611     15.2249
11.7165    6.9435     15.1422
12.1227    6.8484     14.9642
12.3275    6.8704     14.883
12.4845    6.8429     14.798
12.6534    6.8722     14.6946
