UWMA       TP12       Pi1stv





















































9999       9999       9999       ROSTRUM
25.364     -0.7069    7.5169
25.3548    -0.4061    7.5013
25.3637    -0.1985    7.3586
25.3946    -0.0387    7.2509
25.3878    0.0781     7.1245
25.4614    0.2241     6.9505
25.533     0.4321     6.8046
25.5841    0.6361     6.7092
25.5974    0.8146     6.6205
25.5558    1.0192     6.4875
25.6639    1.2844     6.2567
25.72      1.4356     6.1136
25.7968    1.5963     5.9009
25.9351    1.7167     5.5843
26.0236    1.8638     5.3107
26.0731    1.9683     5.0785
26.138     2.0619     4.8418
26.138     2.1729     4.6503
26.1888    2.3015     4.4764
26.2741    2.4149     4.2976
26.3653    2.5245     4.1162
26.4945    2.5992     3.8443
26.5908    2.6103     3.6373
















































































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































23.0654    0.994      5.9383     LORBIT
22.7572    1.1512     5.9754
22.4311    1.2556     6.0619
22.205     1.2346     6.1438
22.0171    1.2737     6.2077
21.7682    1.3612     6.3394
21.552     1.2856     6.4275
21.4121    1.3046     6.5536
21.2278    1.2304     6.7561
21.0088    1.1208     6.9748
20.9173    1.0371     7.1933
20.8248    0.9091     7.4785
20.7913    0.6413     7.7628
20.7976    0.4544     7.8612
20.8009    0.2334     8.0234
20.8453    -0.062     8.0941
20.9561    -0.297     8.1999
21.072     -0.4915    8.2771
21.199     -0.6943    8.4137
21.3921    -1.1372    8.5331
21.5894    -1.4746    8.4047
21.8007    -1.5998    8.3223
22.0668    -1.7287    8.1787
22.2406    -1.7017    8.05
22.3744    -1.6522    7.9101
22.5454    -1.5412    7.6849
22.6917    -1.4125    7.5318
22.8391    -1.22      7.3921
22.9425    -1.0758    7.3413
23.0676    -0.9466    7.1829










































































































































































9999       9999       9999       RTEMFOS







































































































































































































20.3556    1.405      6.4386     LTEMFOS
20.448     1.4971     6.2622
20.5338    1.5843     6.1333
20.7584    1.6902     5.9706
21.5224    1.9851     5.7061
21.7634    2.033      5.6099
21.8342    2.0812     5.4255
22.0053    2.1419     5.2308
22.0552    2.2364     4.9419
22.0319    2.3695     4.7912
22.0101    2.4856     4.641
21.8958    2.5136     4.5172
21.7901    2.5588     4.4454
21.6146    2.5681     4.2803
21.4311    2.552      4.2576
21.2933    2.5628     4.2183
21.2314    2.5603     4.1895























































































































































































9999       9999       9999       OP
9999       9999       9999       BA
22.5801    1.7482     6.2049     ST
18.8653    -0.016     4.643      IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
9999       9999       9999       R_M3D
19.4705    -1.359     6.2923     R_M12
9999       9999       9999       R_MP3
9999       9999       9999       R_PMI
25.9299    6.6673     6.1751     L_PG
25.0459    6.5511     4.4618     L_ZTI
20.9204    3.5038     5.2346     L_M3D
19.1071    2.7367     4.1103     L_M12
17.4468    1.1574     3.705      L_MP3
17.4936    0.2931     3.6508     L_PMI
17.6845    -0.1783    3.1659     O1
25.3609    -2.0265    6.7231     O2
25.5333    6.3703     4.087      O3
31.205     3.1824     6.0164     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































20.7551    3.5115     5.0459     L-ALV
20.4938    3.4484     4.7428
20.2002    3.3729     4.4734
19.8849    3.1452     4.324
19.7358    2.9031     4.1589
19.5846    2.8089     4.0823
19.4366    2.8033     4.0436
19.2403    2.7751     4.0152
19.0313    2.6727     4.0073
18.9135    2.6256     3.9423
18.6998    2.4183     3.8392
18.5547    2.3188     3.8086
18.2773    2.131      3.8748
18.1668    1.9748     3.8485
18.0317    1.8206     3.7948
17.9191    1.7208     3.7209
17.7319    1.635      3.7225
17.5638    1.399      3.6584
17.4708    1.2265     3.5467
