UWMA       TP12       Pi1stv
9999       9999       9999       IN
17.0906    -4.0444    6.4061     BR
9999       9999       9999       GL
22.5698    -1.8908    8.411      NA
26.5761    -0.1175    7.6184     RH
9999       9999       9999       NS
9999       9999       9999       PR
9999       9999       9999       R_PR2
26.019     -1.0954    7.2395     R_PMS
9999       9999       9999       R_ZMI
24.7635    -3.0219    6.2661     R_ZMU
23.5423    -2.0283    7.3299     R_DA
9999       9999       9999       R_MTI
9999       9999       9999       R_MTS
9999       9999       9999       R_FMO
9999       9999       9999       R_FMT
9999       9999       9999       R_PO
9999       9999       9999       R_ZTS
9999       9999       9999       L_PR2
25.8339    0.3169     7.3561     L_PMS
23.4678    2.8019     3.8872     L_ZMI
23.238     1.0493     5.9939     L_ZMU
23.078     -0.9745    7.4296     L_DA
21.235     -0.6102    8.3879     L_MTI
20.7724    -0.8352    8.7152     L_MTS
20.9758    1.2023     6.9681     L_FMO
20.3262    1.4991     6.477      L_FMT
17.7689    0.7197     2.8253     L_PO
21.2253    2.7138     4.1424     L_ZTS
29.2455    2.2334     5.4925     O1
24.1183    -4.7165    6.2619     O2
19.1731    2.0134     3.3108     O3
16.3629    -3.7712    5.4885     O4







































































































































































9999       9999       9999       GLRH
22.5854    -1.9658    8.3729
22.6936    -1.8921    8.2845
22.8859    -1.8368    8.1419
22.9873    -1.76      8.0409
23.1332    -1.7074    7.9596
23.2876    -1.6196    7.8538
23.494     -1.4825    7.7348
23.6113    -1.441     7.6753
23.735     -1.371     7.603
23.8606    -1.3041    7.5823
23.9702    -1.2312    7.5713
24.113     -1.1708    7.5753
24.2492    -1.1054    7.5537
24.4413    -1.0584    7.4874
24.58      -0.9739    7.5273
24.777     -0.8727    7.5335
25.0821    -0.8237    7.4862
25.3564    -0.7023    7.5371
25.4617    -0.6536    7.5664
25.5859    -0.5936    7.6711
25.7821    -0.5172    7.7077
25.893     -0.474     7.7162
26.0139    -0.3694    7.7225
26.1089    -0.3494    7.7274
26.2193    -0.3109    7.7062
26.3175    -0.2571    7.6798
26.4209    -0.2139    7.6311
26.5873    -0.1953    7.5696











































































































































































9999       9999       9999       NOSE







































































































































































































9999       9999       9999       NASP-PR







































































































































































































9999       9999       9999       R-PM/MAX







































































































































































































25.8606    0.3486     7.285      L-PM/MAX
26.1461    0.503      7.2148
26.2793    0.5926     7.2054
26.4       0.6862     7.1701
26.5614    0.7789     7.068
26.7032    0.8711     6.9655
26.8922    1.027      6.8077
27.3438    1.3045     6.4756
27.5047    1.3957     6.4313
27.6779    1.5181     6.3845
27.7745    1.5988     6.3288
27.8898    1.7184     6.239
27.9935    1.7746     6.1598
28.049     1.8288     6.1041
28.1817    1.9011     6.0021
28.3069    2.0642     5.9883
28.4268    2.2363     5.7751
28.5609    2.3192     5.6774
28.6924    2.491      5.589
28.8473    2.5881     5.3788
28.9394    2.6933     5.2774
29.0299    2.7765     5.1754
29.1979    2.562      4.8264




























































































































