AMNH        169432      phu1adr3
8.2288      19.1167     -10.3129
8.093       19.1158     -10.3765
8.0353      19.0741     -10.4581
7.9274      18.975      -10.4591
7.8255      18.9149     -10.5371
7.7587      18.8866     -10.4583



































































































































6.3325      20.6349     -6.8104     NASP-PR
6.2509      20.6774     -6.6691
6.2536      20.7723     -6.5277
6.199       20.8658     -6.2773
6.1816      20.8884     -6.0659
6.2331      20.9067     -5.8711
6.2641      20.8925     -5.7103
6.2887      20.8895     -5.5587
6.2864      20.8772     -5.4322
6.3121      20.8641     -5.2481
6.3546      20.791      -5.0773





























































































































































































7.5392      17.5266     -11.0027    R-PM/MAX
7.4343      17.6224     -10.8738
7.3792      17.6644     -10.7808
7.3259      17.6822     -10.6819
7.2391      17.7419     -10.5274
7.1678      17.7655     -10.4171
7.1272      17.7973     -10.3115
7.0569      17.8432     -10.2335
6.9576      17.9122     -10.1154
6.8874      17.9482     -10.0247
6.8072      17.9993     -9.9024
6.7489      18.0158     -9.8151
6.6723      18.0566     -9.6784
6.6096      18.0743     -9.5703
6.552       18.093      -9.4851
6.5289      18.114      -9.4254
6.4889      18.149      -9.3337
6.4572      18.1684     -9.2475
6.4252      18.1769     -9.1583
6.3934      18.1899     -9.0486
6.3596      18.2118     -8.9243
6.3399      18.2514     -8.8232
6.3101      18.2462     -8.7513
6.2676      18.2604     -8.6386
6.2112      18.2878     -8.4905
6.1725      18.2885     -8.381
6.133       18.3143     -8.3052
6.1154      18.3256     -8.2124
6.0855      18.3311     -8.1216
6.0572      18.369      -7.9841
5.9953      18.3844     -7.8385
5.9601      18.3943     -7.6486
5.9111      18.3813     -7.4871
5.8601      18.3953     -7.4108
5.8348      18.4093     -7.295
5.7832      18.4391     -7.1924
5.7272      18.4563     -7.0399
5.6966      18.4264     -6.9815
5.6705      18.4126     -6.8836
5.5929      18.3805     -6.7269
5.5894      18.3483     -6.5591
5.6229      18.2694     -6.4322
5.6847      18.3511     -6.2942
5.8077      18.3085     -6.0857
5.85        18.3044     -6.031
5.9123      18.3021     -5.9243


























































































































































8.99        18.8587     -11.0148    L-PM/MAX
8.9739      18.9462     -10.9352
8.9511      18.9803     -10.8269
8.9469      19.0432     -10.733
8.9299      19.1112     -10.6289
8.8992      19.203      -10.5221
8.9058      19.2743     -10.4092
8.8908      19.3313     -10.3353
8.8772      19.4117     -10.2156
8.868       19.4708     -10.1417
8.8583      19.5006     -10.0986
8.8255      19.6133     -9.9976
8.8259      19.6789     -9.9108
8.816       19.7526     -9.845
8.824       19.8081     -9.7812
8.7912      19.8877     -9.6375
8.797       19.9454     -9.546
8.7807      19.9865     -9.472
8.7767      20.0556     -9.3714
8.7663      20.1071     -9.2775
8.7443      20.1443     -9.2082
8.7183      20.1786     -9.1542
8.7356      20.2125     -9.0599
8.7149      20.239      -9.0094
8.6865      20.2806     -8.9107
8.6792      20.3135     -8.8381
8.6846      20.3232     -8.7659
8.6621      20.3841     -8.6152
8.6494      20.4125     -8.5053
8.6425      20.4361     -8.3888
8.6224      20.4687     -8.3197
8.6201      20.5186     -8.223
8.6076      20.5305     -8.1675
8.6202      20.5655     -8.0407
8.6122      20.5893     -7.9249
8.6073      20.6207     -7.8678
8.5996      20.6563     -7.7354
8.5797      20.6891     -7.6311
8.5532      20.765      -7.4951
8.551       20.805      -7.3907
8.6102      20.883      -7.2659
8.6395      20.9582     -7.1634
8.6625      20.9742     -7.0525
8.6939      21.0246     -6.8894
8.8008      21.0447     -6.7689
8.7939      20.9997     -6.6385
8.7513      20.908      -6.4261
8.7008      20.8232     -6.35
























































































































































7.993       14.3979     -7.3273     ROSTRUM
7.8935      14.4        -7.4206
7.8529      14.3752     -7.5659
7.8077      14.415      -7.698
7.7799      14.4795     -7.8713
7.7529      14.538      -8.0035
7.7532      14.5556     -8.1667
7.758       14.6519     -8.3116
7.7999      14.7402     -8.4725
7.8713      14.8485     -8.6442
7.8594      14.9309     -8.8404
7.8938      15.0157     -8.9317
7.9294      15.0698     -9.0452
7.8914      15.1203     -9.1738
7.8332      15.1498     -9.3319
7.7695      15.2028     -9.4788
7.7151      15.2264     -9.5671
7.6551      15.2294     -9.6691
7.549       15.2594     -9.8664
7.4793      15.2892     -9.9872
7.3632      15.2623     -10.1186
7.2499      15.3002     -10.2519
7.1971      15.296      -10.3914
7.0495      15.3293     -10.5755
6.9195      15.3405     -10.759
6.8787      15.4118     -10.9741
