AMNH        169432      phu1adr3
11.6269     20.9904     -10.383
11.5499     21.0662     -10.3664
11.4842     21.1564     -10.3737
11.4031     21.2521     -10.3722
11.3328     21.3265     -10.3499
11.2127     21.4079     -10.3462
11.0798     21.4948     -10.3509
11.0011     21.551      -10.3355
10.9203     21.6259     -10.3297
10.8508     21.6983     -10.3238
10.7416     21.7658     -10.3682
10.6556     21.8506     -10.3831
10.5454     21.9647     -10.3514
10.4441     22.0477     -10.344
10.3478     22.145      -10.3474
10.2098     22.2619     -10.357
10.049      22.3625     -10.3378
9.8815      22.4218     -10.3071
9.7404      22.4793     -10.3712
9.6139      22.5964     -10.374
9.4784      22.721      -10.3526
9.3544      22.7963     -10.3918
9.2813      22.882      -10.3903
9.1768      22.9805     -10.4404
9.0915      23.0657     -10.4358
8.9665      23.1576     -10.4208
8.8962      23.2676     -10.3879
8.8303      23.3611     -10.3223
8.7504      23.3908     -10.2976



























































































































































8.6564      16.0486     -10.362     L-ALV
8.5394      16.0791     -10.3622
8.3924      16.1283     -10.3548
8.2865      16.1816     -10.3029
8.2113      16.2423     -10.301
8.0581      16.3361     -10.3218
7.975       16.3951     -10.2924
7.8492      16.4762     -10.3024
7.7519      16.5821     -10.3162
7.7003      16.6698     -10.295
7.6105      16.7156     -10.2562
7.5503      16.8111     -10.2848
7.481       16.8915     -10.2868
7.4047      16.9603     -10.2954
7.2992      17.0322     -10.2728
7.2178      17.1095     -10.2921
7.083       17.2191     -10.2533
7.0201      17.3068     -10.2754
6.8676      17.4145     -10.2423
6.7851      17.5366     -10.2081
6.6693      17.6631     -10.2878
6.6026      17.8054     -10.2987
6.533       17.8948     -10.284
6.4176      18.0287     -10.292
6.3439      18.0848     -10.263
6.2998      18.2242     -10.2859
6.2023      18.3406     -10.3061
6.097       18.4148     -10.267
6.008       18.5511     -10.2462
5.9399      18.733      -10.2132
5.9303      18.8237     -10.2278
5.8855      18.8902     -10.2372
5.8446      19.0013     -10.2142
5.7288      19.1569     -10.2053
5.6441      19.3044     -10.1978
5.5778      19.4542     -10.2414
5.4777      19.6114     -10.2671
5.388       19.7466     -10.2689
5.3066      19.8221     -10.1945
5.1657      19.9501     -10.1705
5.1027      20.0269     -10.1191
5.0504      20.1201     -10.1269
