MNHN       1972.357   Phh23stv
-0.8423    19.8789    12.165     IN
-0.5369    14.8005    15.199     BR
-0.1244    8.5637     13.7803    GL
-0.1131    8.7003     13.4181    NA
-0.1532    4.5803     8.8287     RH
0.1118     2.7393     6.4636     NS
0.1284     2.0441     5.3263     PR
-0.858     2.2294     5.3823     R_PR2
-0.3847    6.9501     10.1888    R_PMS
-3.9592    8.8425     8.1843     R_ZMI
-1.809     8.9561     11.2178    R_ZMU
-0.5009    9.013      12.4698    R_DA
-1.9036    8.8352     13.3564    R_MTI
-1.7145    9.3419     14.479     R_MTS
-3.4053    9.4604     12.4666    R_FMO
-3.9639    10.1559    13.2563    R_FMT
-5.1954    15.329     10.2787    R_PO
-5.6519    10.5033    9.6239     R_ZTS
0.7692     2.5026     5.2748     L_PR2
-0.2141    7.0006     10.1802    L_PMS
3.0939     9.4805     8.1262     L_ZMI
1.2486     9.2035     11.1733    L_ZMU
-0.1507    9.0636     12.189     L_DA
1.4184     9.0827     13.4203    L_MTI
1.3051     9.6272     14.3359    L_MTS
2.6747     10.1003    12.4642    L_FMO
3.322      10.714     12.7956    L_FMT
3.3451     16.2337    9.9051     L_PO
4.3436     11.4157    9.2713     L_ZTS
0.4251     1.892      5.0252     O1
-3.5752    10.3556    13.8702    O2
4.6196     13.5687    9.2842     O3
-2.7746    19.3841    11.8656    O4







































































































































































-0.4763    8.6536     13.7231    GLRH
-0.3691    8.7673     13.4054
-0.4244    8.7979     13.2559
-0.3834    8.7692     13.083
-0.4079    8.8061     12.8858
-0.4437    8.8418     12.6451
-0.4619    8.8552     12.46
-0.4527    8.7954     12.2721
-0.4182    8.6975     12.0832
