FMNH       101803     Phu59stv
5.1255     6.133      4.1892
5.3883     6.2475     3.8019














































































































































































8.1081     6.0601     9.2761     L-PM/MAX
8.0437     5.9729     9.1559
7.9759     5.8435     8.9769
7.9464     5.7132     8.7693
7.8896     5.5431     8.533
7.8672     5.4528     8.4229
7.839      5.3398     8.2576
7.8236     5.2644     8.1095
7.8203     5.1253     7.9258
7.8223     4.9993     7.7926
7.8135     4.8228     7.6022
7.8069     4.726      7.4757
7.8125     4.6412     7.302
7.8199     4.5676     7.1677
7.8235     4.5022     6.9352
7.8349     4.4143     6.7349
7.8673     4.3748     6.4961
7.8827     4.3505     6.3309
7.8808     4.2903     6.1739
7.9035     4.2281     5.9892
7.9168     4.1699     5.8551
8.0315     4.1382     5.6273
8.0455     4.0506     5.3907
8.1409     3.9647     5.1707
8.1865     3.998      5.0994
8.2392     3.9598     4.9059
8.3049     3.9676     4.7455
8.3428     3.9703     4.6094
8.3301     4.0048     4.4105
8.2023     4.0919     4.2744
8.1733     4.2274     4.1021









































































































































































7.0112     9.7455     5.8617     ROSTRUM
6.9549     9.5691     6.1231
6.9332     9.4092     6.3295
6.9588     9.1946     6.5396
6.9586     9.0215     6.7255
6.9465     8.9352     6.8215
6.9115     8.8244     6.9782
6.8706     8.7484     7.1598
6.7688     8.6247     7.3606
6.6454     8.4733     7.6584
6.5844     8.4177     7.7783
6.4938     8.3442     7.9846
6.3797     8.3207     8.1679
6.2138     8.3014     8.2574
6.0668     8.2729     8.3779
5.9085     8.1727     8.5588
5.8788     8.033      8.7941
5.9665     7.8664     8.922
6.079      7.7062     8.9657
6.2971     7.4546     8.9932
6.4458     7.32       9.0179
6.59       7.2109     8.9956
6.6713     7.1376     9.0552
6.7945     6.9996     9.0902
6.8674     6.9095     9.1666
6.9417     6.7836     9.2265
7.0446     6.6653     9.2938
7.1127     6.5576     9.323
7.2795     6.3513     9.3605
7.4298     6.2438     9.346
7.5638     6.1601     9.3231
7.7201     6.0136     9.1936
7.8975     5.9213     9.0813
7.999      5.8963     9.0364
8.0941     5.8257     9.0745
8.2273     5.7347     9.0646
8.3637     5.6546     9.065
8.4417     5.539      9.077
8.637      5.4216     9.0995
8.7595     5.3396     9.0591
8.9206     5.2694     9.0015
9.0941     5.2166     8.9513
9.2803     5.2214     8.8855
9.5202     5.5825     8.4536
9.5223     5.7733     8.2671
9.5826     5.8984     8.1496
9.5905     5.9798     7.9788
9.7104     6.0934     7.7701
9.7726     6.1813     7.5567
9.863      6.3334     7.3496
9.9928     6.4598     7.1448
10.0792    6.5126     7.0374
10.1997    6.533      6.9335
10.2941    6.5602     6.8457
10.4004    6.547      6.7456
10.4798    6.5664     6.7068
10.5789    6.5621     6.6542
10.6781    6.5155     6.5763
10.8099    6.5468     6.4298
10.9293    6.5802     6.3259
10.9608    6.5952     6.2425
11.0096    6.6253     6.1281
11.0669    6.6686     6.0071









































































































































7.1849     12.716     14.8539    SUPORB
7.2445     12.5574    15.3669
7.3025     12.4768    15.6236
7.314      12.3205    15.8381
7.3466     11.9858    16.0801
7.374      11.7727    16.1985
7.4645     11.5781    16.292
7.5475     11.2782    16.3919
7.604      11.1181    16.4447
7.7233     10.953     16.5396
7.8917     10.76      16.6481
8.158      10.5575    16.7912
8.3581     10.4246    16.8919
8.5227     10.2923    16.9335
8.6101     10.0724    16.9278
8.7742     9.9457     16.9421
8.9427     9.6731     16.9299
9.0417     9.4249     16.8631
9.1284     9.2785     16.8208
9.1534     9.0865     16.7485
9.1473     8.9754     16.6822
9.1321     8.8071     16.6018
9.1244     8.6979     16.5164
9.191      8.5708     16.4562
9.3515     8.4859     16.5209
9.5381     8.513      16.6504
