AMNH       169432     Phu1mam10
1.6834     26.5706    13.6692    IN
2.0365     21.4672    16.3831    BR
2.4911     15.0616    15.8814    GL
2.4448     14.9642    15.3731    NA
2.4784     9.4074     9.3244     RH
2.6328     6.6378     6.042      NS
2.6878     6.2344     4.4858     PR
1.5406     6.5177     4.6252     R_PR2
1.5312     10.3868    9.7304     R_PMS
-1.7203    14.5112    9.1085     R_ZMI
0.0147     14.8536    13.1501    R_ZMU
1.9302     15.0931    14.3101    R_DA
0.1019     15.1661    15.6179    R_MTI
0.2317     16.014     16.6698    R_MTS
-1.29      15.6439    14.0348    R_FMO
-2.4691    16.4405    14.2747    R_FMT
-2.6034    22.2618    11.6699    R_PO
-3.5451    16.565     10.6353    R_ZTS
3.7315     6.6104     4.5187     L_PR2
3.4009     10.3108    9.7062     L_PMS
6.2062     15.1305    8.8712     L_ZMI
4.6141     15.0527    12.98      L_ZMU
2.9192     15.1522    14.2248    L_DA
4.9014     15.5009    15.4341    L_MTI
4.8764     16.4032    16.4128    L_MTS
5.9328     16.0077    13.5977    L_FMO
6.9996     17.1354    14.1067    L_FMT
6.1967     22.7544    11.2509    L_PO
7.747      17.1408    10.3388    L_ZTS
3.3904     6.0236     4.5053     O1
6.3425     17.346     15.4284    O2
-3.5815    20.664     10.9639    O3
-0.4982    25.2222    12.8589    O4







































































































































































9999       9999       9999       GLRH







































































































































































































9999       9999       9999       NOSE
















































































































































































