AMNH       81811      phu3ams3
0.7208     0.8179     -0.7262    IN
0.595      0.6169     -0.8203    BR
0.4365     0.3986     -0.7291    GL
0.4387     0.4019     -0.7104    NA
0.3357     0.2575     -0.4297    RH
0.2696     0.1658     -0.2613    NS
0.2658     0.1618     -0.2054    PR
0.306      0.1585     -0.2028    R_PR2
0.386      0.2697     -0.4555    R_PMS
0.5828     0.3335     -0.4561    R_ZMI
0.5206     0.3733     -0.6161    R_ZMU
0.4633     0.4071     -0.6559    R_DA
0.5212     0.3663     -0.7181    R_MTI
0.537      0.392      -0.7677    R_MTS
0.591      0.3698     -0.671     R_FMO
0.642      0.3672     -0.6724    R_FMT
0.7942     0.5957     -0.6011    R_PO
0.6855     0.3719     -0.5273    R_ZTS
0.2371     0.1952     -0.2078    L_PR2
0.3346     0.3136     -0.4669    L_PMS
0.3016     0.5207     -0.4712    L_ZMI
0.3721     0.471      -0.625     L_ZMU
0.431      0.4315     -0.6672    L_DA
0.3706     0.4682     -0.7258    L_MTI
0.3968     0.4848     -0.776     L_MTS
0.3477     0.5332     -0.6829    L_FMO
0.3273     0.579      -0.6807    L_FMT
0.4809     0.8029     -0.6183    L_PO
0.3032     0.6316     -0.5469    L_ZTS
0.237      0.1662     -0.2134    O1
0.2843     0.5307     -0.5084    O2
0.7732     0.4584     -0.5329    O3
0.5786     0.8299     -0.6738    O4







































































































































































0.439      0.4002     -0.7139    GLRH
0.4395     0.4032     -0.7068
0.4403     0.4053     -0.7001
0.4406     0.4076     -0.693
0.4424     0.4084     -0.6871
0.443      0.4087     -0.6814
0.4431     0.4096     -0.6765
0.4437     0.4101     -0.668
0.4422     0.4097     -0.6602
0.441      0.4089     -0.6524
0.4401     0.4063     -0.6462
0.4382     0.404      -0.6382
0.4365     0.4012     -0.6316
0.4344     0.3974     -0.6246
0.4318     0.3961     -0.6185
0.4297     0.3915     -0.6094
0.4267     0.3875     -0.6021
0.4224     0.3819     -0.5932
0.4186     0.379      -0.5878
0.4155     0.3737     -0.5793
0.4125     0.3694     -0.5746
0.4088     0.3639     -0.5646
0.4044     0.3593     -0.5581
0.4003     0.352      -0.5506
0.3968     0.3456     -0.5425
0.3935     0.3399     -0.5369
0.3884     0.3341     -0.5296
0.3836     0.3268     -0.522
0.3784     0.3185     -0.5128
0.3749     0.3139     -0.5067
0.3705     0.3085     -0.5002
0.3667     0.3023     -0.4916
0.3627     0.2959     -0.4842
0.3561     0.2869     -0.4726
0.3539     0.2805     -0.4665
0.3486     0.2746     -0.4578
0.3433     0.2683     -0.4483
0.3389     0.2631     -0.4388
0.335      0.2569     -0.4301

































































































































































0.3399     0.2586     -0.4268    NOSE
0.3462     0.2456     -0.4255
0.352      0.2393     -0.4178
0.3598     0.2302     -0.4098
0.3603     0.2219     -0.4015
0.3614     0.2101     -0.3861
0.3578     0.2019     -0.3729
0.3531     0.1955     -0.3576
0.3475     0.188      -0.3421
0.3425     0.18       -0.3293
0.3331     0.1737     -0.3159
0.3187     0.1665     -0.3032
0.2935     0.1596     -0.2844
0.2859     0.1591     -0.2783
0.2795     0.161      -0.2738
0.2722     0.1658     -0.2644
0.2642     0.1669     -0.2644
0.254      0.1753     -0.2782
0.2498     0.189      -0.292
0.2478     0.2028     -0.2991
0.2439     0.2213     -0.3115
0.2437     0.2356     -0.3317
0.2516     0.2475     -0.3492
0.2599     0.2556     -0.3677
0.2667     0.2638     -0.3853
0.2794     0.2691     -0.4014
0.2973     0.2679     -0.4083
0.3204     0.2627     -0.4292
0.3302     0.2603     -0.43
0.338      0.2569     -0.4275










































































































































































0.2692     0.1665     -0.2607    NASP-PR
0.2674     0.1597     -0.2497
0.2659     0.1596     -0.2416
0.2642     0.1603     -0.2282
0.2647     0.1601     -0.2171
0.2654     0.1607     -0.2082
0.2669     0.1618     -0.2045

































































































































































































0.3846     0.2671     -0.4528    R-PM/MAX
0.3824     0.2572     -0.4419
0.3811     0.2525     -0.4367
0.3779     0.2418     -0.4253
0.3753     0.2338     -0.4197
0.3723     0.2232     -0.4145
0.3758     0.2125     -0.4039
0.3763     0.2042     -0.3894
0.3759     0.2015     -0.3793
0.3762     0.196      -0.3634
0.3759     0.1932     -0.3505
0.3722     0.189      -0.3369
0.3738     0.1841     -0.3251
0.3799     0.1757     -0.3031
0.3837     0.1697     -0.2845
0.3868     0.1707     -0.2661
0.3855     0.1717     -0.2492
0.389      0.1812     -0.2377






















































































































































































0.3338     0.312      -0.465     L-PM/MAX
0.3264     0.3068     -0.4567
0.3186     0.3022     -0.4474
0.3056     0.2936     -0.4331
0.2998     0.2898     -0.4245
0.2892     0.2858     -0.4154
0.28       0.2801     -0.4086
0.2711     0.2773     -0.4027
0.2611     0.2731     -0.3884
0.2542     0.2703     -0.3639
0.2474     0.2691     -0.3487
0.2392     0.2643     -0.3343
0.2258     0.2662     -0.3066
0.2227     0.2718     -0.2968
0.2217     0.2743     -0.2872
0.2205     0.2793     -0.2771
0.2208     0.2784     -0.2638
