UWMA       TP9        Ppa3stv
18.2389    -1.339     4.2992     IN
20.0541    -0.8021    8.6963     BR
25.3305    1.12       9.6007     GL
25.3262    1.1209     9.5922     NA
28.8725    2.3606     7.9322     RH
31.0431    3.2475     6.2858     NS
31.8119    3.4581     5.7772     PR
31.9143    2.6865     5.7131     R_PR2
27.2819    1.3656     8.4838     R_PMS
27.5845    -1.6586    5.0755     R_ZMI
26.9356    -0.5147    7.6103     R_ZMU
26.06      0.9204     8.6049     R_DA
25.298     -0.5672    9.6266     R_MTI
25.0883    -0.7469    9.874      R_MTS
25.8114    -2.0438    8.5347     R_FMO
25.3388    -2.809     8.2201     R_FMT
22.204     -3.8483    4.3857     R_PO
9999       9999       9999       R_ZTS
31.2937    4.2129     5.5858     L_PR2
27.2873    2.3004     8.3359     L_PMS
25.5412    4.8104     5.1787     L_ZMI
25.6508    3.541      7.6307     L_ZMU
25.777     1.9722     8.5262     L_DA
24.4578    2.7019     9.6855     L_MTI
24.1188    2.4732     9.963      L_MTS
23.9336    4.0243     8.3677     L_FMO
23.3834    4.5738     8.2571     L_FMT
19.987     3.3428     4.5112     L_PO
9999       9999       9999       L_ZTS
30.4996    4.6313     5.028      O1
23.9803    5.5529     5.5671     O2
24.2391    -2.6262    8.7328     O3
18.0325    -0.6395    4.72       O4







































































































































































25.4014    1.1453     9.4805     GLRH
25.6089    1.2082     9.3537
25.868     1.338      9.1474
26.0085    1.3779     9.0564
26.1112    1.4006     8.998
26.2432    1.4387     8.9553
26.4335    1.5138     8.8772
26.6253    1.607      8.8009
26.726     1.6241     8.7397
26.9154    1.673      8.6948
27.0913    1.7345     8.6596
27.2912    1.7904     8.5977
27.448     1.8247     8.5541
27.6513    1.8974     8.4859
27.861     1.9981     8.3808
28.0928    2.1        8.3159
28.3042    2.175      8.2152
28.4883    2.256      8.1184
28.6205    2.2895     8.0622
28.7536    2.352      7.9831
28.8533    2.3935     7.8841



















































































































































































28.861     2.3903     7.887      NOSE
28.9163    2.1155     7.8281
29.0323    1.9342     7.7163
29.1616    1.7658     7.5316
29.3995    1.7239     7.3818
29.585     1.7405     7.2372
29.8199    1.7715     7.1151
30.0802    1.8122     6.9528
30.2803    1.8849     6.8042
30.4612    2.027      6.6526
30.7009    2.1791     6.5125
30.8701    2.3407     6.4743
31.0164    2.5127     6.4598
31.1121    2.7318     6.3778
31.2306    2.9372     6.3015
31.2582    3.1301     6.2125
31.1629    3.2927     6.201
31.0133    3.4363     6.2306
30.7902    3.509      6.2795
30.5529    3.5866     6.4124
30.3834    3.6855     6.4458
30.1404    3.7085     6.4929
29.9745    3.7559     6.586
29.8045    3.7431     6.6971
29.6433    3.7369     6.8068
29.4925    3.7355     6.9397
29.3404    3.6116     6.9747
29.2258    3.5878     7.0771
29.1064    3.4882     7.1637
29.0306    3.4041     7.2152
28.9144    3.3472     7.3132
28.7946    3.2324     7.4061
28.7045    3.1252     7.5068
28.6603    2.9673     7.5625
28.6774    2.8698     7.6415
28.6643    2.754      7.7708
28.6599    2.6365     7.8341
28.7777    2.4944     7.9033
28.8856    2.3607     7.8732

































































































































































31.102     3.3052     6.2031     NASP-PR
31.3015    3.383      6.1711
31.442     3.4519     6.1025
31.5694    3.505      6.0288
31.6379    3.5178     5.9582
31.6761    3.5231     5.9081
31.7298    3.5486     5.7741

































































































































































































27.3772    1.3599     8.4027     R-PM/MAX
27.6932    1.3636     8.2493
27.8484    1.391      8.1634
28.0543    1.4267     8.0764
28.2051    1.3889     7.9562
28.3252    1.4271     7.9017
