AMNH       169432     Phu1Tosi5
17.1344    19.5216    17.4869    IN
13.5561    15.2219    19.448     BR
9.7889     10.2622    17.817     GL
9.6917     10.3041    17.348     NA
6.9028     6.8791     10.4346    RH
5.5973     5.1042     6.7352     NS
5.6284     5.0412     5.0218     PR
4.8864     5.9116     5.2744     R_PR2
6.7121     8.1997     10.9904    R_PMS
7.1055     13.6042    10.9224    R_ZMI
8.2193     12.0084    15.0935    R_ZMU
9.5219     10.8332    16.3454    R_DA
8.1887     11.9831    17.6147    R_MTI
8.6665     12.4702    18.7553    R_MTS
7.5472     13.5424    16.3086    R_FMO
7.1353     14.8172    16.4399    R_FMT
11.3435    19.4772    14.9729    R_PO
6.9521     15.9319    12.8717    R_ZTS
6.6395     4.5855     5.2764     L_PR2
8.1854     6.9463     10.9988    L_PMS
13.5488    8.7298     11.0057    L_ZMI
11.7894    9.1651     15.0653    L_ZMU
10.3987    10.2868    16.3174    L_DA
11.9585    9.0199     17.5923    L_MTI
12.2793    9.6279     18.6664    L_MTS
13.4433    8.946      16.3681    L_FMO
14.7984    9.0808     16.365     L_FMT
18.2469    14.1086    14.7735    L_PO
15.6193    8.8725     12.8281    L_ZTS
4.9069     5.3197     4.9457     O1
9.7167     6.2069     9.4065     O2
8.2788     13.9056    17.7589    O3
17.8457    17.839     16.2466    O4







































































































































































9.7563     10.2962    17.8342    GLRH
9.726      10.3054    17.7086
9.7223     10.3134    17.5566
9.7175     10.3114    17.3794
9.7016     10.2877    17.2401
9.7178     10.2849    17.0874
9.729      10.3002    16.8782
9.7301     10.3354    16.6177
9.7308     10.3258    16.4034
9.7257     10.2913    16.2611
9.7338     10.2609    16.0967
9.6669     10.1941    15.8911
9.6375     10.1208    15.7175
9.5589     10.0288    15.5009
9.506      9.9411     15.3335
9.4684     9.8536     15.2085
9.3526     9.7406     15.0475
9.2805     9.6786     14.9381
9.1684     9.551      14.7699
9.0799     9.4416     14.6263
8.9706     9.2808     14.4306
8.8629     9.176      14.2725
8.7705     9.0429     14.0986
8.7173     9.0038     13.9885
8.6384     8.9064     13.8847
8.561      8.8052     13.737
8.4883     8.7097     13.5672
8.3796     8.6285     13.43
8.3032     8.5263     13.3304
8.2249     8.4358     13.1894
8.1318     8.3425     13.0511
8.049      8.2212     12.917
7.9622     8.1257     12.7944
7.8895     8.0299     12.6565
7.7799     7.9369     12.5205
7.6564     7.8302     12.3232
7.5986     7.7623     12.2116
7.4824     7.5783     11.9187
7.4191     7.5022     11.7852
7.3196     7.3972     11.5975
7.2333     7.33       11.4228
7.1395     7.2477     11.2404
7.0508     7.1564     11.0162
6.9808     7.0741     10.8417
6.9577     7.0257     10.7253
6.9111     6.93       10.5203


























































































































































6.8924     6.958      10.4234    NOSE
6.7564     7.1656     10.4035
6.5829     7.2998     10.3198
6.4798     7.4663     10.2117
6.2684     7.5334     9.9681
6.0857     7.4779     9.7762
5.9751     7.4395     9.5554
5.8301     7.3675     9.3192
5.7277     7.3423     9.1036
5.5589     7.2027     8.6837
5.4852     7.1141     8.4404
5.4267     7.012      8.1802
5.3331     6.8329     7.9455
5.2646     6.723      7.8335
5.2098     6.5899     7.7042
5.1688     6.4366     7.5914
5.1355     6.2325     7.4682
5.1549     6.0262     7.3629
5.1662     5.8182     7.3006
5.1757     5.621      7.1943
5.2384     5.4783     7.1239
5.3323     5.2689     6.8788
5.532      5.1695     6.6724
5.9788     4.8957     7.1808
6.1805     4.8644     7.3293
6.4009     4.875      7.4396
6.6801     4.9332     7.5576
6.9004     4.9625     7.6961
7.0863     5.0395     7.8672
7.1641     5.0986     8.0088
7.2647     5.2033     8.1922
7.4121     5.3919     8.53
7.527      5.5498     8.8283
7.6157     5.704      9.1125
7.6576     5.8138     9.3161
7.6588     5.9833     9.4906
7.698      6.139      9.6484
7.7391     6.2302     9.8163
7.6667     6.3527     9.9342
7.5996     6.4607     10.0369
7.5052     6.5779     10.2321
7.2855     6.6885     10.3522
7.158      6.7414     10.4308
7.0644     6.8408     10.4582
6.9319     6.879      10.4662



























































































































































5.5892     5.1638     6.7945     NASP-PR
5.5236     5.0866     6.6493
5.4903     5.0381     6.5364
5.4287     4.9798     6.3379
5.4493     4.9341     6.1322
5.4506     4.9202     5.9499
5.4346     4.9508     5.7931
5.4556     4.9559     5.6111
5.4749     4.9685     5.4848
5.5155     4.9645     5.3782
5.5606     4.9469     5.2477
5.5869     5.092      5.0098




























































































































































































6.7124     8.226      11.0014    R-PM/MAX
6.6173     8.1496     10.8905
6.5665     8.1081     10.8139
6.4746     8.0593     10.6568
6.4092     8.0245     10.5255
6.3038     7.9522     10.3464
6.1489     7.841      10.1339
6.0403     7.7998     9.9738
5.9312     7.7262     9.8255
5.8371     7.6981     9.6713
5.7387     7.6505     9.4963
5.6603     7.6299     9.3305
5.5669     7.5631     9.0232
5.5076     7.5306     8.7734
5.4064     7.4796     8.5063
5.2865     7.4276     8.1341
5.2535     7.4057     8.0238
5.2047     7.4028     7.8378
5.1599     7.3729     7.7492
5.0806     7.3515     7.4066
4.9565     7.3551     7.1235
4.823      7.3242     6.8299
4.7803     7.3681     6.557
4.8834     7.4263     6.2742
















































































































































































8.163      6.9071     10.9844    L-PM/MAX
8.1606     6.8505     10.8141
8.1485     6.785      10.7076
8.1377     6.7148     10.6006
8.1089     6.6091     10.4595
8.1162     6.4809     10.3038
8.0559     6.2922     10.0616
8.0544     6.1507     9.8944
