NMNH       121660     Scc16stv
0.0665     3.6623     5.2137
0.338      3.6533     5.1156
0.4677     3.6622     4.8931
0.5912     3.6498     4.625
0.7349     3.6562     4.3516
0.8905     3.6546     4.1199
1.0416     3.6901     3.9742
1.1937     3.6704     3.7694
1.371      3.6788     3.568
1.5323     3.6944     3.2545
1.5981     3.713      3.0234
1.6892     3.7061     2.7946
1.7031     3.7828     2.5419
1.6806     3.7946     2.339
1.6917     3.8434     2.1378
1.6746     3.9032     2.0258







































































































































































-2.6864    5.5428     5.9232     SUPORB
-2.6052    5.533      6.1346
-2.4654    5.5644     6.3441
-2.2877    5.5244     6.5851
-2.1377    5.5017     6.7437
-1.9498    5.4963     6.8534
-1.7405    5.411      6.9412
-1.5441    5.298      6.9986
-1.3274    5.1328     7.0356
-1.1184    5.012      7.0148
-1.0031    4.906      7.0142
-0.7141    4.8526     6.9943
-0.568     4.8305     6.9632
-0.3436    4.8024     6.9339
-0.195     4.7431     6.8862
-0.0907    4.6662     6.8572
0.0295     4.6138     6.7988
0.3048     4.6235     6.777
0.5644     4.728      6.8789
0.7893     4.8279     6.9137
1.021      4.9632     6.9995
1.2786     5.0721     7.0537
1.5077     5.1031     7.033
1.7477     5.1828     6.9782
2.0238     5.309      6.9081
2.1819     5.3477     6.8425
2.3761     5.4515     6.7403
2.5036     5.5462     6.6393
2.65       5.5582     6.5116
2.7825     5.5569     6.3324
2.849      5.7008     6.0025
2.8993     5.7235     5.8603








































































































































































-1.0895    4.3943     4.4488     RORBIT
-1.301     4.4192     4.4279
-1.5897    4.4692     4.4219
-1.823     4.5603     4.4831
-1.9938    4.6692     4.5861
-2.1845    4.7502     4.7719
-2.3576    4.8513     5.0609
-2.3976    4.9504     5.31
-2.4434    5.0156     5.4848
-2.4089    5.0173     5.6442
-2.4243    5.0339     5.8006
-2.3437    5.0355     5.9606
-2.1956    5.0153     6.2369
-1.9902    4.9828     6.3563
-1.7568    4.9359     6.4715
-1.5585    4.8767     6.5265
-1.3599    4.8069     6.544
-1.0506    4.7155     6.498
-0.9184    4.6677     6.4878
-0.7084    4.5936     6.405
-0.4954    4.5463     6.249
-0.39      4.5209     6.1112
-0.2834    4.3997     5.9303
-0.259     4.3538     5.7827
















































































































































































1.3611     4.4008     4.4457     LORBIT
1.5838     4.4115     4.3834
1.7153     4.4607     4.3724
1.8857     4.4904     4.3576
2.0992     4.5864     4.4
2.3211     4.6895     4.5046
2.4602     4.768      4.6249
2.5657     4.8241     4.8232
2.6631     4.8435     5.0435
2.7386     4.8952     5.2345
2.7838     4.9514     5.444
2.7845     5.017      5.5745
2.7363     5.0305     5.7388
2.6601     5.0187     5.9946
2.5471     5.0572     6.2036
2.4376     5.0354     6.3548
2.3107     5.0208     6.4294
2.1242     4.963      6.5478
1.9209     4.9395     6.5803
1.6746     4.889      6.6099
1.4847     4.7886     6.66
