AMNH    169432  phu1adr1












































































































































2.9714  25.718  -6.575    NASP-PR
2.9395  25.8014 -6.4534
2.9347  25.8338 -6.3789
2.8725  25.8521 -6.2506
2.8191  25.922  -6.104
2.8152  25.9574 -6.0133
2.7998  25.9604 -5.8615
2.8259  25.9565 -5.6696
2.8288  25.9324 -5.4806
2.8631  25.9415 -5.3031
2.8741  25.9304 -5.1811
2.9027  25.9231 -5.0699
2.8929  25.8857 -4.9163



























































































































































































4.5214  22.8976 -10.8153  R-PM/MAX
4.427   22.9517 -10.7258
4.3611  22.978  -10.6039
4.2998  22.9982 -10.508
4.2375  23.0136 -10.4142
4.1697  23.0314 -10.3291
4.0958  23.0895 -10.1812
4.0334  23.1007 -10.0856
3.9731  23.1314 -9.9971
3.8901  23.1702 -9.9007
3.8604  23.199  -9.842
3.7452  23.2326 -9.7269
3.686   23.2594 -9.6127
3.6185  23.2795 -9.5347
3.587   23.2868 -9.4669
3.5092  23.2839 -9.3413
3.4504  23.2971 -9.2546
3.4207  23.3309 -9.1471
3.3707  23.3259 -9.0296
3.295   23.3688 -8.8118
3.2705  23.3829 -8.73
3.2432  23.4233 -8.6301
3.2194  23.4175 -8.545
3.1915  23.422  -8.4437
3.1365  23.4213 -8.3176
3.0877  23.4495 -8.2275
3.0578  23.4555 -8.0994
3.0213  23.4596 -7.9923
2.98    23.471  -7.8829
2.9612  23.4655 -7.7897
2.923   23.4799 -7.6961
2.8779  23.5055 -7.5569
2.8516  23.4819 -7.4506
2.846   23.4955 -7.3732
2.8024  23.4821 -7.2164
2.7298  23.4882 -7.1124
2.7104  23.4827 -7.0355
2.6682  23.461  -6.9232
2.5981  23.4638 -6.7849
2.5657  23.4509 -6.6588
2.4959  23.4561 -6.5458
2.5071  23.3646 -6.4405
2.5119  23.3815 -6.3788
2.526   23.2922 -6.2881
2.5792  23.3846 -6.1495
2.6479  23.4031 -6.0009
2.7858  23.5041 -5.7797

























































































































































5.7467  24.3759 -10.8294  L-PM/MAX
5.7299  24.4584 -10.6561
5.7104  24.5005 -10.5904
5.6888  24.5641 -10.4811
5.6501  24.6442 -10.3755
5.6468  24.7155 -10.2856
5.6273  24.7783 -10.1833
5.6026  24.8317 -10.0914
5.5716  24.8999 -9.9909
