AMNH       169432     Tap3-1
14.49      24.4409    16.186     IN
14.4463    18.8493    17.8946    BR
14.5852    12.6171    16.2161    GL
14.5682    12.6132    15.6765    NA
14.5309    8.4134     8.5798     RH
14.6366    6.2592     4.8751     NS
14.7237    6.3088     3.131      PR
13.6055    6.5219     3.3291     R_PR2
13.6103    9.3057     9.2036     R_PMS
10.4927    13.8132    9.2786     R_ZMI
12.2591    13.1171    13.424     R_ZMU
14.1394    12.9899    14.6309    R_DA
12.3733    12.8058    15.933     R_MTI
12.4169    13.8276    17.154     R_MTS
10.7961    13.7565    14.6188    R_FMO
9.8662     14.5515    14.6639    R_FMT
10.0468    20.9445    13.3593    R_PO
8.857      15.4371    11.2168    R_ZTS
15.8114    6.5237     3.4736     L_PR2
15.5021    9.1631     9.2376     L_PMS
18.5229    13.8979    9.3277     L_ZMI
16.7875    13.11      13.4165    L_ZMU
15.1003    13.0348    14.5964    L_DA
16.8545    12.9286    15.872     L_MTI
16.628     13.7827    17.1129    L_MTS
18.2618    13.8577    14.3511    L_FMO
19.2946    14.7479    14.6233    L_FMT
18.8287    21.0036    13.2267    L_PO
20.0817    15.3613    11.2569    L_ZTS
13.9887    5.9703     3.3479     O1
11.9416    14.6279    16.6576    O2
8.5863     17.8492    11.9095    O3
13.5142    22.9243    16.2252    O4







































































































































































14.6039    12.6208    15.9657    GLRH
14.5972    12.6152    15.893
14.5879    12.6061    15.876
14.5984    12.6073    15.7864
14.6063    12.6018    15.699
14.5988    12.5817    15.5934
14.6085    12.5841    15.5752
14.6067    12.5796    15.4556
14.6284    12.6041    15.3332
14.6411    12.6113    15.207
14.6307    12.6145    15.1979
14.6478    12.6443    15.0298
14.6529    12.6453    14.8229
14.6652    12.6609    14.6637
14.6339    12.6234    14.466
14.6471    12.5556    14.3061
14.6526    12.5047    14.1293
14.6543    12.4026    13.914
14.6416    12.3072    13.7373
14.6483    12.2042    13.5893
14.6405    12.0848    13.4544
14.6348    12.016     13.3361
14.6507    11.8905    13.2024
14.6396    11.7784    13.0915
14.6264    11.6209    12.9362
14.615     11.4131    12.7058
14.6026    11.2711    12.5526
14.611     11.121     12.3829
14.5918    11.0418    12.2633
14.6104    10.8801    12.0882
14.5853    10.7472    11.9501
14.6094    10.6003    11.7573
14.6028    10.5799    11.7358
14.5898    10.428     11.5784
14.5983    10.4346    11.5571
14.5709    10.2835    11.4064
14.5728    10.0561    11.1716
14.5708    9.772      10.8594
14.5302    9.5824     10.6412
14.5406    9.5426     10.6147
14.5587    9.4038     10.4118
14.5299    9.2512     10.1969
14.5244    9.1061     10.0187
14.527     9.0333     9.905
14.5371    8.9363     9.7334
14.5285    8.809      9.5594
14.5385    8.7176     9.3769
14.5223    8.6325     9.2109
14.5336    8.5104     9.0329
14.547     8.4306     8.8707
14.5504    8.3928     8.7531
14.5367    8.3491     8.6226


















































































