NME       spec3     Eth3stv
11.916    20.1023   12.7401   IN
13.04     23.9682   16.01     BR
14.879    29.1448   14.6757   GL
14.953    29.0609   14.044    NA
16.1044   31.3093   9.9319    RH
16.5575   32.3207   8.0883    NS
16.79     32.5162   7.2292    PR
17.4246   32.0473   7.2501    R_PR2
15.7282   29.8503   11.3583   R_PMS
17.8086   26.7198   9.7702    R_ZMI
16.4553   28.0214   12.1964   R_ZMU
15.1089   28.5851   13.4736   R_DA
16.5348   28.1752   14.5943   R_MTI
16.2426   27.7832   15.1766   R_MTS
17.3233   27.11     13.6033   R_FMO
17.4252   26.4756   13.6927   R_FMT
16.2603   21.9725   11.8898   R_PO
18.2741   25.3071   11.0509   R_ZTS
15.8874   32.5164   7.2214    L_PR2
15.1903   30.122    11.1972   L_PMS
11.8764   28.7739   9.2876    L_ZMI
13.256    29.0255   12.0596   L_ZMU
14.4872   28.6286   13.5078   L_DA
13.2703   29.3463   14.3917   L_MTI
13.1432   28.8182   15.0636   L_MTS
11.9132   29.0117   13.2946   L_FMO
11.4836   28.5879   13.3674   L_FMT
9.6338    24.5252   11.6139   L_PO
10.3581   28.2169   10.5078   L_ZTS
15.323    32.2975   8.4449    O1
18.4233   25.9975   10.2875   O2
11.9538   27.5858   14.6924   O3
12.8722   20.1254   12.6113   O4







































































































































































14.9115   29.0647   14.7037   GLRH
14.9381   29.0598   14.5709
14.9353   29.0492   14.4315
14.9564   29.0283   14.2406
14.9559   29.0043   14.1276
14.962    28.9536   13.908
14.9703   28.927    13.787
14.943    28.9557   13.63
14.9626   28.9493   13.5047
14.9979   28.932    13.3687
15.0018   28.9486   13.2097
15.0372   28.9899   12.9324
15.1094   29.0798   12.6575
15.1098   29.1857   12.4929
15.1637   29.2483   12.335
15.1935   29.3197   12.2071
15.2958   29.445    11.9904
15.3518   29.522    11.896
15.4001   29.6186   11.8065
15.4251   29.7299   11.6795
15.4833   29.8253   11.5707
15.5498   29.9582   11.4406
15.5771   30.0969   11.3399
15.6621   30.2493   11.1643
15.7423   30.3866   11.041
15.7759   30.5108   10.932
15.8448   30.6659   10.7539
15.9489   30.896    10.5942
15.995    31.0443   10.496
16.067    31.1744   10.3464
16.1242   31.254    10.1708









































































































































































16.1264   31.2867   10.1428   NOSE
16.2769   31.1359   10.1471
16.6037   30.9233   10.2106
16.7271   30.9562   10.0461
16.795    30.9924   9.9755
16.934    31.0289   9.8195
17.0285   31.0679   9.6854
17.0961   31.1875   9.5666
17.193    31.2778   9.4241
17.2702   31.36     9.2966
17.2895   31.4447   9.1627
17.263    31.5763   8.9408
17.1598   31.6514   8.8616
17.1171   31.75     8.812
17.0733   31.8955   8.7712
17.0168   32.0087   8.7455
16.887    32.0886   8.6218
16.7939   32.1693   8.4858
16.7519   32.1751   8.3328
16.6984   32.2221   8.2514
16.5564   32.2717   8.1772
16.4262   32.298    8.2473
16.2835   32.335    8.4656
16.1596   32.3014   8.6162
16.0612   32.2571   8.6778
15.8969   32.156    8.7502
15.6789   32.0735   8.9348
15.6115   32.0159   9.0171
15.543    31.9686   9.1418
15.455    31.9595   9.2923
15.3559   31.9037   9.4463
15.2663   31.8273   9.589
15.292    31.7268   9.6881
15.331    31.5997   9.7967
15.3934   31.5568   9.9234
15.4288   31.3831   10.0838
15.8373   31.2547   10.0655



































































































































































16.5295   32.2586   8.1918    NASP-PR
16.6101   32.4062   8.1162
16.6629   32.4872   8.0184
16.6677   32.5679   7.9027
16.7152   32.6156   7.6972
16.7273   32.6132   7.5741
16.7582   32.6118   7.4355
16.7122   32.536    7.269
































































































































































































15.7269   29.8171   11.3875   R-PM/MAX
15.7946   29.9138   11.3056
15.8807   30.0031   11.2136
15.9324   30.0242   11.124
16.0068   30.1117   11.0678
16.0852   30.2195   10.9821
16.1396   30.2838   10.9068
16.2588   30.3445   10.8069
16.3401   30.4021   10.6992
16.4657   30.4306   10.5929
16.5852   30.4973   10.5124
16.6511   30.5492   10.4424
16.748    30.6051   10.3348
16.862    30.6541   10.2554
16.9575   30.6979   10.1174
17.0266   30.7604   9.9889
17.065    30.864    9.9101
17.1269   30.9017   9.8126
17.2129   30.9264   9.6643
17.2641   30.9371   9.5463
17.3154   30.963    9.3922
17.3466   30.932    9.2741
17.4399   30.9364   9.1301
17.5      30.9697   8.9532
17.5819   31.0189   8.7956
