NMNH       356976     Pyn7stv
-0.0175    12.4925    4.9096     IN
-0.1908    9.0991     8.2342     BR
-0.1607    3.7434     6.4943     GL
-0.1562    3.7318     6.5009     NA
-0.2054    2.944      5.0556     RH
-0.2576    1.5131     3.5465     NS
-0.2893    0.8332     2.8247     PR
-0.8286    0.9596     2.9581     R_PR2
-0.1916    3.716      6.4568     R_PMS
-2.9817    4.1612     3.2871     R_ZMI
-2.6144    3.8123     4.7095     R_ZMU
-0.8574    3.8973     5.9166     R_DA
-1.9707    4.5333     7.0128     R_MTI
-1.8673    4.6378     7.3245     R_MTS
-3.5365    4.8196     6.1491     R_FMO
-4.0252    5.3878     6.0629     R_FMT
-3.4505    8.7888     3.8981     R_PO
-4.0686    5.4017     3.7667     R_ZTS
0.2886     0.9315     2.9122     L_PR2
0.2066     3.4907     5.8663     L_PMS
2.816      4.117      3.2535     L_ZMI
2.2693     3.7547     4.7564     L_ZMU
0.6031     3.9504     5.9054     L_DA
1.9231     4.5856     7.0492     L_MTI
1.8994     4.6967     7.2927     L_MTS
3.365      4.6947     6.0242     L_FMO
3.8553     5.2636     5.9984     L_FMT
3.4658     8.821      3.9268     L_PO
3.8608     5.321      3.7315     L_ZTS
-0.6429    0.6968     2.9057     O1
-3.2798    5.8424     6.7832     O2
4.0526     6.9765     3.6232     O3
-0.7359    12.4451    4.9648     O4







































































































































































-0.0951    3.7578     6.5188     GLRH
-0.0966    3.6278     6.348
-0.1183    3.4872     6.1336
-0.1302    3.3761     5.9271
-0.1332    3.309      5.7636
-0.1598    3.2712     5.6477
-0.109     3.1586     5.4563
-0.1415    3.056      5.2967
-0.1479    3.0029     5.1952
-0.1394    2.9549     5.0951






























































































































































































-0.2102    2.9491     5.0624     NOSE
-0.4275    2.9869     5.0583
-0.5411    2.9704     4.9733
-0.6498    2.8858     4.8363
-0.7358    2.7703     4.7264
-0.8077    2.6237     4.607
-0.8607    2.4734     4.485
-0.8791    2.2976     4.3023
-0.88      2.0755     4.1492
-0.8293    1.9177     4.0283
-0.7232    1.7123     3.8951
-0.6195    1.5489     3.8301
-0.4577    1.502      3.689
-0.2726    1.4913     3.56
-0.1066    1.4533     3.619
0.0216     1.4839     3.7468
0.225      1.6415     3.8719
0.37       1.8291     3.9764
0.4313     1.9841     4.095
0.5087     2.1597     4.2362
0.4896     2.3087     4.3824
0.428      2.4971     4.5346
0.3825     2.6535     4.6667
0.3638     2.8057     4.8825
0.2792     2.8946     5.0127
0.1466     2.9751     5.1494
-0.1221    2.9551     5.0376













































































































































































-0.2584    1.4978     3.5325     NASP-PR
-0.2674    1.2589     3.4171
