AMNH       169432     Tap3-2
14.4611    24.4374    16.1934    IN
14.4574    18.8733    17.8966    BR
14.5972    12.6207    16.1242    GL
14.5888    12.6173    15.6566    NA
14.5537    8.4193     8.5844     RH
14.624     6.2736     4.8873     NS
14.7591    6.3176     3.1422     PR
13.5953    6.5402     3.3649     R_PR2
13.6189    9.3098     9.2358     R_PMS
10.5144    13.8412    9.2653     R_ZMI
12.2753    13.1055    13.4437    R_ZMU
14.1264    12.9846    14.631     R_DA
12.3518    12.8463    15.9214    R_MTI
12.4397    13.8112    17.1557    R_MTS
10.7969    13.7741    14.6038    R_FMO
9.8248     14.5291    14.6073    R_FMT
10.0331    20.9347    13.3549    R_PO
8.8744     15.4136    11.2174    R_ZTS
15.8104    6.5376     3.4549     L_PR2
15.493     9.1582     9.2333     L_PMS
18.5157    13.9444    9.2737     L_ZMI
16.7201    13.1398    13.4317    L_ZMU
15.1091    13.0282    14.5931    L_DA
16.9231    12.9711    15.8472    L_MTI
16.6786    13.8118    17.1347    L_MTS
18.2483    13.8405    14.3458    L_FMO
19.3203    14.8336    14.6481    L_FMT
18.832     20.992     13.2129    L_PO
20.0914    15.355     11.2313    L_ZTS
13.9961    5.9637     3.2995     O1
11.9046    14.6516    16.6354    O2
8.5559     17.8204    11.923     O3
13.5171    22.9302    16.223     O4







































































































































































14.5929    12.6151    16.1291    GLRH
14.6126    12.6033    15.9628
14.6276    12.5996    15.7376
14.6377    12.5862    15.513
14.6304    12.6054    15.2818
14.6585    12.6467    15.018
14.6459    12.6475    14.7666
14.6456    12.6279    14.4391
14.6496    12.5123    14.2009
14.6527    12.4846    14.1458
14.6562    12.4085    13.9648
14.6402    12.2868    13.7264
14.627     12.1036    13.4513
14.6275    11.9487    13.3055
14.6283    11.86      13.193
14.6191    11.7581    13.0991
14.6227    11.7056    13.0198
14.6304    11.565     12.8695
14.6324    11.4342    12.74
14.6178    11.2809    12.5846
14.6184    11.1692    12.4562
14.5881    11.0352    12.2527
14.617     10.9537    12.1652
14.6262    10.8326    12.0438
14.6119    10.7054    11.8988
14.595     10.6715    11.863
14.6329    10.495     11.6251
14.6173    10.2608    11.3682
14.6006    10.0467    11.183
14.6252    9.8187     10.9226
14.5832    9.6557     10.7423
14.5735    9.5169     10.5721
14.5533    9.3549     10.3563
14.5601    9.2426     10.1978
14.5437    9.1995     10.1519
14.5624    9.0783     9.9576
14.5654    9.0754     9.9546
14.5333    8.9189     9.7248
14.5536    8.9331     9.7296
14.5229    8.8024     9.5075
